# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5198] MARSHALLTOWN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5198
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     0    11     4     1    17        1     0    25    15     1    42
 1952     3    16    19     5     9    52        8    87    85     9    28   217
 1953     3     9    18    14     8    52       13    46    76   100    45   280
 1954     0    15    25     8     6    54        0    60   137    16    30   243
 1955     2     2    25    24     8    61        4    12   191   178    53   438
 1956     5    18    14    13     4    54       15   121    71    53    11   271
 1957     0     6    19    11     1    37        0    19   116    38     1   174
 1958     1     3     0    17     1    22        1    12     0    56     5    74
 1959     2    11     7    19     5    44        2    41    19    94    21   177
 1960     0     0    11     9     7    27        0     0    39    32    45   116
 1961     0     8     7    11     5    31        0    31    27    32    13   103
 1962     5     7     6    11     1    30        9    17    20    33     3    82
 1963     2    16    12     5     0    35        3    87    36    19     0   145
 1964     4     6    20     6     3    39       11    20    98    35     6   170
 1965     0     1     5    11     1    18        0     1    28    62     1    92
 1966     2     7    18     5     1    33        5    22   117    15     2   161
 1967     4     1    10     2     0    17       19     3    39     2     0    63
 1968     1    14     8    12     0    35        3    57    39    62     0   161
 1969     2     2    11     9     0    24        4     6    43    23     0    76
 1970     3    10    17     8     4    42        7    42    92    19     7   167
 1971     0    18     5     8     7    38        0    86    15    33    29   163
 1972     5     8     8    11     3    35       13    27    32    62     7   141
 1973     0    11    13    12     1    37        0    34    46    43     2   125
 1974     1     5    20     5     0    31        1    12   113    16     0   142
 1975     4     7    17    13     2    43       12    23    80    68     8   191
 1976     1     8    17    14     5    45        1    16    74    53    14   158
 1977     7     9    20     5     0    41       20    50   178    16     0   264
 1978     3     9     8     7     5    32       11    14    33    22    20   100
 1979     2     3     7    10     4    26        3     4    10    43     8    68
 1980     4     8    21    16     4    53       13    31   122    64    21   251
 1981     0     5    10     3     2    20        0    17    49     8     6    80
 1982     0     2    12     5     0    19        0     3    45    26     0    74
 1983     0     7    23    22     5    57        0    37   128   149    24   338
 1984     0     4    10    16     5    35        0    11    43    77    27   158
 1985     2     4     7     6     9    28        6    22    27    30    39   124
 1986     0     8    18     3     2    31        0    27    67     7     2   103
 1987     4    15    19     8     1    47        7    98   116    53     3   277
 1988     4    17    20    18     3    62        7   115   131   171     7   431
 1989     1     4    13     4     0    22        1    11    88    15     0   115
 1990     0     7     6     7     5    25        0    22    31    26    24   103
 1991     3    12    13     8     3    39       11    51    75    25     3   165
 1992     1     5     1     2     0     9        1    11     3     4     0    19
 1993     0     5     2     3     1    11        0     5     5     8     2    20
 1994     1     9     6     3     3    22        1    27    15    11     8    62
 1995     0     8    12    16     3    39        0    34    68    67     4   173
 1996     2    10     4     2     0    18        5    33    12     7     0    57
 1997     1     6    14     7     3    31        4    16    75    26     7   128
 1998     3     6    12     7     8    36       11    25    40    23    23   122
 1999     0     7    18     4     3    32        0    16   110     9    12   147
 2000     1     3     5     5     8    22        3     9    10     9    43    74
 2001     1     6    14    10     1    32        2    23    50    51     1   127
 2002     1    11    19     4     6    41        4    40    77    12    23   156
 2003     1     3     6    12     3    25        1     7    23    67     5   103
 2004     1     4     2     1     1     9        1     6     6     1     1    15
 2005     0     9    13     0     0    22        0    33    68     0     0   101
 **************************************************************************************
MEANS   1.7   7.5  12.3   8.7   3.1  33.4      4.4  30.5  61.1  39.9  11.7 147.8
