# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1394] CHARITON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1394
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1    11    12     0    24        0     1    43    42     0    86
 1952     4    18    18     7     8    55       10    91    81    12    24   218
 1953     4    13    17    15    10    59       20    54   110   137    76   397
 1954     0    17    26    15     9    67        0   108   218    89    53   468
 1955     1     4    24    23    10    62        1    14   180   164    75   434
 1956     7    20    18    17     9    71       28   130   125    68    40   391
 1957     0     7    22    14     1    44        0    26   174    84     4   288
 1958     1     6     3    21     5    36        2    28     7   107    14   158
 1959     0    10    13    24     5    52        0    45    44   101    17   207
 1960     0     3    15    12     8    38        0    10    57    49    50   166
 1961     0     7    11    15     6    39        0    27    52    60    19   158
 1962     9    10    15    17     4    55       17    27    56    75    12   187
 1963     3    18    21    12     5    59       10   100    80    63     8   261
 1964     6     9    24    13     5    57       21    23   143    77    16   280
 1965     2     2    15    18     2    39        4    11    73   118     6   212
 1966     6     9    23     9     2    49       14    27   166    16     4   227
 1967     7     1    14     9     0    31       30     1    59    14     0   104
 1968     1    18    14    16     0    49        2    64    60   108     0   234
 1969     2     7    17    16     2    44        2    24    75    50     2   153
 1970     2     6    22    14     7    51        5    36   154    55    18   268
 1971     0    21    16    14    15    66        0   114    55    75    58   302
 1972     2    12    14    15     4    47        2    54    59    90    21   226
 1973     0     9    15    16     1    41        0    32    49    50     1   132
 1974     0     8    25     7     0    40        0    36   204    24     0   264
 1975     5     7    24    19     3    58       12    17   105   115    21   270
 1976     0     5    19    13     3    40        0    10   112    39     6   167
 1977     1    14    26     9     0    50        1    63   209    24     0   297
 1978     3    11    16    15    11    56        4    46    61    56    45   212
 1979     0     2    10    16     8    36        0     4    32    87    16   139
 1980     4     8    25    22    10    69        7    33   198   130    32   400
 1981     0     7     9     5     4    25        0    13    49    17     9    88
 1982     0     1    17     7     0    25        0     1    59    40     0   100
 1983     0     8    27    27    12    74        0    27   216   290    61   594
 1984     0     7    18    20    10    55        0    23    91   137    53   304
 1985     1     5    14     7    11    38        5    29    49    29    49   161
 1986     0    15    21     5     0    41        0    56   106    14     0   176
 1987     1    14    17     9     1    42        1    71   114    57     1   244
 1988     3    18    26    22     6    75        7   147   191   182    10   537
 1989     2     2    13     8     0    25        2     4    96    36     0   138
 1990     0     7     9     9     8    33        0    23    45    48    36   152
 1991     3     8    14    12     7    44        4    35    82    51    26   198
 1992     0     3     4     2     0     9        0     4    13     6     0    23
 1993     0     1     5     8     1    15        0     2    14    32     4    52
 1994     0     8     7    11     2    28        0    22    23    50     6   101
 1995     0     4    12    23     3    42        0    14    67   102     4   187
 1996     2     6     8     6     0    22        2    13    29    12     0    56
 1997     0     7    17    10     4    38        0     9   102    31     7   149
 1998     1     5    10    11     7    34        5    18    40    51    24   138
 1999     0     7    17     7     4    35        0    11   117    18    17   163
 2000     3     5     7    13    10    38        5    13    21    36    54   129
 2001     0     6    14    13     2    35        0     9    69    69     7   154
 2002     1    12    18     7     8    46        2    35    99    37    40   213
 2003     1     3    13    15     3    35        3     9    53   131     3   199
 2004     1     1     3     3     0     8        2     1    11     8     0    22
 2005     0     9    20     0     0    29        0    37   104     0     0   141
 **************************************************************************************
MEANS   1.6   8.2  15.9  12.8   4.7  43.2      4.2  34.2  89.1  66.6  19.1 213.2
