# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6566] PERRY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6566   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    16 107          10     5 279          172
   1953   5    13 133           9    22 265          132
   1954   5     8 128          10    18 291          163
   1955   4     7  97           9    12 255          158
   1956   4    26 117           9    30 274          157
   1957   4    14 104          10    18 291          187
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10     9 282          170
   1960   4    30 121          10    16 290          169
   1961   5     2 122           9    28 271          149
   1962   4    19 109           9    20 263          154
   1963   5    23 143          10    28 301          158
   1964   4    10 101           9    28 272          171
   1965   4    19 109          10    12 285          176
   1966   5    10 130           9    16 259          129
   1967   5     4 124           9    28 271          147
   1968   5     9 130          10     4 278          148
   1969   4    29 119          10    14 287          168
   1970   5     2 122          10    10 283          161
   1971   5     3 123          10    10 283          160
   1972   4    25 116           9    30 274          158
   1973   4    28 118          10    30 303          185
   1974   4    24 114           9    22 265          151
   1975   4    20 110           9    25 268          158
   1976   5     8 129          10     6 280          151
   1977   4    26 116          10     7 280          164
   1978   5     3 123          10     8 281          158
   1979   5    12 132          10     5 278          146
   1980   5     9 130           9    26 270          140
   1981   5    11 131          10     2 275          144
   1982   4    22 112          10    16 289          177
   1983   5     8 128           9    23 266          138
   1984   4    19 110           9    26 270          160
   1985   4    15 105          10     1 274          169
   1986   4    23 113          10     6 279          166
   1987   4     6  96          10     3 276          180
   1988   4    25 116          10     4 278          162
   1989   5     7 127           9    23 266          139
   1990   5     3 123          10    10 283          160
   1991   4    25 115           9    19 262          147
   1992   5     6 127           9    29 273          146
   1993   4    22 112          10    10 283          171
   1994   5     2 122          10    10 283          161
   1995   4    19 109           9    22 265          156
   1996   4    30 121          10     3 277          156
   1997   5    15 135          10    18 291          156
   1998   4    11 101          10    22 295          194
   1999   4    18 108           9    21 264          156
   2000   4    13 104          10     6 280          176
   2001   4    25 115          10     6 279          164
   2002   4    10 100          10     7 280          180
   2003   4    11 101           9    29 272          171
   2004   5     4 125          10     2 276          151
             MEAN=117              MEAN=277     MEAN=160
