# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3980] HUMBOLDT-2
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   7  11  12   9  11  13  11   7   7   4   8 103
1952     6   3   8   5   9   9   5  11   2   0   4   4  66
1953     6   7   9  10   8   5   8   4   2   3   5   3  70
1954     3   3   9   9   7  10   8  13   6  12   2   3  85
1955     3   6   6   5   7   7   9   4   8   7   3   5  70
1956     4   3   7   7  11   6   9  12   3   7   5   2  76
1957     7   4   6   4  10  12  10   8   9   7   8   9  94
1958     3   3   4  12   9  15  13   6   5   1   3   2  76
1959     5   7   8   7  15   5   1   8  10   5   7   4  82
1960     4   3   9   8   9   6   3   8   7   2   2   4  65
1961     0   5   9  10   8   6  11   9  12   5   3   7  85
1962     5   9   6  10  12   7  12  11   7   5   2   1  87
1963     3   8   7   9   9   7   9   7  11   5   2   6  83
1964     4   2   8  10  12   9  10   9  11   2   5   8  90
1965     2   7  10  15  13   7   8   9  17   2   3   3  96
1966     6   1   3   7   7   8   9   4   5   3   0   4  57
1967     4   2   5   9   8  16   4   7   7   8   2   5  77
1968     6   2   4  11  10  10   9   8  10   8   5   9  92
1969     9   5   5   7  12  11  10   6   6   7   2   8  88
1970     5   2   7   7  12   6   7   6  11  10   6   4  83
1971     2   6   1   7  11   8  10   2   6   9   7   6  75
1972     3   5   5   8  12  11  10  10  11  10   3   5  93
1973     5   6  12  10  12   6   9   8  13   7   4   6  98
1974     2   1   4   9  13   9   7  14   6   8   6   4  83
1975     9   4   8   9   9  14   4  11   4   2   8   2  84
1976     0   5   6   8   8  11   5   5   4   6   0   3  61
1977     2   3  10  12   7   7   9  12  10   7   4   6  89
1978     5   6   4  13  14   9  13  10   5   6   7   9 101
1979     9   5   8   7   7   8  12   8   4   7   6   1  82
1980     6   5   6   4  10   9   6  16   6   3   1   3  75
1981     1   3   4   7   8   8  12  12   4   9   5   5  78
1982     8   5   6   9  20   9  11   8   9  12   5   7 109
1983     5   6   8   8  13  11   9   5   8   9  10  11 103
1984     2   3   9  17  12  13  12   6  10  12   4  10 110
1985     7   4   8   9  11   8   5  10  13   9  12   4 100
1986     2   5   6  15  14  14  13   8  17   9   7   4 114
1987     2   1   7   6   8   5  12  13  10   4   9   5  82
1988     3   4   2   9   7   5   6   4  10   2   8   3  63
1989     4   4   6   5   9   8   6   6   6   6   1   4  65
1990     1   3   8   7   7  14  12   8   5   6   3   7  81
1991     3   1   9  11  19   8   8   9   8   8  11   3  98
1992     8   6   6   7   7   6  16   5   9   4   7  13  94
1993     6   9   9  11  16  14  15  13  10   4   6   8 121
1994     9   4   2   9  10  13  11   7   8   8   6   6  93
1995     4   3  12  13  10  11   9   8   9  10   2   4  95
1996     9   1   6   5  19  10   8   9   7   4  13  10 101
1997     8   5   6   9   9   0   0   0   0   0   0   0  37
1998     5  11  15  11  11  20   9  12   5  13   3   4 119
1999    11   6   5  18  16  14   8   6   6   5   3   5 103
2000     7   6   7   5  13  14  10   7   5  11   9  12 106
2001     8   6   5   9  17  10  12   9   7   5   6   3  97
2002     7   6   9  11   8   9  11   9  11  15   3   3 102
2003     8   7   8  10  16  14  11   9   4   6  10   6 109
2004     8   8  16   6  19  17  12   7   6  14  11   5 129
2005     8  11   9  11  19  17   9   0   0   0   0   0  84
STDDEV   3   2   3   3   4   4   3   3   4   4   3   3  17
AVG      5   5   7   9  11  10   9   8   7   6   5   5  88
