# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7979] STORM-LAKE-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia7979 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     16      1      0      0    202    101     83     68
 1952     48     20     17     14    351    219    193    170
 1953    130     57     43     32    198     87     68     55
 1954     45      9      6      4    406    256    225    195
 1955    100     48     37     26    494    329    296    264
 1956     99     42     32     24    274    170    148    126
 1957     95     36     29     22    340    215    190    167
 1958     51     14      9      5    279    152    126    104
 1959     73     28     21     15    272    161    138    115
 1960      8      1      0      0    320    195    170    148
 1961     54     22     16     12    196    103     87     71
 1962     25     13     11      9    274    165    141    121
 1963    145     92     83     74    344    207    181    155
 1964     67     27     20     14    284    172    149    127
 1965      0      0      0      0    214    112     95     80
 1966    185    101     82     67    192    106     89     74
 1967    174    112     99     87    290    172    146    122
 1968    242    154    135    117    324    194    168    143
 1969      9      2      1      0    293    170    146    124
 1970     14      0      0      0    315    201    176    154
 1971     52     24     19     14    339    221    195    171
 1972     89     39     30     23    234    132    111     92
 1973    112     44     32     23    278    162    138    117
 1974    118     50     38     29    326    197    168    144
 1975     23      4      2      1    190     92     75     61
 1976    136     78     66     56    402    259    228    199
 1977    150     72     57     44    451    297    264    233
 1978     83     42     34     27    260    140    115     96
 1979     22      6      5      4    212    115     98     83
 1980     62     21     14     10    336    211    184    160
 1981    203    102     83     66    407    265    236    208
 1982     69     17     11      6    266    169    149    130
 1983     78     35     27     21    139     79     67     56
 1984     18      3      1      0    200     94     75     58
 1985    164     79     63     48    392    257    230    203
 1986    165     95     85     75    330    200    172    147
 1987    156     91     78     65    419    282    254    230
 1988    193    109     91     75    297    183    157    133
 1989    116     68     58     49    375    243    212    183
 1990    145     67     53     40    344    212    185    162
 1991    128     62     51     41    334    199    172    146
 1992    129     60     47     35    218    126    111     96
 1993     42     18     14     11    245    134    112     94
 1994    144     77     64     52    338    227    202    177
 1995    116     50     39     30    193    102     83     66
 1996     76     30     24     20    248    152    133    114
 1997    112     56     45     36    251    149    127    106
 1998     84     47     41     35    300    170    144    120
 1999    129     59     46     36    277    143    119     96
 2000    233    127    107     89    330    214    190    167
 2001     17      3      1      0    372    233    202    175
 2002     45     15     11      8    333    203    178    154
 2003    158     90     76     65    389    260    235    212
 2004    171     81     65     52    362    228    200    173
 2005    122     56     47     39    427    265    229    196
     ****************************  ****************************
 MEAN   98.9   48.3   39.4   31.8  303.2  183.7  159.4  137.1
 STDV   61.1   37.2   32.2   27.6   76.5   58.9   54.6   50.2

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    644    419    370    327    683    454    399    349
 1952    561    359    314    273    918    682    624    568
 1953    593    386    343    305    943    707    648    590
 1954    488    323    284    248    914    677    621    566
 1955    720    495    447    404    775    542    490    442
 1956    641    438    393    351   1005    769    711    655
 1957    538    337    297    258    826    588    531    475
 1958    638    439    395    355    690    466    414    367
 1959    605    392    345    302    892    654    597    540
 1960    562    353    309    268    761    525    469    419
 1961    488    301    263    230    823    586    532    479
 1962    721    492    440    393    778    542    487    433
 1963    533    335    293    257    886    646    590    535
 1964    653    448    407    371    789    563    509    458
