# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3517] GUTTENBERG-L-AND-D-10
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.46   0.22   71(73)   15(15)    8( 8)    3( 3)    0( 0)    0       97
  2 3/8-->3/14       1.21   0.20   79(73)   21(19)    7( 6)    1( 1)    0( 0)    0      108
  3 3/15-->3/21      1.30   0.21   67(71)   16(17)   11(12)    1( 1)    0( 0)    0       95
  4 3/22-->3/28      1.30   0.25   69(65)   17(16)   18(17)    2( 2)    0( 0)    0      106
  5 3/29-->4/4       2.93   0.28   91(68)   20(15)   19(14)    2( 1)    2( 1)    0      134
  6 4/5-->4/11       1.65   0.27   81(66)   19(16)   16(13)    6( 5)    0( 0)    0      122
  7 4/12-->4/18      1.96   0.30   79(59)   31(23)   18(14)    5( 4)    0( 0)    0      133
  8 4/19-->4/25      2.13   0.30   93(60)   38(25)   18(12)    5( 3)    1( 1)    0      155
  9 4/26-->5/2       2.30   0.34   79(59)   26(19)   21(16)    7( 5)    2( 1)    0      135
 10 5/3-->5/9        2.03   0.32   83(58)   29(20)   24(17)    6( 4)    1( 1)    0      143
 11 5/10-->5/16      2.18   0.33   79(56)   30(21)   24(17)    7( 5)    1( 1)    0      141
 12 5/17-->5/23      3.30   0.40   85(63)   17(13)   17(13)   14(10)    3( 2)    0      136
 13 5/24-->5/30      2.74   0.37   83(55)   30(20)   27(18)    8( 5)    2( 1)    0      150
 14 5/31-->6/6       3.40   0.38   60(52)   29(25)   18(16)    7( 6)    2( 2)    0      116
 15 6/7-->6/13       2.21   0.39   75(52)   26(18)   30(21)   12( 8)    1( 1)    0      144
 16 6/14-->6/20      4.50   0.49   68(51)   23(17)   20(15)   20(15)    3( 2)    0      134
