# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4038] IDA-GROVE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia4038 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     37     10      7      4    223    116     95     79
 1952     74     36     28     23    387    250    221    196
 1953    174     92     74     58    241    126    104     83
 1954     81     26     18     13    468    309    276    245
 1955    120     61     49     39    531    364    331    299
 1956    132     58     45     35    303    190    166    143
 1957    116     46     35     27    339    222    198    175
 1958     59     18     11      7    327    192    163    136
 1959    103     42     32     24    341    211    185    162
 1960     13      1      0      0    380    234    203    176
 1961     94     36     28     22    241    133    112     93
 1962     46     21     18     15    335    198    171    148
 1963    179    117    105     93    406    257    224    195
 1964     74     26     20     14    332    200    175    150
 1965      9      2      1      0    284    176    153    132
 1966    219    124    103     83    221    119     98     79
 1967    237    153    137    121    371    233    204    176
 1968    293    184    162    142    402    256    225    196
 1969     20      3      1      0    363    222    192    164
 1970     36      9      6      4    375    248    222    197
 1971     99     53     44     36    401    260    230    201
 1972    129     63     50     38    306    175    149    126
 1973    149     56     43     31    334    205    177    152
 1974    176     89     72     56    412    262    229    200
 1975     47     15     10      8    266    144    122    104
 1976    153     89     75     63    471    309    274    240
 1977    225    123    100     83    522    356    319    285
 1978    141     86     74     63    325    191    163    137
 1979     50     13      8      5    288    167    145    126
 1980    100     39     29     22    400    265    235    207
 1981    250    134    113     93    525    352    317    283
 1982    113     40     28     19    325    208    184    161
 1983    114     61     50     41    185     97     82     69
 1984     49     10      7      4    255    137    116     95
 1985    236    136    114     93    490    336    302    270
 1986    266    166    146    128    402    252    222    192
 1987    221    127    111     96    480    328    295    266
 1988    252    154    132    111    372    244    216    188
 1989    130     73     61     50    404    273    243    213
 1990    151     78     62     49    368    232    201    172
 1991    156     83     68     56    360    215    186    159
 1992    161     76     61     48    235    139    119    103
 1993     50     29     25     21    229    129    109     92
 1994    165     89     75     62    343    230    205    180
 1995    139     68     53     43    214    120    101     83
 1996     88     38     29     23    263    159    139    120
 1997    139     68     56     45    253    153    131    110
 1998     86     47     41     35    309    185    158    132
 1999    141     64     51     40    289    154    129    106
 2000    233    125    105     87    351    229    204    181
 2001     32      9      5      3    389    254    222    194
 2002     49     16     12      8    352    219    192    166
 2003    164     87     73     62    396    262    238    215
 2004    176     87     70     55    386    245    215    186
 2005    146     68     55     45    431    269    233    200
     ****************************  ****************************
 MEAN  128.9   65.9   54.3   44.5  349.1  218.4  191.3  166.1
 STDV   71.6   46.5   41.0   35.6   83.7   65.7   61.2   56.8

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    683    468    418    372    742    515    461    411
 1952    611    408    365    325    984    748    691    634
 1953    650    448    404    361    976    739    681    623
 1954    551    375    336    298    961    727    671    616
 1955    720    509    464    422    791    569    517    467
 1956    664    460    416    373    988    753    695    638
 1957    564    358    314    277    804    570    513    460
 1958    672    477    433    391    747    521    472    427
 1959    672    454    405    358    910    671    615    560
 1960    624    417    370    326    785    551    498    448
 1961    541    351    312    273    814    584    531    481
