# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7664] SIBLEY-5-NNE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia7664
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.13  2.25  3.43  2.41  6.15  5.28  5.24  3.91  3.42  1.64  0.31  1.16 35.33
 1952  1.68  1.15  1.97  0.86  2.16  6.00  3.02  4.37  0.58  0.00  0.41  0.75 22.95
 1953  0.79  1.86  2.38  3.51  2.55 10.42  4.46  5.26  1.85  0.37  1.87  1.40 36.72
 1954  0.30  1.52  2.15  2.08  3.03 10.60  3.64  2.73  2.59  1.85  0.46  0.11 31.06
 1955  0.37  0.73  0.67  4.16  0.71  2.43  3.03  0.60  1.10  1.47  0.28  0.83 16.38
 1956  0.81  0.57  1.08  1.05  2.67  3.23  6.75  6.33  0.96  0.95  3.23  0.94 28.57
 1957  0.35  0.77  1.86  1.63  4.62  6.45  5.62  6.19  2.46  3.15  2.05  0.44 35.59
 1958  0.11  0.51  0.89  3.52  1.62  3.94  3.14  1.44  0.86  0.08  1.49  0.16 17.76
 1959  0.26  1.11  1.09  0.82  9.86  3.13  0.11  5.91  2.29  2.88  1.36  1.38 30.20
 1960  0.84  0.18  1.07  4.00  7.20  3.00  2.39  4.58  6.42  0.42  0.75  0.87 31.72
 1961  0.53  1.04  2.29  2.09  3.21  3.79  2.33  2.68  4.13  1.75  0.81  1.30 25.95
 1962  0.20  4.13  2.11  1.94  3.59  3.79  5.60  4.56  1.82  0.93  0.28  0.36 29.31
 1963  0.80  1.13  1.62  1.62  0.85  5.94  5.53  2.01  2.72  2.28  0.18  0.38 25.06
 1964  0.32  0.17  1.94  4.55  3.06  3.10  5.34  3.55  7.46  0.38  1.38  1.46 32.71
 1965  0.36  2.24  2.11  3.97  8.32  3.85  1.69  2.47  7.83  0.65  0.75  0.78 35.02
 1966  1.24  1.30  0.64  2.19  2.01  3.49  2.35  6.04  2.00  2.93  0.36  1.00 25.55
 1967  1.26  0.93  0.54  2.75  1.43  7.34  1.62  4.48  0.53  0.76  0.18  1.08 22.90
 1968  0.61  0.23  0.42  3.65  3.22  3.77  2.62  3.05  6.11  7.33  0.55  1.43 32.99
 1969  1.28  1.64  2.01  0.46  3.41  5.04  4.97  3.73  1.06  2.14  0.32  2.06 28.12
 1970  0.00  0.37  2.03  1.68  3.57  2.94  5.42  0.59  3.51  3.85  1.76  1.12 26.84
 1971  0.07  1.84  1.06  0.00  1.86  6.07  2.99  1.83  1.18  3.79  1.94  0.93 23.56
 1972  0.17  0.64  0.91  2.65  6.30  3.44  0.00  0.00  1.42  1.79  1.41  1.62 20.35
 1973  0.67  0.47  2.27  1.78  2.21  3.57  3.45  1.93  5.26  1.16  2.30  0.86 25.93
 1974  0.12  0.09  1.07  1.79  3.29  2.67  0.88  9.72  1.09  1.12  0.62  0.24 22.70
 1975  2.09  0.37  1.81  3.96  2.65  6.31  0.13 11.32  0.92  0.00  1.62  0.15 31.33
 1976  0.13  0.61  2.42  1.32  1.77  0.00  2.27  0.64  3.88  0.97  0.03  0.34 14.38
 1977  0.26  0.41  4.16  2.33  3.47  3.42  4.95  4.82  5.08  3.55  2.14  0.79 35.38
 1978  0.35  0.17  0.23  3.55  3.33  2.60  0.00  3.24  2.66  0.66  0.93  0.45 18.17
 1979  0.76  0.47  4.58  4.52  4.38  3.07  4.84 14.36  3.28  5.92  1.62  0.03 47.83
 1980  0.43  0.49  0.00  0.88  3.04  1.89  1.68  6.42  3.10  0.85  0.10  0.50 19.38
 1981  0.09  0.74  1.82  0.08  2.36  4.53  2.73  4.31  1.63  1.99  0.69  0.87 21.84
 1982  1.81  0.21  0.90  1.31  6.03  1.95  2.98  6.09  4.72  4.58  2.65  2.87 36.10
 1983  0.56  0.59  3.64  3.34  3.65  7.91  2.27  2.01  2.39  1.29  3.83  0.56 32.04
 1984  0.55  1.82  1.41  6.56  2.96  8.80  1.62  1.81  1.51  5.13  0.50  1.28 33.95
 1985  0.25  0.09  3.15  6.43  4.20  2.73  1.02  5.21  6.10  1.03  1.38  0.82 32.41
 1986  0.44  0.04  1.88  6.48  3.16  5.00  2.73  4.24  5.39  1.84  0.99  0.11 32.30
 1987  0.31  0.03  5.17  0.70  3.03  2.39  6.14  2.97  7.30  0.25  1.06  0.98 30.33
 1988  0.94  0.39  1.20  4.07  1.58  2.41  0.73  4.80  3.88  0.11  1.88  0.14 22.13
 1989  0.27  0.30  1.34  2.19  1.69  2.39  4.94  3.41  2.90  0.02  0.56  0.19 20.20
 1990  0.07  0.30  3.15  1.52  4.25  7.03  3.35  3.66  0.75  2.28  0.93  0.63 27.92
 1991  0.33  0.33  2.70  4.21  4.64  3.39  2.80  1.53  2.69  0.49  3.94  0.54 27.59
 1992  0.59  0.95  2.15  2.56  3.24  4.09  6.57  4.10  2.51  2.72  1.12  0.77 31.37
 1993  0.60  0.85  0.98  2.94  6.60  9.25  7.11  4.80  2.10  0.93  1.50  0.95 38.61
 1994  0.85  0.32  0.07  2.95  1.61  8.16  1.38  4.35  3.44  1.41  0.79  0.24 25.57
 1995  0.05  0.26  3.20  4.06  4.77  3.22  2.52  6.14  4.75  1.76  0.84  0.16 31.73
 1996  0.74  0.14  1.75  0.47  3.74  4.74  2.30  2.65  2.74  2.31  3.57  0.86 26.01
 1997  0.92  0.36  0.81  2.42  3.97  3.77  1.32  1.57  2.35  1.33  0.72  0.36 19.90
 1998  0.61  0.64  3.05  3.91  1.70  4.41  3.50  4.73  0.45  3.78  2.13  0.26 29.17
 1999  1.13  0.25  1.13  5.22  3.02  5.60  4.07  1.61  0.75  0.68  0.06  0.36 23.88
 2000  0.66  0.97  0.85  2.23  5.26  3.11  2.30  2.16  0.77  3.28  2.45  0.99 25.03
 2001  1.52  1.41  0.68  7.48  4.43  4.54  3.96  0.55  1.74  0.70  4.09  0.33 31.43
 2002  0.19  0.35  1.23  2.66  2.38  2.28  1.11  7.99  0.99  2.18  0.15  0.08 21.59
 2003  0.37  0.64  1.08  1.77  5.50  4.58  2.70  0.64  3.78  0.56  0.82  1.13 23.57
