# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4038] IDA-GROVE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.29   0.21   62(76)   13(16)    6( 7)    1( 1)    0( 0)    0       82
  2 3/8-->3/14       1.38   0.32   41(57)   14(19)   12(17)    5( 7)    0( 0)    0       72
  3 3/15-->3/21      1.10   0.25   51(70)   11(15)    9(12)    2( 3)    0( 0)    0       73
  4 3/22-->3/28      2.30   0.35   46(58)   15(19)   13(16)    4( 5)    1( 1)    0       79
  5 3/29-->4/4       1.61   0.32   54(59)   20(22)   11(12)    6( 7)    0( 0)    0       91
  6 4/5-->4/11       1.85   0.30   52(63)   18(22)   10(12)    3( 4)    0( 0)    0       83
  7 4/12-->4/18      1.58   0.33   58(56)   22(21)   21(20)    3( 3)    0( 0)    0      104
  8 4/19-->4/25      2.62   0.40   58(52)   22(20)   20(18)   10( 9)    1( 1)    0      111
  9 4/26-->5/2       2.68   0.44   56(50)   26(23)   17(15)   11(10)    2( 2)    0      112
 10 5/3-->5/9        2.05   0.38   62(57)   21(19)   16(15)    9( 8)    1( 1)    0      109
 11 5/10-->5/16      3.24   0.37   64(52)   30(24)   22(18)    7( 6)    1( 1)    0      124
 12 5/17-->5/23      4.20   0.55   41(38)   18(17)   31(28)   18(17)    1( 1)    0      109
 13 5/24-->5/30      3.44   0.42   69(50)   27(20)   29(21)    9( 7)    3( 2)    0      137
 14 5/31-->6/6       2.84   0.40   62(52)   29(24)   17(14)    8( 7)    3( 3)    0      119
 15 6/7-->6/13       3.39   0.51   46(39)   34(29)   21(18)   13(11)    5( 4)    0      119
 16 6/14-->6/20      4.00   0.59   62(50)   20(16)   14(11)   20(16)    7( 6)    0      123
 17 6/21-->6/27      4.40   0.72   42(38)   18(16)   26(24)   13(12)   11(10)    0      110
 18 6/28-->7/4       3.37   0.46   50(51)   19(19)   18(18)   10(10)    2( 2)    0       99
 19 7/5-->7/11       3.82   0.48   55(49)   27(24)   15(13)   13(12)    3( 3)    0      113
 20 7/12-->7/18      3.30   0.46   58(54)   17(16)   18(17)   10( 9)    4( 4)    0      107
 21 7/19-->7/25      1.67   0.34   59(57)   17(16)   20(19)    8( 8)    0( 0)    0      104
 22 7/26-->8/1       4.50   0.40   56(54)   23(22)   17(16)    7( 7)    1( 1)    0      104
 23 8/2-->8/8        3.70   0.47   69(61)   17(15)   11(10)    8( 7)    8( 7)    0      113
 24 8/9-->8/15       3.07   0.44   58(64)   11(12)    9(10)    9(10)    4( 4)    0       91
 25 8/16-->8/22      3.23   0.48   56(51)   15(14)   24(22)   10( 9)    4( 4)    0      109
 26 8/23-->8/29      4.64   0.43   55(57)   14(14)   19(20)    7( 7)    2( 2)    0       97
 27 8/30-->9/5       11.01   0.53   51(55)   16(17)   12(13)   13(14)    1( 1)    0       93
 28 9/6-->9/12       3.32   0.44   44(52)   19(23)   10(12)    9(11)    2( 2)    0       84
 29 9/13-->9/19      4.88   0.48   42(44)   19(20)   24(25)    9( 9)    1( 1)    0       95
 30 9/20-->9/26      2.20   0.33   56(58)   20(21)   15(16)    4( 4)    1( 1)    0       96
 31 9/27-->10/3      2.94   0.37   40(56)   14(19)   13(18)    4( 6)    1( 1)    0       72
 32 10/4-->10/10     1.90   0.40   48(59)   12(15)   11(14)   10(12)    0( 0)    0       81
 33 10/11-->10/17    1.98   0.45   30(48)   16(25)    8(13)    9(14)    0( 0)    0       63
 34 10/18-->10/24    2.15   0.37   37(56)    9(14)   17(26)    2( 3)    1( 2)    0       66
 35 10/25-->10/31    1.18   0.28   44(64)   10(14)   14(20)    1( 1)    0( 0)    0       69
 36 11/1-->11/7      1.79   0.27   49(73)    5( 7)   11(16)    2( 3)    0( 0)    0       67
 37 11/8-->11/14     2.19   0.28   33(69)    8(17)    4( 8)    2( 4)    1( 2)    0       48
 38 11/15-->11/21    1.24   0.31   36(56)   15(23)   10(16)    3( 5)    0( 0)    0       64
 39 11/22-->11/28    1.45   0.18   46(77)   10(17)    3( 5)    1( 2)    0( 0)    0       60
 40 11/29-->12/5     2.40   0.20   42(79)    7(13)    3( 6)    0( 0)    1( 2)    0       53
 41 12/6-->12/12     0.83   0.17   46(81)    5( 9)    6(11)    0( 0)    0( 0)    0       57
 42 12/13-->12/19    1.70   0.21   38(75)   10(20)    2( 4)    1( 2)    0( 0)    0       51
 43 12/20-->12/26    0.83   0.14   49(88)    4( 7)    3( 5)    0( 0)    0( 0)    0       56
 44 12/27-->1/2      1.63   0.23   38(73)    8(15)    4( 8)    2( 4)    0( 0)    0       52
