# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.31   0.22   82(76)   13(12)    8( 7)    5( 5)    0( 0)    0      108
  2 3/8-->3/14       1.21   0.23   76(71)   15(14)   12(11)    4( 4)    0( 0)    0      107
  3 3/15-->3/21      1.65   0.25   68(75)   11(12)    7( 8)    5( 5)    0( 0)    0       91
  4 3/22-->3/28      2.91   0.35   57(60)   18(19)    9( 9)   10(11)    1( 1)    0       95
  5 3/29-->4/4       2.09   0.30   62(56)   27(25)   15(14)    5( 5)    1( 1)    0      110
  6 4/5-->4/11       2.84   0.31   63(58)   23(21)   18(17)    4( 4)    1( 1)    0      109
  7 4/12-->4/18      1.52   0.28   83(65)   17(13)   23(18)    5( 4)    0( 0)    0      128
  8 4/19-->4/25      1.78   0.34   79(57)   25(18)   24(17)   11( 8)    0( 0)    0      139
  9 4/26-->5/2       2.24   0.38   78(55)   31(22)   17(12)   15(11)    1( 1)    0      142
 10 5/3-->5/9        2.64   0.37   77(55)   26(19)   26(19)    7( 5)    4( 3)    0      140
 11 5/10-->5/16      2.70   0.37   69(54)   25(20)   21(17)   10( 8)    2( 2)    0      127
 12 5/17-->5/23      5.37   0.43   72(53)   32(23)   19(14)   11( 8)    3( 2)    0      137
 13 5/24-->5/30      2.50   0.40   92(58)   24(15)   29(18)   10( 6)    4( 3)    0      159
 14 5/31-->6/6       2.76   0.38   75(57)   22(17)   20(15)   12( 9)    2( 2)    0      131
 15 6/7-->6/13       1.37   0.39   69(50)   26(19)   32(23)   11( 8)    0( 0)    0      138
 16 6/14-->6/20      2.75   0.45   72(56)   18(14)   20(16)   16(12)    3( 2)    0      129
 17 6/21-->6/27      3.48   0.52   56(46)   27(22)   18(15)   15(12)    6( 5)    0      122
 18 6/28-->7/4       6.72   0.47   61(55)   18(16)   18(16)   12(11)    1( 1)    0      110
 19 7/5-->7/11       2.71   0.49   58(50)   14(12)   27(23)   13(11)    4( 3)    0      116
 20 7/12-->7/18      5.21   0.42   58(55)   17(16)   18(17)   10(10)    2( 2)    0      105
 21 7/19-->7/25      3.15   0.39   61(55)   23(21)   15(14)   10( 9)    2( 2)    0      111
 22 7/26-->8/1       3.73   0.41   60(59)   14(14)   18(18)    6( 6)    4( 4)    0      102
 23 8/2-->8/8        2.85   0.42   73(59)   17(14)   15(12)   15(12)    3( 2)    0      123
 24 8/9-->8/15       2.78   0.38   62(58)   16(15)   18(17)    8( 8)    2( 2)    0      106
 25 8/16-->8/22      2.73   0.53   38(39)   21(21)   23(23)   11(11)    5( 5)    0       98
 26 8/23-->8/29      5.15   0.46   59(55)   21(20)   13(12)   10( 9)    4( 4)    0      107
 27 8/30-->9/5       3.37   0.47   66(58)   14(12)   17(15)   11(10)    5( 4)    0      113
 28 9/6-->9/12       7.83   0.73   40(48)   13(15)   16(19)    9(11)    6( 7)    0       84
 29 9/13-->9/19      7.56   0.45   60(55)   17(15)   21(19)   11(10)    1( 1)    0      110
 30 9/20-->9/26      5.59   0.40   67(62)   11(10)   19(18)   10( 9)    1( 1)    0      108
 31 9/27-->10/3      2.30   0.34   54(61)   16(18)   12(14)    4( 5)    2( 2)    0       88
 32 10/4-->10/10     1.76   0.34   54(59)   14(15)   16(18)    7( 8)    0( 0)    0       91
 33 10/11-->10/17    3.70   0.43   44(60)    9(12)   10(14)    9(12)    1( 1)    0       73
 34 10/18-->10/24    2.71   0.32   48(59)   17(21)   12(15)    3( 4)    1( 1)    0       81
 35 10/25-->10/31    1.56   0.30   51(63)   16(20)    8(10)    6( 7)    0( 0)    0       81
 36 11/1-->11/7      1.48   0.30   50(63)   13(16)   12(15)    5( 6)    0( 0)    0       80
 37 11/8-->11/14     2.16   0.26   49(68)   13(18)    7(10)    1( 1)    2( 3)    0       72
 38 11/15-->11/21    1.99   0.31   45(58)   17(22)   12(15)    4( 5)    0( 0)    0       78
 39 11/22-->11/28    1.15   0.18   58(81)    8(11)    5( 7)    1( 1)    0( 0)    0       72
 40 11/29-->12/5     1.50   0.15   71(85)    6( 7)    6( 7)    1( 1)    0( 0)    0       84
 41 12/6-->12/12     1.10   0.18   50(74)   13(19)    4( 6)    1( 1)    0( 0)    0       68
 42 12/13-->12/19    0.94   0.15   64(83)    9(12)    4( 5)    0( 0)    0( 0)    0       77
 43 12/20-->12/26    0.69   0.13   58(82)   10(14)    3( 4)    0( 0)    0( 0)    0       71
 44 12/27-->1/2      1.11   0.16   61(76)   15(19)    3( 4)    1( 1)    0( 0)    0       80
 45 1/3-->1/9        0.79   0.13   52(88)    3( 5)    4( 7)    0( 0)    0( 0)    0       59
 46 1/10-->1/16      0.62   0.14   53(84)    8(13)    2( 3)    0( 0)    0( 0)    0       63
 47 1/17-->1/23      0.82   0.15   60(78)   15(19)    2( 3)    0( 0)    0( 0)    0       77
 48 1/24-->1/30      0.70   0.11   69(90)    6( 8)    2( 3)    0( 0)    0( 0)    0       77
 49 1/31-->2/6       0.85   0.17   60(82)    5( 7)    8(11)    0( 0)    0( 0)    0       73
 50 2/7-->2/13       1.33   0.15   58(83)    8(11)    3( 4)    1( 1)    0( 0)    0       70
 51 2/14-->2/20      1.59   0.20   65(75)   12(14)    9(10)    1( 1)    0( 0)    0       87
 52 2/21-->2/27      0.98   0.17   64(80)    9(11)    7( 9)    0( 0)    0( 0)    0       80
 53 2/28-->2/29      0.32   0.09   15(94)    1( 6)    0( 0)    0( 0)    0( 0)    0       16
ANNUAL TOTALS        7.83   0.34 3246(62)  839(16)  707(13)  337( 6)   74( 1)    0     5203
