# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8266] TIPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8266
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     7     7    15    10     1    40       12    23    59    28     1   123
 1952     3    17    20     9     8    57       13    85   108    36    38   280
 1953     5    16    20    15     8    64       23    89   104   115    60   391
 1954     0    18    25    10     8    61        0   119   172    32    48   371
 1955     4     3    26    25    10    68       11    14   222   213    70   530
 1956     3    20    17    16     4    60       14   121   108    69    11   323
 1957     0     8    22    16     2    48        0    27   130    88     6   251
 1958     1     3     1    19     0    24        3     7     2    78     0    90
 1959     5    12    12    20     8    57       10    42    42   116    34   244
 1960     0     1    11    15     8    35        0     2    44    50    76   172
 1961     1    10    10    15     6    42        4    50    32    39    28   153
 1962     8     8     7    11     3    37       23    23    18    42    13   119
 1963     2    18     7     6     2    35       10   131    47    21     5   214
 1964     6    11    18     5     4    44       20    39    71    23    11   164
 1965     0     1     6     8     1    16        0     5    28    29     2    64
 1966     1    11    21    11     3    47        1    34   140    36    11   222
 1967     5     3    14     1     0    23       23     9    54     2     0    88
 1968     1    14    18    16     1    50        2    58    59    88     3   210
 1969     3     3    10     7     1    24        8     7    38    19     1    73
 1970     2     3    15     9     2    31        4    14    80    29     5   132
 1971     1    15     7     9     7    39        2    61    14    34    22   133
 1972     7     7     8    10     5    37       18    25    28    49    11   131
 1973     0     8    12    14     2    36        0    38    54    40     6   138
 1974     0     4    18     2     0    24        0     8   123     2     0   133
 1975     4    11    18    10     0    43       22    38    74    46     0   180
 1976     0     7    10     8     3    28        0    25    48    20     5    98
 1977     7    11    12     2     0    32       14    41    79     4     0   138
 1978     3     8     7     7     8    33       11    24    12    16    37   100
 1979     3     6     6     6     4    25        7    13     8    30    11    69
 1980     4     6    22    15     3    50        8    32   127    61    13   241
 1981     0     5    11     4     3    23        0    15    51    11     9    86
 1982     0     0    13     5     2    20        0     0    42    26     5    73
 1983     0    13    25    24     7    69        0    58   173   210    41   482
 1984     1     5    10    15     5    36        2    17    56    78    28   181
 1985     2     4    17     7     9    39       10    29    62    25    52   178
 1986     0     7    12     1     3    23        0    28    50     2     4    84
 1987     4    11    20     8     0    43       10    65   152    64     0   291
 1988     4    15    23    17     2    61        9    95   162   180     8   454
 1989     2     3    11     7     0    23        4     6    68    19     0    97
 1990     0     2     5     5     5    17        0     9    32    24    23    88
 1991     5    10    13     9     6    43       17    25    70    41    20   173
 1992     2     5     1     3     0    11        6    17     3     5     0    31
 1993     0     2     1     1     0     4        0     7     1     3     0    11
 1994     2     8     2     1     3    16        4    23     3     1     9    40
 1995     0     9     8    12     0    29        0    39    35    33     0   107
 1996     2     8     2     3     0    15        6    29     7     8     0    50
 1997     1     2     8     4     0    15        1     6    38     9     0    54
 1998     5     4     4     1     6    20       27    22    12     2    13    76
 1999     0     5    14     1     4    24        0    12    60     3    14    89
 2000     0     5     2     2     6    15        0     8     2     3    32    45
 2001     0     2    11    10     0    23        0     7    23    38     0    68
 2002     0     8    14     2     5    29        0    20    30     5     9    64
 2003     0     3     6    10     1    20        0     9    14    39     3    65
 2004     1     3     2     0     3     9        1     6     3     0     5    15
 2005     0    11    15     0     0    26        0    38    59     0     0    97
 **************************************************************************************
MEANS   2.1   7.6  12.1   8.7   3.3  33.9      6.5  32.6  60.6  41.5  14.6 155.9
