# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4142] IOWA-FALLS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   7  10  12   7  11   6  14   7   7   3   7  95
1952     5   2   9   4  11   9  10   7   2   1   4   5  69
1953     8   5  10  11  10   8   7   4   3   2   4   8  80
1954     2   4  10   9   6  10   6  14   7   4   0   5  77
1955     6   4   3   8   9   6   8   5   7   6   4   4  70
1956     6   3   7   7   9   3   7  11   4   5   7   3  72
1957     3   3   9   6  10  10   8   8   6   5   5   2  75
1958     2   1   1   5   8  10   0   3   3   1   1   1  36
1959     0   2   5   5  12   4   4  12  10   4   5   3  66
1960     4   1   8   5  11   7   4   8   7   2   2   4  63
1961     2   4   4   6   5   4   9   4   9   5   2   5  59
1962     1   5   9   8  12   9   9   7   4   9   2   2  77
1963     2   6   7  10   7   6   7   6   6   8   3   4  72
1964     3   2   6  10  11  10   5   8  10   2   3   5  75
1965     3   6  10  11   8  11   9  12  19   3   4   3  99
1966     4   2   5   9   9   9   6   4   4   3   2   6  63
1967     7   4   5   9   5  16   7  10   5   8   4   3  83
1968     5   2   4  10   9  11   8   8   9   8   5   9  88
1969     6   3   4  11  11  14  12   3   6  11   3   6  90
1970     6   1   6   6  11  10   8   7  14  10   8   3  90
1971     1   9   4   6  11  10  10   3   7   9   7   4  81
1972     3   6   8  10  11   8  10   9  12  10   6   7 100
1973     4   7   7  11  13   7  10   5  14   7   7   8 100
1974     6   2   6   6  13   8   6  12   6   8   6   9  88
1975     8   5   6  13  11  15   5  11   3   3  11   2  93
1976     1   3   9   6   9   9   8   4   4   6   0   3  62
1977     4   3   8   9  10   9   9  15   9   8   9   8 101
1978     6   6   5  11   7  13  12   7   4   8  10  10  99
1979    11   6  10   9  13   9   0  11   5   7   9   1  91
1980     7   0   3   4   9  10   8   0   9   4   1   4  59
1981     1   0   3  11   8  10   7  10   4   9   7   5  75
1982    12   3  12   9  20   8  10   6   9   9  10   7 115
1983     5   5  12  10  16  10  11   7   5  10  12   9 112
1984     4   0   0  11   0  13   7   0   0   0   0   0  35
1985     0   0   0   0  11   7   8   9  10   9  10   5  69
1986     4   4   3  12  13  10  11   7  12   8   4   4  92
1987     4   2   7   6   7   8   6  12   9   4   7  10  82
1988     4   6   7   8   5   0   5   8  11   3   9   3  69
1989     3   7   5   4   7   7   7   7   6   8   3   5  69
1990     4   4  11   9  13  16  11   7   6   5   6   6  98
1991     3   4  12  10  14   8   5   7   9  10  13   7 102
1992     7   5   7  12   7   7  16   7  11   4  10  12 105
1993     8   8   8  11  17  14  13  17  11   5   5   6 123
1994    14   4   3  12   8  12  12  12  10   6   8   5 106
1995     6   2  11  14  11   7  10  11  10  13   6   3 104
1996    10   2   6   5  16  12   6   9   6   7  14   5  98
1997     9   7   6   6   9  10   7   7   6   6   4   8  85
1998     7   9  15  12  13  18   6  11   6  13   4   3 117
1999     8   4   5  14  15  11  13   9   5   3   4   7  98
2000     5   6   5   7  13  14   7   6   6  10   9  15 103
2001     7   8   4  13  19  10   5  10   6  10   6   8 106
2002     5   6   7  14  11   9   9  10   6  16   4   4 101
2003     6   8   8  11  13  12  12   6   8   6  12  11 113
2004     8  11  19  10  20  15  13  11   8  17  12  10 154
2005    16  14  12  12  18  16   8   0   0   0   0   0  96
STDDEV   3   3   4   3   4   3   3   4   4   4   4   3  21
AVG      5   4   7   9  11  10   8   8   7   7   6   5  87
