# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7979] STORM-LAKE-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia7979
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.15  2.46  3.54  5.31  5.91  8.88  5.13  8.91  3.41  1.51  0.22  0.42 45.85
 1952  1.49  1.00  2.12  1.08  3.27  0.00  0.52  3.92  1.01  0.00  0.85  0.58 15.84
 1953  0.71  1.01  2.97  3.42  2.98  5.02  5.19  3.26  0.43  0.85  1.75  1.08 28.67
 1954  0.08  2.82  1.84  3.12  6.93  8.40  1.69  5.83  1.36  4.58  0.05  0.17 36.87
 1955  0.16  0.96  0.81  2.73  0.97  1.92  2.69  0.62  3.49  0.86  0.12  0.39 15.72
 1956  0.26  0.14  0.36  1.58  3.12  1.54  2.45  2.83  0.17  1.48  2.72  0.16 16.81
 1957  0.06  0.12  1.43  1.02  3.81  4.06  5.41  3.66  3.65  3.37  2.20  0.53 29.32
 1958  0.08  0.65  0.42  2.13  1.33  5.30  5.06  1.27  1.12  0.04  0.33  0.12 17.85
 1959  0.20  1.49  1.98  1.90 10.06  2.92  1.13  3.75  2.94  2.25  1.12  1.63 31.37
 1960  0.49  0.54  0.80  1.08  5.57  3.94  3.90  5.19  3.32  0.67  0.66  0.54 26.70
 1961  0.02  1.23  3.36  1.35  4.03  3.62  3.60  3.52  3.48  1.72  0.92  1.16 28.01
 1962  0.09  1.58  1.08  2.20  3.81  3.34  6.64  9.20  1.70  1.23  0.26  0.10 31.23
 1963  0.22  0.50  1.10  2.43  2.38  6.33  3.83  3.34  2.08  1.57  0.21  0.38 24.37
 1964  0.18  0.10  0.91  5.14  3.14  3.79  4.36  3.43  3.50  0.67  0.42  0.83 26.47
 1965  0.32  0.99  1.87  3.27  5.77  2.04  1.33  2.46 12.44  0.78  0.60  0.88 32.75
 1966  1.04  0.44  1.92  1.07  2.03  2.20  1.91  3.66  1.25  1.01  0.07  0.37 16.97
 1967  0.49  0.10  0.50  3.09  3.72 10.80  2.61  3.01  1.55  1.42  0.10  0.74 28.13
 1968  0.42  0.12  0.57  3.99  3.18  4.30  3.51  4.59  5.58  0.00  0.46  1.43 28.15
 1969  1.59  1.40  0.68  2.03  4.13  9.24  6.08  2.81  1.99  2.51  0.38  1.27 34.11
 1970  0.20  0.10  1.79  1.46  2.88  1.86  3.10  1.46  3.06  5.42  1.79  0.68 23.80
 1971  0.16  2.89  0.51  0.97  3.32  7.01  5.12  1.03  1.26  4.84  1.51  0.52 29.14
 1972  0.21  0.46  0.54  3.15  5.44  4.15  5.71  4.70  4.89  2.50  1.23  1.15 34.13
 1973  0.71  0.38  2.64  1.76  5.81  1.64  5.03  4.57  5.94  1.69  3.01  0.90 34.08
 1974  0.17  0.11  1.12  2.71  4.32  3.86  1.84  5.44  1.03  0.92  0.51  0.27 22.30
 1975  3.55  0.81  2.30  6.37  4.18  6.54  0.56  4.50  1.37  0.31  2.87  0.91 34.27
