# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7979] STORM-LAKE-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   6  12  12  12  15  14  13   8   8   2   7 111
1952     7   5   9   6  16   0   3  10   3   0   4   2  65
1953     6   6  11  11  11  10  11   7   3   4   4   4  88
1954     1   4   9  11   9  11  11  14   9   9   2   2  92
1955     3   5   6   7   6  11   7   4   8   6   3   5  71
1956     5   2   4   7  11   5   8  15   2   5   6   3  73
1957     2   1   7   3  10  11  13  10   9  12   6   6  90
1958     2   2   4   9   7  10  13   6   4   2   2   3  64
1959     2   6   8   7  15   6   5   8  12  12   7   7  95
1960     3   3  10   6  12  11   8   8   9   2   2   3  77
1961     1   7   9   8  10  10  10  10  14   5   4   6  94
1962     3  11   9  10  12  12  10  11   7   5   3   1  94
1963     6   7   9   9   6   9  12   7  10   2   4   6  87
1964     4   2   8  10  11  12  10  10  12   3   6   7  95
1965     2   7   9  13  12   7  13  13  20   3   4   4 107
1966     7   5   4   9   9   9   9   8   5   3   3   3  74
1967     7   3   3   8   8  17   5   7   5   7   4   6  80
1968     5   4   2  11  10  12  12  10  12   0   6   9  93
1969    11   6   3   8  13  12  10   6   6   9   3   7  94
1970     6   1   8   8  11  10  11   8  10  10   7   4  94
1971     2   7   2   3   8   9  10   4   7   8   9   4  73
1972     3   5   5  11  14  10  13  11  13   7   3   6 101
1973     5   4   9  12  12   8   8   4  11   5   7   8  93
1974     4   3   6   8  12   9  10  12   4   5   5   4  82
1975     7   5  11  14  11  16   4   9   4   3   7   1  92
1976     2   4   8   7   8   7   6   1   4   4   0   4  55
1977     4   4  10  11  12   9   8  10  11  10   7   5 101
1978     7   7   5  14   9  10  11   7   8   9   5   7  99
1979     8   5  10  12  11   8   8   9   6   8  10   2  97
1980     7   5   7   5  12   7   9  16   6   4   1   3  82
1981     1   5   4   6  10  12   5  10   4  10   8   4  79
1982     9   6  10  12  19   8  10  10   9   8   8   6 115
1983     5   6  12   9  12  12   8   9  13  12  11   7 116
1984     2   6  12  16  15  15  10   6   8  13   5   8 116
1985     7   2   5  10  11  10   6  13  15  12   9   8 108
1986     2   4   5  16  10  10   9   9  16   6   5   4  96
1987     3   1  11   8  12   7  15  12   7   7   8   4  95
1988     4   3   2  12   6   6   6   7  12   5  10   3  76
1989     5   6   8   9   8   8   7   7   5   4   4   6  77
1990     3   4  14  10  12  16  13  10   8   8   4   4 106
1991     6   2  10  11  19  10  11  10   9   8  10   3 109
1992     6   4   8  11   9  11  16   8   9   4   7  11 104
1993     4   8   9  10  17  15  15  10  12   4   4   7 115
1994    10   5   3   7   8   9   9  12   9   8   8   3  91
1995     2   4  12  13  15   9   8  10  11  10   5   4 103
1996     7   1   6   4  17   9   6   7   8   5  10   5  85
1997     7   4   6   9   9  11   6   8   7   5   6   6  84
1998     8  11  14  12   9  17  12  11   3  10   3   3 113
1999     8   5   5  13  12  14  11   5   4   3   4   6  90
2000     8   5   6   5  12  10   6   6   6  11   8  14  97
2001     7   5   2   6  14   7  10   6   7   5   5   3  77
2002     4   4   7  12  11   8   7  10  12  12   3   5  95
2003    10   5   8  11  11  15   8   3   7   3   7   6  94
2004    10  10  13   6  14  17   8  11   8  10   9   4 120
2005    10  10  10  11  16  18   8   0   0   0   0   0  83
STDDEV   3   2   3   3   3   3   3   3   4   3   3   2  15
AVG      5   5   8   9  11  10   9   9   8   6   5   5  92
