# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8339] TRIPOLI-4-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8339
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     5     2     0     7        0     0    16     8     0    24
 1952     3    12    16     4     9    44        5    51    71    11    27   165
 1953     3     9     9    11     3    35       11    45    30    60    20   166
 1954     0    11    18     4     5    38        0    44    82     7    21   154
 1955     2     2    23    19     7    53        3    11   152   144    45   355
 1956     1    13     6     7     0    27        4    51    21    27     0   103
 1957     0     1    16     8     0    25        0     1    80    16     0    97
 1958     0     4     1     9     0    14        0     7     2    20     0    29
 1959     2     3     4    14     3    26        4    11     7    36    11    69
 1960     0     2    12     9     7    30        0     2    54    25    43   124
 1961     1     7     5     9     4    26        1    31    12    23     8    75
 1962     2     5     5     5     2    19        2    12    11    11     3    39
 1963     1    12     7     5     0    25        2    55    26    11     0    94
 1964     3    10    19     7     3    42        6    31   109    39     6   191
 1965     2     1     5     7     0    15        6     1    30    36     0    73
 1966     1     6    14     3     0    24        2    22    77     6     0   107
 1967     3     1     6     0     0    10       16     1    10     0     0    27
 1968     0     9     4    10     0    23        0    30    16    40     0    86
 1969     2     2     8     5     0    17        6     3    28    13     0    50
 1970     2     4    14     5     1    26        7    24    40     9     2    82
 1971     0    16     4     7     6    33        0    55     6    24    22   107
 1972     5     5     9    12     1    32       10     5    28    51     1    95
 1973     0     6     8     8     0    22        0    34    25    27     0    86
 1974     0     3    16     4     0    23        0     9    73     8     0    90
 1975     3     7    18    13     0    41       11    23    71    41     0   146
 1976     0     7    17     8     5    37        0    19    86    25    13   143
 1977     9     7    15     1     0    32       15    32    78     2     0   127
 1978     3     6     8     9     7    33       14    20    24    30    38   126
 1979     0     4     5    10     1    20        0     8    10    32     1    51
 1980     6     7    20    10     4    47       18    30    92    37    10   187
 1981     0     4    13     2     2    21        0    17    54     4     6    81
 1982     0     1     6     3     0    10        0     2    18     7     0    27
 1983     0     7    17    18     5    47        0    28    69    78    20   195
 1984     0     2     7    12     5    26        0     4    13    74    25   116
 1985     2     4     7     3     4    20        6    24    26     9    17    82
 1986     0     4    10     2     1    17        0    15    39     2     1    57
 1987     4    11    15     6     0    36        8    50    64    36     0   158
 1988     3    17    17    18     3    58        8    93    91   164    13   369
 1989     1     4    13     7     0    25        1    12    85    25     0   123
 1990     0     3     4     3     3    13        0     7    23     9    14    53
 1991     3     9    10     7     0    29       10    46    50    19     0   125
 1992     1     3     1     2     0     7        2    12     2     5     0    21
 1993     0     0     1     4     0     5        0     0     3     9     0    12
 1994     0     7     2     2     3    14        0    29     4     4    13    50
 1995     0     9     9    15     0    33        0    42    54    57     0   153
 1996     2     6     3     2     0    13        3    24     8     7     0    42
 1997     0     6     7     2     0    15        0    12    20     4     0    36
 1998     5     5     6     3     6    25       21    20    17     5    22    85
 1999     0     6    16     2     3    27        0    13    77     5     7   102
 2000     0     3     5     3     7    18        0     9    11     7    29    56
 2001     2     8    12    10     0    32        8    30    33    43     0   114
 2002     1     9    18     2     6    36        4    33    64     7    23   131
 2003     0     4     6    15     5    30        0    10    24    86    18   138
 2004     0     2     3     0     0     5        0     7     5     0     0    12
 2005     0     9    17     0     0    26        0    39    52     0     0    91
 **************************************************************************************
MEANS   1.4   5.9   9.9   6.7   2.2  26.1      3.9  22.7  41.3  27.0   8.7 103.6
