# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4038] IDA-GROVE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4038
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     3    17     7     1    28        0     6    64    26     1    97
 1952     2    20    20     9    12    63        9   122   103    27    41   302
 1953     4    19    24    15     9    71        7   116   139    91    54   407
 1954     2    15    25     7     8    57        4    81   232    24    27   368
 1955     2     4    23    22    11    62        4    13   167   214    71   469
 1956     4    20    15    15     8    62        7   163    82    87    37   376
 1957     0     5    19    11     1    36        0     9   111    44     2   166
 1958     0     5     1    15     3    24        0    23     3    85     8   119
 1959     1     7    11    20     5    44        4    30    45   105    21   205
 1960     0     1    12    10     7    30        0     2    39    31    38   110
 1961     0     6    10    10     4    30        0    19    39    35    10   103
 1962     1     2     9    10     1    23        4     3    26    28     1    62
 1963     2    11    18     8     1    40        3    45    65    25     2   140
 1964     5     5    18     5     4    37        8     7   105    27     7   154
 1965     2     7    11    14     0    34        3    18    50    67     0   138
 1966     3     6    19     6     0    34        6    15    95    18     0   134
 1967     4     1     9     2     0    16       37     3    36     2     0    78
 1968     2    18     9    12     0    41        3    66    38    82     0   189
 1969     3     2    10    11     0    26        7    14    55    22     0    98
 1970     5    15    18    14     8    60       16    65   100    78    48   307
 1971     0    17     7    10     5    39        0    78    31    45    30   184
 1972     3     9     8    12     3    35        5    35    29    66    13   148
 1973     1    13    11    18     1    44        6    57    47    66     1   177
 1974     0     7    25     4     0    36        0    38   175     8     0   221
 1975     5     7    21    13     4    50       17    20   104    55    11   207
 1976     2    10    25    21     4    62        6    42   137   131    18   334
 1977     4     9    21     4     1    39        8    66   138    15     3   230
 1978     3    15    19    12    11    60       10    73    93    56    53   285
 1979     4    13    14    13     5    49        8    53    57    68    11   197
 1980     5    12    25    17     8    67       12    67   220    89    38   426
 1981     0    17    17     4     7    45        0   113    93    13    28   247
 1982     1     4    18     5     0    28        1    10    86    22     0   119
 1983     0     6    23    24     9    62        0    22   110   132    41   305
 1984     0     5    13    20     6    44        0    14    56    99    30   199
 1985     4    12    15     5     6    42       15    76    73    18    24   206
 1986     0    10    19     4     0    33        0    44    77    10     0   131
 1987    10    18    16     7     0    51       43   108    67    26     0   244
 1988     5    15    15    15     4    54       11   121    80   125    11   348
 1989     2     6    16     4     1    29       11    22   102    17     5   157
 1990     1     9    10     8     9    37        1    36    47    28    30   142
 1991     4    12     9    12     3    40       10    44    53    41    10   158
 1992     3     2     1     2     0     8        7     3     3     6     0    19
 1993     0     4     3     7     1    15        0    12     7    19     3    41
 1994     3     6     3     5     3    20       10    27     5    17     9    68
 1995     0     9    15    18     0    42        0    41    89    93     0   223
 1996     2     9     3     2     0    16        9    43    13     6     0    71
 1997     2     8    15     9     2    36        4    37    61    23     9   134
 1998     3     7     8     8     9    35       14    19    28    20    37   118
 1999     0     8    17     3     2    30        0    21    84     7     7   119
 2000     2     6     6    14    10    38        5    23    20    61    58   167
 2001     2     7    12    11     0    32       11    28    43    66     0   148
 2002     1    14    20     3     5    43        4    53   108    14    22   201
 2003     0     3     9    12     4    28        0     9    42    77     9   137
 2004     1     2     7     1     7    18        2     5    17     1    17    42
 2005     0    10    14     0     0    24        0    39    67     0     0   106
 **************************************************************************************
MEANS   2.1   9.0  14.1  10.0   3.9  39.1      6.4  42.2  73.7  48.3  16.3 186.9
