# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5131] MAQUOKETA-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     7   8  12  13  12  13  11  11   5  13   4   6 115
1952     8   4  12   6   9   5   9   9   4   0   6   8  80
1953     8   6  13  11   9   8  11   6   9   2   5  10  98
1954     3   4  10   9   8  12   4  14   7  10   6  10  97
1955     8   9   8   9   5  14   5   4   8  11   4   7  92
1956     6   7   6   7  13   7   6  11   6   3   5   8  85
1957    10   4   7   0  16  12   0   8   5   4   6   5  77
1958     5   2   1   9   7  10   8   8   6   4   6   6  72
1959     6   9  10   9  11   9  12  11   8  11   5   7 108
1960     7   7   7   9  10  14   9  10  11   8   8   3 103
1961     4   3   6  10   6   9  14   5   9   8   7  11  92
1962     9   9   9   8  10   8  13   5   7  12   2   3  95
1963     6   5   9  11   6   4  10   7   6   4   7   4  79
1964     3   4  11  12   9   9   8   9   8   0   7   9  89
1965     8   7   8  14  15   7   5  13  17   6   5   8 113
1966     5   4  11  11   8  10   9   3   5   6   3   6  81
1967     6   6   6  13   9   7   8   9  10  12   7  10 103
1968     9   5   5   7  14  11  10   6  14   7   6   9 103
1969    12   3   5  12  12  17  11   5   7  12   4   7 107
1970     6   4  10  11  15  12   7   5  13  10   6   6 105
1971     4   8   4   6  10   7  11   4   8   7  11   9  89
1972     6   7   9  14  11   9  14  10  11  11   8   8 118
1973     5   7  16  13  16  12  11   4  16  10  10  11 131
1974    11   7  13  11  15  13   8  10   6   8   6   9 117
1975     9   6  11   8  11  14   6  16   7   3  14   3 108
1976     6   6   9  10  10   9   7   8   3   5   3   3  79
1977     9   4  11  10   6   7  11  21  10   9  11   9 118
1978     6   9   5  11  11   8  10   9   8   8   8   0  93
1979     9   9  12  11   7  12   7  12   2   8   6   5 100
1980     8   5   6   8  10  11  10  13  12   0   4   4  91
1981     3   7   3  13   8  11   8  10   5   8   9   4  89
1982    12   1  10   6  15  10  11   5  10   7   7   9 103
1983     5   4   9  10  17  10   5   8   9  11  11   9 108
1984     5   5   8  10  11   9   9   4   7  11   5  13  97
1985     8   8   9   6   9   6  11   7  10  13  16   8 111
1986     3  10   6   9  10  11   7  10  13  11   5   4  99
1987     5   2  10   7  11   8   6  11  10   4  10   9  93
1988     5   4   5   7   5   2   5   7   7   6   2   1  56
1989     4   6   6   8   7   8   9  10   5   5   5   9  82
1990     5   7  12  10  12  13  12   8   5   8   8   7 107
1991     5   3  10  12  11   5   4   4  10  12  11   7  94
1992     8   7  11  12   2   6  16   6  13   4  12   8 105
1993     7   8  10  11  17  13  13  12   9   3   4  11 118
1994     9   9   3   9   9  11  13  10   8   6  12   5 104
1995     7   2   8  18  14   5   9   7   7  12   9   4 102
1996     5   2   5   7  16  12  11   7   6   6  10  11  98
1997    10   9   8   6  10  10   7  11   6   6   7   8  98
1998     8   7  11  15  11  18   7  12   8  15   4   3 119
1999    13   6   4  10  11  12  13  11   4   3   3   9  99
2000     6   7  10   9  15  18   7   9   9   6   8  13 117
2001    13   9   7  15  15  10   6   8  11  10  11  10 125
2002     6   9  11  14  15  12  12   9   6  19   9  10 132
2003     9  12  16  13  17  15  16  11  12  10  15  13 159
2004    13  12  21   8  22  16  15  14   5  14  15  11 166
2005    19  13  16   9  16  11   6   0   0   0   0   0  90
STDDEV   3   3   4   3   4   3   3   4   3   4   4   3  19
AVG      7   6   9  10  11  10   9   9   8   8   7   7 102
