# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3584] HAMPTON-2-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3584
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     1     0     5        0     0     7     4     0    11
 1952     1    12    13     4     9    39        2    37    39    14    38   130
 1953     3    10     7     9     3    32       11    55    22    56    20   164
 1954     1     8    13     4     3    29        1    35    61     9    15   121
 1955     2     4    19    20     8    53        5    14   136   180    56   391
 1956     4    19     6     7     3    39        4   105    24    39     6   178
 1957     0     1    15     7     1    24        0     1    78    26     1   106
 1958     0     2     1    12     1    16        0     7     2    33     2    44
 1959     2     9     5    13     3    32        3    28     7    38    11    87
 1960     0     1     9     4     7    21        0     1    29    17    31    78
 1961     1     8     4    10     3    26        1    35    11    42     8    97
 1962     4     6     5     7     1    23        7    13    11    15     2    48
 1963     1    13     7     7     1    29        3    52    24    17     2    98
 1964     3     6    17     5     1    32        6    20    76    32     3   137
 1965     2     0     7     7     0    16        2     0    35    31     0    68
 1966     2     8    15     3     0    28        5    19    77     7     0   108
 1967     4     1     4     0     0     9       29     3    10     0     0    42
 1968     0     8     3    10     0    21        0    27     7    33     0    67
 1969     2     1     9     5     0    17       10     5    31    10     0    56
 1970     2     9    15     5     5    36        9    34    50    16    13   122
 1971     0    18     2     8     5    33        0    70     5    23    22   120
 1972     3     3     8    13     1    28        4     9    28    68     1   110
 1973     0     8     6     8     0    22        0    29    23    26     0    78
 1974     0     3    17     3     0    23        0     7    96     5     0   108
 1975     3     5    19    10     1    38       12    17    67    38     1   135
 1976     0     5    15     9     3    32        0    12    69    25    10   116
 1977     6    10    18     4     0    38       10    58   134     7     0   209
 1978     3     5     7     6    10    31       10    16    25    17    50   118
 1979     4     4     0     7     1    16        7     9     0    19     2    37
 1980     3     8    13     8     5    37       12    33    73    27    16   161
 1981     0     5    10     1     1    17        0    11    49     1     4    65
 1982     1     1     7     4     1    14        1     1    28    14     1    45
 1983     0     7    19    18     5    49        0    21    88    81    18   208
 1984     0     2     7    18     4    31        0     5    20    81    21   127
 1985     3     7     5     4     5    24        7    38    17    18    20   100
 1986     0     6    14     1     2    23        0    28    57     4     3    92
 1987     6    15    16     5     2    44       17    79    93    38     2   229
 1988     5    20    16    16     4    61       18   133    94   164    13   422
 1989     1     5    13     8     1    28        3    20    84    29     3   139
 1990     0     8     7     5     5    25        0    21    30    22    19    92
 1991     6    10    13     7     3    39       21    60    80    25     5   191
 1992     3     2     1     3     0     9        7    10     2    10     0    29
 1993     0     2     1     3     1     7        0     4     5    11     2    22
 1994     1     7     2     3     4    17        2    24     4     7    11    48
 1995     0     8    10    15     0    33        0    34    54    49     0   137
 1996     2     9     3     1     0    15        5    37     8     3     0    53
 1997     0     4     7     2     1    14        0    12    30     6     2    50
 1998     5     4     6     5     7    27       18    12    19    12    35    96
 1999     0     5    17     3     2    27        0     9    91     5     7   112
 2000     0     2     5     6     8    21        0    11    13    15    45    84
 2001     3     7    10     7     0    27        9    29    30    32     0   100
 2002     1    11    19     3     6    40        5    36    70     4    21   136
 2003     0     4     5    11     3    23        0    10    22    66     7   105
 2004     0     2     2     0     1     5        0     4     2     0     1     7
 2005     0     8    14     0     0    22        0    26    60     0     0    86
 **************************************************************************************
MEANS   1.7   6.5   9.3   6.6   2.6  26.7      4.8  25.9  41.9  28.6  10.0 111.3
