# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2977] FOREST-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia2977   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10    23 296          183
   1952   4    11 102          10     5 279          177
   1953   4    20 110          11     4 308          198
   1954   4     8  98          10    31 304          206
   1955   3    28  87          10    24 297          210
   1956   4    24 115          11    10 315          200
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   3    27  86          10    12 285          199
   1960   4    10 101          10    20 294          193
   1961   4    16 106          11     3 307          201
   1962   4    16 106          10    24 297          191
   1963   3    21  80          10    29 302          222
   1964   3    31  91          10     9 283          192
   1965   3    30  89          10    24 297          208
   1966   4    21 111          11     2 306          195
   1967   5     3 123          10    11 284          161
   1968   4    10 101          10    25 299          198
   1969   3    31  90          10    23 296          206
   1970   4    22 112          11    14 318          206
   1971   4     7  97          11     4 308          211
   1972   4     8  99          10    18 292          193
   1973   4    11 101          11     5 309          208
   1974   4     8  98          10     2 275          177
   1975   4     4  94          10    29 302          208
   1976   3    22  82          10    17 291          209
   1977   4     6  96          11    11 315          219
   1978   3    25  84          11    14 318          234
   1979   4     6  96          11     7 311          215
   1980   3    25  85          10    28 302          217
   1981   3    20  79          10    19 292          213
   1982   4    11 101          11     4 308          207
   1983   4    20 110          10    13 286          176
   1984   4     1  92          11     1 306          214
   1985   4     9  99          10    10 283          184
   1986   3    27  86          11     1 305          219
   1987   4     3  93          10     8 281          188
   1988   4    19 110          10    24 298          188
   1989   4    12 102          10    18 291          189
   1990   4    17 107          10    25 298          191
   1991   3    30  89          10    15 288          199
   1992   4    12 103          10    17 291          188
   1993   4     5  95          10    30 303          208
   1994   4     7  97          10    26 299          202
   1995   4     4  94          10    22 295          201
   1996   4     6  97          10    30 304          207
   1997   4    17 107          10    22 295          188
   1998   3    21  80          11     4 308          228
   1999   3    26  85          10    23 296          211
   2000   4     9 100          10     6 280          180
   2001   3    28  87          10    27 300          213
   2002   4     6  96          10    20 293          197
   2003   4    10 100          10    25 298          198
   2004   4    12 103          11    11 316          213
             MEAN= 97              MEAN=298     MEAN=201
