# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7664] SIBLEY-5-NNE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7664
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     5     2     0     7        0     0    12     2     0    14
 1952     2    15     7     6     3    33        7    49    24    10     5    95
 1953     2    11    10     9     3    35        9    75    37    25     9   155
 1954     0     5    20     3     0    28        0    20    98     7     0   125
 1955     1     3    22    23     9    58        1     9   129   177    49   365
 1956     1    19     7    10     5    42        1   143    23    41    20   228
 1957     0     2    18     5     0    25        0     3    98    20     0   121
 1958     4     5     4    24     4    41        5    20    15   134    17   191
 1959     2    15    13    21     5    56       12    59    71    94    26   262
 1960     0     1    14    12     7    34        0     1    58    45    29   133
 1961     0     8     4    10     0    22        0    24    14    35     0    73
 1962     0     1     7     7     0    15        0     1    21    18     0    40
 1963     0     9     9     8     3    29        0    51    32    23     5   111
 1964     7     8    20     8     3    46       30    39    88    34    12   203
 1965     2     4    11     8     0    25        3     7    40    49     0    99
 1966     2     7    23     7     0    39        6    31   133    19     0   189
 1967     3     1    11     3     1    19       21     5    53    11     1    91
 1968     0    13    10    14     0    37        0    52    36   102     0   190
 1969     2     2    10     9     0    23       11     9    45    20     0    85
 1970     7    15    19    12     6    59       28    75    76    61    24   264
 1971     0    14     7    12     5    38        0    63    24    68    30   185
 1972     5     8     9    13     2    37        7    36    40    60    10   153
 1973     2    10     9    12     0    33       14    62    40    42     0   158
 1974     0     8    23     2     1    34        0    61   193     5     1   260
 1975     5     5    22    10     2    44       22    16   112    22     3   175
 1976     1     2    17    19     7    46        2     5    97   103    41   248
 1977     3     6    11     1     1    22        7    39    68     1     1   116
 1978     2     5    11     7     8    33        3    18    37    25    38   121
 1979     4    10     9     4     0    27       10    54    35    15     0   114
 1980     5     7    20     8     4    44        8    50   108    28    16   210
 1981     0     6     9     2     1    18        0    26    44     3     3    76
 1982     0     1     7     5     0    13        0     4    36    19     0    59
 1983     1     4    17    21     7    50        4    11    82   108    23   228
 1984     0     1     5     6     2    14        0     3     9    32     9    53
 1985     2     6     6     1     3    18        5    32    28     3     9    77
 1986     0     5     6     0     0    11        0    11    10     0     0    21
 1987     6    12     9     4     0    31       33    60    34    15     0   142
 1988     5    11    14    12     1    43        9    78    64    92     1   244
 1989     2     6    12     3     1    24        5    24    48     4     3    84
 1990     1     8     6     2     6    23        5    36    22     4    10    77
 1991     2     7     6     6     1    22        5    24    26    17     3    75
 1992     3     0     0     0     0     3        6     0     0     0     0     6
 1993     0     1     2     0     0     3        0     1     4     0     0     5
 1994     2     3     0     0     0     5        6     9     0     0     0    15
 1995     0     8     7     6     0    21        0    37    37     9     0    83
 1996     2     7     2     1     0    12       13    31     2     2     0    48
 1997     0     4     8     4     1    17        0    16    26     9     1    52
 1998     4     2     2     1     6    15       13     5     3     2    22    45
 1999     1     8    12     1     2    24        1    17    38     5     3    64
 2000     1     4     5     5     3    18        1    22    21    19    12    75
 2001     3     5     5     5     0    18       16    27    10    18     0    71
 2002     2    10    17     2     4    35        3    44    81    11    11   150
 2003     0     1     3    11     2    17        0     2    11    46     6    65
 2004     2     1     4     1     0     8        5     6     8     1     0    20
 2005     0     7     7     0     0    14        0    23    19     0     0    42
 **************************************************************************************
MEANS   1.8   6.3  10.1   7.1   2.2  27.4      6.1  29.6  45.8  31.2   8.2 120.9
