# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7613] SHENANDOAH-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   7   9  14  10  14  11  12   8   6   3   8 106
1952     5   7  13  11   9   9   6  15   6   0   6   4  91
1953     4   7  11  12  10  10   7   4   3   5   4   5  82
1954     0   4   6  11  10   9   4  18   3   8   2   6  81
1955     7   5   3   7   6  12   3   5   8   3   2   4  65
1956     6   2   2   5  10   8   0  10   3   5   7   2  60
1957     6   5   8  11  10  11   8   7   8   8   5   4  91
1958     6   4   6   7   9  12  12   6  10   0   3   2  77
1959     6   7  10   9  20   8   7  10   9  12   4   6 108
1960     7   8  10   8   8  12   5   8   4   4   5   2  81
1961     4   7  12   8  10  12   8   7  11   3   6   7  95
1962     4  11   6  11  12   7  10   9   6   8   6   7  97
1963     4   2   9   8   8  10   7   9   8   4   2   2  73
1964     3   4   4  11   9  14  10  10   8   2   5   2  82
1965     7   6  11   6  10  13  12   8  10   3   4   5  95
1966     4   5   3   7   9   9   9   8   9   2   4   4  73
1967     2   2   4   9   9  15   7   6   7   8   2   8  79
1968     4   1   3  12  11   5   5  12   6   6   5   7  77
1969     7   6   4   9  10   8  10   8   5  15   4   4  90
1970     2   2   5   7  12   7   8   4  13   8   6   3  77
1971     1   5   8   4  11   6   4   7   5   7  10   8  76
1972     2   2   9   9  15   7  10   9  10  10   9   4  96
1973     6   5  14   9  12   8  10   6  12   5   6   8 101
1974     5   3   7  10  13   5   4   9   4   9   5   6  80
1975     6   5   7  11   9  10   4   5   7   1   8   4  77
1976     2   5   9   9   8   5   6   4   6   4   1   1  60
1977     6   1  12  10   8   6   7  13  11  12   6   5  97
1978     5   6   6  12  12   5  11   5   9   5  11   3  90
1979     9   2   6   9   6   9   9   8   4   5   5   3  75
1980     5   4  10   8   5   8   7   9   5   6   1   5  73
1981     1   2   6   8   9  11  13  10   4   8   5   4  81
1982     7   8  10   6  17   7  10  12  11   6   2   6 102
1983     3   3  12   8  14  13   2   8   6   9  10   7  95
1984     1   2   9  15   8  15   7   1   7  11   2   6  84
1985     5   7   9  10   9  12   6   9   9   8   7   4  95
1986     0   6   9  11  11   9   8  13  15   9   7   3 101
1987     0   0   0   0   0   0   0   0   0   0   0   0   0
1988     0   0   0   0   6   3   6   5   6   1   8   3  38
1989     6   5   3   4   8   9   5  11   6   8   1   5  71
1990     4   3  12   7  13  14  12   9   4   6   4   5  93
1991     5   1  10  12  13   9   9   7   5   8  13   3  95
1992     7   8  10   9   7   8  17   5  12   5   9   7 104
1993     8  10   8   8  14  15  22  14  12   6   6   7 130
1994     2   4   2   7   5  14  12  10   5   9   8   8  86
1995     5   4   7  14  19  13   7   6   7   6   7   7 102
1996    11   3   4   5  18  11  12  13  12   4  10   4 107
1997     6   7   6  12   9  11   8   7   5   6   7   6  90
1998     5  11   9  11  12  16  11   8   5   7   8   3 106
1999     5   6   5  14  11  13   8   7   5   3   2   3  82
2000     3   5   5   9   8  10  15  12   7   8   4  12  98
2001     8  11   7  11  18  11  12   5   8   8   5   7 111
2002     5   5   8  13  13   5   6   8   5  14   4   1  87
2003     9   6   9  13  16  14  11   8   7   5  10   8 116
2004     7  10  17   5  20   6  19  10   4  11  12   3 124
2005    12   9  10  13   9  11   5   0   0   0   0   0  69
STDDEV   3   3   4   3   4   3   4   4   3   3   3   2  20
AVG      5   5   8   9  11  10   8   8   7   6   5   5  87
