# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7708] SIOUX-CITY-WSO-AP
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   9  10  14  14  11  10   9  11   7   4  12 115
1952     8   7   7   8  13  11   8  14   4   0   4   3  87
1953    10   9  11  10  13   8   6   6   4   5   4   8  94
1954     4   6  11  12   9   9   7   8  10  11   2   1  90
1955     6   8   5   6   8  15   6   3   6   4   4   6  77
1956    12   6   7   8   9  10  12  12   3   4   7   4  94
1957     7   3   7   6  10  12  11  12   8  10   9   6 101
1958     6   6   7  12   7  10  14   5   3   0   2   5  77
1959     5   7  12   8  14   9   6  12   7  12   7   8 107
1960     6  10  16   9  13  17   3   7   9   1   4   6 101
1961     4   7  13  11  11   6  10   7   9   5   4  10  97
1962     6  14  15   8  15  13  12  11   8   7   4   5 118
1963    12  12  10  11   9  14   7  12   8   3   1   6 105
1964     4   7   9  13   7  12  11  11  11   3   5  11 104
1965     5   7  10  14  15   8  11  10  17   2   4   4 107
1966     9   5   5   6  11  13   5   8  12   3   4   5  86
1967    11   7   5  10  11  16   4   9   9   7   1   7  97
1968     8   2   3  13  10  11  10   9  10   8   6  12 102
1969    12   7   5   4  12  10  12   6   8  10   6  10 102
1970     7   4  10   8   9  11   8   7  11  11   8   6 100
1971     6   6   4   6  10   9  14   3   6   9   7   9  89
1972     6   9  10  14  13  11  13  12  10  10   9   8 125
1973     6   4  13  10  10   8   9   7  13   5   9   5  99
1974     8   5   7  10  14   9   5  10   7   6   5   5  91
1975    12   5   9  13   9  15   2  11   6   2  12   5 101
1976     4   6  11  11   8   3   6   4   5   4   1   3  66
1977     6   5  10  12  10  11  10  11  10   9   5   9 108
1978     5  10   6   9  13   6  10   6   6   6   7   7  91
1979    10   8  12   8  11  11   7  12   6   7   6   4 102
1980     7   8   6   5  12   9   7  16   6   4   1   4  85
1981     1   6   6   6   7   9  11   9   5   8   8   6  82
1982    15   6  10   8  17   8  10   9  11   9   6   7 116
1983     6   6  11  10  10  10   8   8   8   6  10  10 103
1984     4   5  13  18  17  15  11   7   9  14   6   8 127
1985     7   4   8  10  10   6   6  12  16   9  13   8 109
1986     2   5   6  13  12  12   8   9  15  10   5   3 100
1987     5   4  12   5  13   7  12  14   7   7   7   7 100
1988     4   6   2   8   9   5   5   9   8   3  11   5  75
1989     7   8   7  10   6   8   7   8   4   3   1   9  78
1990     3   5  10   8  11  10  12   6   6   6   4  11  92
1991     8   2  11  10  14  10   7   4  10   8  11   4  99
1992    10   8   9   7   6  13  15   8  10   5   6   9 106
1993     8  12   9  12  13  14  16  12   7   5  10   7 125
1994    10   7   3   9   7  11  11  10   9   8  10   6 101
1995     4   7  13  17  16   8   8   7  13   7   6   3 109
1996     8   2   6   6  17  12  13  11   9   4   6   7 101
1997     0   0   0   0  10   9   9   8   0   0   0   0  36
1998     0   0   0   0   0   0  10   0   0   0   0   0  10
1999     0   0   0  15  15   0   9   6   4   3   6   2  60
2000     4   5   6   9  16  14  10   8   6  11   9  10 108
2001    14   6   6  12  16   9  11  10  11   5   4   4 108
2002    12   6  16  16  13  12  11  17  11  18   9   4 145
2003    16  10  14  12  14  17  11   9  10   8   9  10 140
2004    11  13  12  11  21  18  14  14  11  13  10   6 154
2005    12  12   7  13  19  19   7   0   0   0   0   0  89
STDDEV   4   3   4   4   4   4   3   3   4   4   3   3  23
AVG      7   6   8  10  12  10   9   9   8   6   6   6  98
