# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7312] SAC-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.03   0.23   66(68)   18(19)   11(11)    2( 2)    0( 0)    0       97
  2 3/8-->3/14       2.14   0.27   65(64)   16(16)   18(18)    1( 1)    1( 1)    0      101
  3 3/15-->3/21      1.39   0.22   65(72)   15(17)    7( 8)    3( 3)    0( 0)    0       90
  4 3/22-->3/28      2.25   0.35   61(66)    9(10)   16(17)    6( 6)    1( 1)    0       93
  5 3/29-->4/4       1.86   0.29   71(63)   20(18)   17(15)    4( 4)    0( 0)    0      112
  6 4/5-->4/11       2.63   0.35   55(59)   22(23)   11(12)    4( 4)    2( 2)    0       94
  7 4/12-->4/18      1.38   0.31   65(57)   26(23)   20(17)    4( 3)    0( 0)    0      115
  8 4/19-->4/25      2.15   0.32   85(61)   23(17)   23(17)    7( 5)    1( 1)    0      139
  9 4/26-->5/2       2.23   0.38   77(59)   22(17)   17(13)   14(11)    1( 1)    0      131
 10 5/3-->5/9        2.02   0.34   75(57)   25(19)   23(17)    8( 6)    1( 1)    0      132
 11 5/10-->5/16      2.04   0.34   71(52)   35(26)   23(17)    6( 4)    1( 1)    0      136
 12 5/17-->5/23      3.10   0.41   62(47)   32(24)   27(21)    8( 6)    2( 2)    0      131
 13 5/24-->5/30      2.06   0.44   78(51)   28(18)   22(14)   23(15)    1( 1)    0      152
 14 5/31-->6/6       4.45   0.34   76(58)   28(21)   20(15)    5( 4)    3( 2)    0      132
 15 6/7-->6/13       2.49   0.47   69(50)   27(20)   23(17)   11( 8)    7( 5)    0      137
 16 6/14-->6/20      3.95   0.51   76(54)   22(16)   22(16)   12( 9)    8( 6)    0      140
 17 6/21-->6/27      3.48   0.54   58(46)   31(25)   14(11)   17(13)    6( 5)    0      126
 18 6/28-->7/4       3.08   0.45   55(49)   27(24)   15(13)   12(11)    3( 3)    0      112
 19 7/5-->7/11       2.76   0.46   65(55)   20(17)   16(13)   12(10)    6( 5)    0      119
 20 7/12-->7/18      4.63   0.49   62(58)   12(11)   17(16)   11(10)    4( 4)    0      106
