# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4389] KEOSAUQUA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5   9  10  14  12  14   7   9   7  11   5   8 111
1952     5   7  11   9  12   9   8  10   8   2   5   6  92
1953     4   7  14  11   8  12   6   4   5   2   3   7  83
1954     3   6   6  10   9  11   5  14   5   9   3   7  88
1955     7   6   6   5  11   8   4   5   5   7   5   4  73
1956     4   8   6   6   8   7  12  10   4   4   7  10  86
1957     9   3   9  15  16  11   6  10   8   7   7   6 107
1958     6   4   5  11   9  12  16  13  10   3   7   2  98
1959     7  10   9  10  14   5  10   8  11  11   6   8 109
1960    10   9   9  12  11  13   8   4  10   7   3   4 100
1961     5   6  12  11   6   4  15   6  13   8   9  10 105
1962     7  10   8   9  10   6  12   8   8   9   5   7  99
1963     8   5  11   8  10   3   7   8   5   7   5   5  82
1964     5   7   9  13   7  12  10   5  11   1   9   6  95
1965     9   6  10  13  10   9   9  12  16   5   7   7 113
1966     4   4   6   9  11  11   7   4   8   6   4   8  82
1967     4   4   5  13  14  13  12   4   9  14   4  13 109
1968     5   4   4  12  12   7   6   8  13   8   8   9  96
1969    12   3   4   9  11  13  11   3  12  11   1   6  96
1970     3   3   9  10  10   7   5  14  17  10  10   5 103
1971     2   8   6   3  11   9   8   4   6   9   9   9  84
1972     6   6   7  10  12   6  11   7  10   7   9   6  97
1973     9   8  19  12  12  10   9  11  16  10   6  13 135
1974    12   4   8   7  17  11   6  12   6   7   8   9 107
1975    10  10   8  11  13  12   4   9   8   3  14   9 111
1976     6   7   8   9   8   6   8   7   5   8   1   2  75
1977     9   5   9   0   0   0   6  14  14   9   7   8  81
1978     5   5   6  15  10  11  10   8   8   6  11   5 100
1979    11   4  13  14   3   9   8   6   1   6   5   3  83
1980     8   4   9   7   7   9   7  11   8   5   5   4  84
1981     1   6   4  12  13   8  12  10   6  10  10   6  98
1982     8   4  11   6  13  11  12   7   7   5   8   8 100
1983     6   6   8  11  17   7   3  10   9   7  15  13 112
1984     4   4  10  14  11  10  10   4   7  13   7  12 106
1985     6   7   9   6  10   9   9  10   8  11  16   7 108
1986     3   6   8  11  13   8  12   8  15  10   6   4 104
1987     5   2   8   8   7   8   7  13   7   8   9  11  93
1988     6   6   5   6   6   4   7   8   5   6   8   5  72
1989     3   5   4   9  12   9  11   8   6   6   1   7  81
1990     6   7  14  13  11  11  12   7   5   8   7   6 107
1991     6   2  11  10  12   6   7   9   7   9  13   6  98
1992     5   6  12  10   7   4  13   8  11   6  14   8 104
1993     6   7   8  10  13  13  18  10  11   5   5   5 111
1994    10   6   2   8   8  11   7   7   4   8  10   5  86
1995    10   5   6  13  15  11   7   8   9   8   7   5 104
1996     9   4   5   6  18  12   8   8   6   7   6   2  91
1997     9   6   5   6  14   9   8  12   7   8   6   9  99
1998     9  12   9  18  13  17   6   9   5  11   7   4 120
1999     8   7   3  12  10  11   4   7   5   4   1   9  81
2000     7   5   3  11   8  15   8  11   7   5   6  10  96
2001     7   8   6  10  17  11   6   7   6   9   6   6  99
2002     5   7   9  12  14   8   5   9   5  13   6   2  95
2003     5   6   5  12  11   8   5   4   8   5   9   8  86
2004     6   4  10   3  11   9  10  13   3  12   9   6  96
2005     9   7   4   9   8   9   6   0   0   0   0   0  52
STDDEV   3   2   3   3   3   3   3   3   4   3   3   3  14
AVG      7   6   8  10  11   9   8   8   8   7   7   7  96
