# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0241] ANKENY-3-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0241
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1     9     7     0    17        0     1    34    20     0    55
 1952     2    18    16     2     5    43        4    81    68     5    21   179
 1953     4    10    14    14     8    50       14    45    54    85    54   252
 1954     1    16    18     6     6    47        2    76   116    10    14   218
 1955     1     2    24    20     8    55        2     9   141   153    58   363
 1956     6    19    10    10     6    51       22   110    62    44    18   256
 1957     0     5    19    11     1    36        0    18   137    59     2   216
 1958     1     5     1    16     1    24        2    10     1    63     3    79
 1959     0     7     6    18     5    36        0    28    21    64    15   128
 1960     0     1    10     7     7    25        0     1    27    24    34    86
 1961     0     5     7     9     4    25        0    15    20    29    11    75
 1962     6     7     6     9     2    30       12    10    24    33     5    84
 1963     3    19    17     6     1    46        8   101    59    32     1   201
 1964     6     6    20     9     2    43       19    12    92    41     7   171
 1965     3     1     9    13     1    27        6     1    40    81     2   130
 1966     6     8    21     9     0    44       23    22   117    19     0   181
 1967     7     1    13    10     0    31       46     1    54    16     0   117
 1968     1    14     6    10     0    31        3    46    19    53     0   121
 1969     1     3    10    10     0    24        1     8    46    13     0    68
 1970     3     9    18     9     8    47        9    37    92    28    19   185
 1971     0    19     8     9     9    45        0    96    19    32    28   175
 1972     3     5     9    13     3    33        7    27    37    62     9   142
 1973     0    11     7     9     1    28        0    36    32    18     1    87
 1974     0     4    20     4     0    28        0    15   141    14     0   170
 1975     3     3    17    14     3    40        8     8    59    67    13   155
 1976     1     6    15    10     5    37        2    10    79    37    19   147
 1977     6    12    22     7     0    47       10    73   195    26     0   304
 1978     3    10    13    10    12    48        7    32    57    44    57   197
 1979     3     9    10    12     4    38        4    17    26    71    15   133
 1980     4     6    23    16     5    54       10    32   170    78    24   314
 1981     0     7     9     6     4    26        0    20    53    13     7    93
 1982     1     1    14     5     2    23        1     2    41    29     4    77
 1983     0     9    24    25     8    66        0    37   158   215    46   456
 1984     1     5    12    16     5    39        1    11    61    98    33   204
 1985     2     7    16     8     9    42        7    41    78    38    59   223
 1986     1    11    14     3     2    31        1    34    66    10     3   114
 1987     2    12    19     6     1    40        3    60   106    31     1   201
 1988     4    16    19    18     2    59       13   124   131   173     7   448
 1989     2     4    13     5     1    25        2    11    86    25     3   127
 1990     0     5     7     7     7    26        0    19    36    31    33   119
 1991     5    11    15    11     2    44        7    45    91    29     3   175
 1992     2     5     4     2     0    13        5     7     8     5     0    25
 1993     0     4     3     9     1    17        0     4     6    24     3    37
 1994     1     9     8     9     3    30        1    36    27    35    11   110
 1995     0     8    12    21     3    44        0    35    90   119     6   250
 1996     3    10     9     3     2    27        7    44    26     8     2    87
 1997     1     7    15     9     2    34        4    21    87    28     7   147
 1998     3     4    11    10    10    38       12    22    38    30    32   134
 1999     0     7    20     7     3    37        0    26   167    19    11   223
 2000     4     5    11    16    11    47       16    17    30    60    80   203
 2001     3    11    23    15     3    55        6    42   108   106     7   269
 2002     1    14    22     5     9    51        5    70   147    34    54   310
 2003     1     8    13    20     7    49        4    26    66   139    18   253
 2004     2     3     6     4     5    20        2     8    23    12    10    55
 2005     0    12    20     0     0    32        0    62   133     0     0   195
 **************************************************************************************
MEANS   2.1   7.9  13.4  10.0   3.8  37.2      5.8  32.8  70.9  47.9  15.8 173.2
