# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0608] BELLEVUE-L-AND-D-12
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0608
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     1     0     5        0     0    13     4     0    17
 1952     1    12    17     4     5    39        4    55    82     7    16   164
 1953     3     7     6     9     6    31       14    41    20    77    39   191
 1954     0    11    14     5     7    37        0    58    59     9    34   160
 1955     1     2    22    17     8    50        3     9   144   104    35   295
 1956     2    14     9     7     0    32        5    60    32    27     0   124
 1957     0     3    13    11     1    28        0    10    54    36     3   103
 1958     0     2     2    11     0    15        0     3     2    45     0    50
 1959     3     7     5    16     7    38        8    19    14    71    22   134
 1960     0     1     9     8     8    26        0     1    33    19    63   116
 1961     1     6     3     8     4    22        2    25     9    18    11    65
 1962     4     4     2     5     2    17       10    12     6    14     7    49
 1963     1    14    11     5     1    32        3    66    35    22     2   128
 1964     3    10    16     5     4    38        8    38    73    24    14   157
 1965     0     3     8     7     1    19        0    11    37    33     2    83
 1966     0     8    15     5     2    30        0    26    82    13     3   124
 1967     3     3     6     0     0    12        9    12    25     0     0    46
 1968     0     9     8    11     1    29        0    35    23    58     2   118
 1969     2     2     9     9     0    22        6     4    29    26     0    65
 1970     2     5    16     9     2    34        6    23    77    21     4   131
 1971     1    13     1     6     8    29        1    61     2    24    23   111
 1972     3     6     7     8     1    25        5    21    30    38     1    95
 1973     0     7    10    14     1    32        0    21    40    53     3   117
 1974     0     1    17     3     0    21        0     4    92     6     0   102
 1975     5     9    14     9     0    37       20    30    56    38     0   144
 1976     0     6    17     7     4    34        0    29    76    28     7   140
 1977     7     7    14     2     1    31       16    19    96     5     6   142
 1978     4     7     8    12     9    40       11    17    15    49    52   144
 1979     3     4     5     8     3    23        7    10    13    28     4    62
 1980     3     6    18    11     2    40        7    18    91    41     5   162
 1981     1     6     9     4     2    22        2    12    35     6     2    57
 1982     0     0     8     5     2    15        0     0    33    23     3    59
 1983     0    10    23    18     6    57        0    39   141   109    35   324
 1984     0     5    11    17     7    40        0    12    49    86    38   185
 1985     2     6    17     6     8    39       10    29    57    19    40   155
 1986     0     5    14     0     2    21        0    24    61     0     3    88
 1987     5     9    18     8     1    41       11    45   118    52     1   227
 1988     4    15    18    16     3    56       12    93   136   171    10   422
 1989     3     5    13     4     0    25        6    13    81    16     0   116
 1990     0     4     4     2     4    14        0    12    36    14    23    85
 1991     4     9    13     8     2    36       12    31    65    41     3   152
 1992     1     4     1     4     0    10        2     8     2    10     0    22
 1993     0     0     3     5     0     8        0     0     8    13     0    21
 1994     1     9     8     5     7    30        1    48    25    11    22   107
 1995     0    12    14    19     1    46        0    50    83    82     1   216
 1996     3     8     4     5     1    21       11    37    11    20     1    80
 1997     0     7     9     3     1    20        0    28    43     8     1    80
 1998     4     8    10     7     6    35       19    38    31    20    24   132
 1999     3    10    18     2     4    37        4    28   120     5    17   174
 2000     0     4     5     6     6    21        0    14    10    14    41    79
 2001     1    10    16     9     1    37        3    37    84    69     3   196
 2002     2    14    21     7     6    50        5    74   125    35    20   259
 2003     0     4    11    16     2    33        0    19    45    83    11   158
 2004     1     4     6     1     1    13        1    15    19     1     1    37
 2005     0    14    18     0     0    32        0    65   103     0     0   168
 **************************************************************************************
MEANS   1.6   6.7  10.9   7.5   2.9  29.6      4.4  27.4  52.4  33.6  12.0 129.8
