# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia3438
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.29  3.73  4.71  5.42  6.26  5.48  2.41  6.47  4.35  0.00  1.21  0.66 40.99
 1952  0.55  0.52  3.88  2.81  4.33  7.79  2.58  6.62  0.63  0.00  3.41  0.72 33.84
 1953  0.85  1.24  2.83  2.32  1.06  5.20  1.39  1.41  0.99  0.25  1.35  0.57 19.46
 1954  0.00  1.81  0.87  4.62  3.47  6.35  0.60  7.27  1.07  3.59  0.08  0.29 30.02
 1955  1.44  1.87  0.60  2.09  0.00  3.69  1.56  2.10  5.52  0.45  0.16  0.26 19.74
 1956  0.24  0.00  0.00  0.00  0.00  0.00  6.22  4.63  2.27  2.99  2.71  0.34 19.40
 1957  0.37  0.03  2.34  4.39  5.53  4.18  1.09  2.41  3.13  3.25  1.61  0.76 29.09
 1958  0.39  1.29  0.60  1.34  1.74  3.16 11.56  1.50  6.06  0.29  0.98  0.05 28.96
 1959  0.50  0.85  3.28  1.93  8.14  3.66  2.59  6.30  3.89  2.21  1.61  1.66 36.62
 1960  2.34  2.60  1.92  2.91  4.32  3.76  0.99  8.55  3.51  2.05  0.37  0.50 33.82
 1961  0.17  2.31  4.32  3.32  2.43  6.33  2.57  2.49  9.90  2.51  2.12  1.76 40.23
 1962  1.31  1.79  2.20  0.00  8.17  0.00  4.94  1.75  1.99  3.20  0.66  0.28 26.29
 1963  1.25  0.66  2.71  5.01  2.57  2.89  4.58  4.98  4.10  1.60  0.88  0.56 31.79
 1964  0.42  0.21  1.71  4.26  6.14  7.59  8.57  4.49  7.20  0.29  1.15  0.17 42.20
 1965  1.18  2.15  2.62  4.59  3.66  8.69  4.13  3.51  6.34  1.18  1.15  1.13 40.33
 1966  0.40  0.20  0.72  0.49  5.32  3.44  3.03  2.00  1.76  0.50  0.24  0.52 18.62
 1967  0.70  0.05  3.88  2.42  2.40 10.19  2.94  0.94  2.40  2.16  0.41  0.49 28.98
 1968  0.60  0.00  0.89  4.37  2.33  2.68  4.56  2.73  3.45  3.35  1.99  1.91 28.86
 1969  0.73  1.38  1.74  4.05  4.55  6.48  8.61  2.35  2.03  3.92  0.17  0.00 36.01
 1970  0.16  0.03  2.44  2.46  2.74  2.12  1.95  4.21  4.04  4.13  2.31  0.84 27.43
 1971  1.83  2.63  0.33  1.62  7.83  3.21  1.42  2.73  2.23  3.83  3.67  0.77 32.10
 1972  0.41  0.59  0.73  3.49  5.05  2.83  7.15  1.96 13.64  3.57  3.10  1.96 44.48
 1973  2.56  2.00  5.55  5.06  7.82  2.44  7.67  5.48  6.46  4.02  2.49  3.04 54.59
 1974  1.47  0.79  1.50  6.16  3.73  2.44  0.71  3.11  1.34  4.24  1.46  1.67 28.62
 1975  1.78  1.40  1.66  2.69  3.78  8.37  0.48  3.85  2.07  0.19  3.23  0.46 29.96
 1976  0.18  3.08  3.17  6.47  2.33  6.25  5.27  0.22  1.86  1.20  0.00  0.16 30.19
 1977  0.41  0.30  5.04  1.66  2.25  0.64  1.59 12.62  4.98  5.07  0.91  1.01 36.48
 1978  0.56  1.11  0.50  6.10  4.82  1.72  4.04  1.58  6.02  0.84  2.87  0.75 30.91
 1979  1.95  0.26  5.08  3.64  1.69  6.29  2.00  1.68  1.21  3.32  1.18  0.20 28.50
 1980  1.25  0.48  1.37  1.76  2.50  8.91  3.42  8.73  1.47  2.55  0.31  1.08 33.83
 1981  0.04  0.91  0.91  3.71  2.23  4.80  5.40  4.56  2.30  1.85  1.66  2.16 30.53
 1982  2.39  0.44  3.74  2.96  7.27  4.77  6.18  7.74  4.48  2.38  3.38  4.94 50.67
 1983  0.64  1.09  3.42  2.90  6.79  4.27  1.20  0.82  2.26  4.08  5.79  0.95 34.21
 1984  0.76  0.52  2.17  6.66  6.34  6.77  6.79  0.34  2.04  3.67  2.34  2.59 40.99
 1985  0.64  1.59  2.88  2.17  2.45  2.84  4.71  3.10  4.40  3.13  1.01  0.75 29.67
 1986  0.00  1.05  2.77  6.86  4.01  2.83 10.10  5.37  9.61  4.13  0.98  1.09 48.80
 1987  0.24  0.20  3.16  2.57  5.30  2.48  7.45 10.62  2.34  1.00  2.63  2.03 40.02
 1988  0.50  0.57  0.19  1.41  1.71  0.52  2.53  3.57  5.30  0.44  2.09  0.80 19.63
 1989  1.14  0.83  0.59  1.10  2.81  4.93  5.32  2.32  6.82  2.90  0.05  0.50 29.31
 1990  1.84  0.65  4.79  0.71  4.78  6.01  4.94  2.03  0.71  1.77  2.82  1.46 32.51
 1991  0.82  0.31  3.65  8.59  3.34  5.22  3.88  3.26  1.15  3.14  4.22  2.35 39.93
 1992  0.90  1.54  1.76  4.97  1.49  0.72  7.59  1.72 13.67  0.25  4.95  2.06 41.62
 1993  1.05  1.31  1.94  1.94  5.86  5.10 12.03  9.66  5.01  1.60  0.95  0.47 46.92
 1994  0.72  0.85  0.10  3.55  1.40  6.23  5.16  2.36  2.45  2.81  1.38  1.54 28.55
 1995  0.92  0.56  2.47  5.64  4.84  3.80  5.34  1.07  2.27  1.73  2.30  0.42 31.36
 1996  1.58  0.25  1.01  2.66  8.57  5.65  1.97  1.32  4.15  3.09  3.28  0.40 33.93
 1997  0.74  1.13  0.75  4.33  4.20  1.92  1.00  1.73  3.12  3.54  1.51  1.20 25.17
 1998  1.05  2.39  4.00  1.82  6.05  6.95  6.31  2.79  1.35  3.22  2.19  0.39 38.51
 1999  0.73  1.41  1.19  6.46  6.59  4.06  3.03  3.29  2.62  0.37  1.43  0.45 31.63
 2000  0.29  1.71  1.30  1.88  1.41  5.41  4.56  0.76  1.53  1.11  2.14  1.40 23.50
