# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3718] HAWARDEN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   6  11  13  14  14   9  13  11  10   4  10 119
1952     6   4  11   4  11   8   6  11   2   0   4   4  71
1953     4   0   8  10  10   7   9   6   4   4   4   5  71
1954     3   5   9   7   7  10  10   9   7   9   2   4  82
1955     4   7   7   7   6  13  10   5   5   5   3   5  77
1956     9   6   5   7   8   5  10  12   2   3   5   3  75
1957     5   2   7   7   9  11  11  10   9   7   6   2  86
1958     5   3   3  10   7   9  10   6   2   0   3   5  63
1959     2   6   6   7  15   8   5   9  10  10   8   8  94
1960     3   3  12  12  13   7   6  11   8   2   3   7  87
1961     1   6   8   9  11  11  11   8   9   3   8   7  92
1962     5  12   8   8  11  14  11   8   6   5   2   4  94
1963     7   7   7   6   6  13   7   8  10   3   2   4  80
1964     4   4   7  10   9  11   5  10   8   3   4   6  81
1965     4   8   8  13  16  11   8   9  16   2   4   3 102
1966     7   6   4   4   5  12   9  11  12   3   1   4  78
1967     8   4   3   7   8  14   5   7   5   4   1   4  70
1968     5   2   4  12   9  11  13   8   8   8   6   9  95
1969    10   7   5   2  15   8   9   8   5  10   3   6  88
1970     4   3   9   9  12   9   7   6  11   8   7   4  89
1971     3   6   1   6   6  14  10   2   3   9   7   7  74
1972     3   6   7  10  13  10  10  11   6   8   8   6  98
1973     6   3  12   8   6   5   7   5  13   5   0   5  75
1974     3   1   4   6   8   5   8   9   5   5   4   3  61
1975    10   4   7  16  11  11   2  10   5   2   5   1  84
1976     3   7   7   6   5   3   6   3   3   6   1   5  55
1977     2   3   8   8   9   6   7   9  11   7   6   6  82
1978     5   5   2  10   8   7   9   7   5   2   7   5  72
1979     6   0   8   8  10  13   7   9   7   4   7   3  82
1980     3   5   4   3   8   5   6  14   4   3   1   4  60
1981     1   0   3   3   7   9  11  12   4   9   5   4  68
1982     8   1   4   8  19   7   8   5   8   9   5   5  87
1983     3   3   9   9  11  12   6   3   8   8   7   5  84
1984     0   3   8  13  10  17   9   6   8  13   2   6  95
1985     4   0   8   9   9   6   5  11  16   5  11   5  89
1986     2   0   5  11  14  11   9   8  13   7   6   2  88
1987     2   3   9   5  10   5  12   9   8   4   6   4  77
1988     4   5   2   7   7   5   4   8   7   2  10   4  65
1989     4   4   6   7   7   6   7   4   6   1   3   3  58
1990     4   4  10   7  12  12  15   7   5   7   5   6  94
1991     5   3   9   8  11  10   8   5  10   5  11   3  88
1992     6   8   8   9  10  10  18  15   9   5   7   8 113
1993     4   6   5  14  14  17  13   9   5   3   5   4  99
1994     8   5   0   9   6   9   9   5   7   7   5   3  73
1995     1   3  11  13  15  10  10   9   7   9   7   3  98
1996     9   2   4   5  18   8   8   6   6   5  10   7  88
1997     9   3   5  12   9   9   5  12   8   3   3   4  82
1998     5   7  14  11   7  14   8  11   2   8   4   4  95
1999     5   3   6  13  13  15   8   5   3   4   2   3  80
2000     5   4   6   8   8  10   7   8   4   8   7  10  85
2001     7   6   4   7  12   7  11   4   5   2   5   2  72
2002     5   2   6   9  11   8   4  12  10  14   3   3  87
2003    11   7   9   9  12  14   6   6   7   6   5   8 100
2004     9   7  11   6  14  11   8   9   8   9   8   2 102
2005     9   7   8  10  12  13   5   0   0   0   0   0  64
STDDEV   3   2   3   3   3   3   3   3   3   3   3   2  14
AVG      5   4   7   8  10  10   8   8   7   6   5   5  83
