# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5769] MOUNT-AYR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia5769 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     97     47     39     32    276    153    131    110
 1952    117     60     48     37    403    262    233    205
 1953    192     98     78     61    280    148    123    101
 1954    126     48     34     23    530    350    310    271
 1955    175    100     85     70    563    372    331    293
 1956    207    114     95     80    393    261    235    210
 1957    154     70     56     47    396    237    203    176
 1958     72     25     17     11    383    224    192    161
 1959    169     83     70     59    374    223    194    166
 1960     43     22     17     12    440    272    237    205
 1961    141     63     49     37    296    165    142    121
 1962    115     55     44     33    386    246    216    189
 1963    233    129    113    100    446    285    250    216
 1964    149     75     62     49    441    279    246    214
 1965     31      8      6      4    378    237    206    176
 1966    265    160    137    114    311    183    156    131
 1967    279    182    161    141    436    270    234    202
 1968    329    206    181    159    415    265    233    203
 1969    111     59     51     44    398    249    218    187
 1970    104     40     30     22    438    285    253    224
 1971    120     60     50     41    456    297    266    236
 1972    181     96     80     64    341    201    171    143
 1973    218     96     69     44    323    186    157    130
 1974    196    101     83     67    431    275    243    212
 1975     81     44     36     28    323    188    160    134
 1976    174     80     64     50    458    285    248    213
 1977    220    111     92     76    500    322    283    247
 1978    133     78     66     55    389    231    199    170
 1979    136     66     51     38    334    195    167    142
 1980    115     53     42     32    414    258    229    201
 1981    255    144    121    101    577    391    350    310
 1982    160     73     56     41    358    222    194    167
 1983    177    101     87     74    251    137    117    100
 1984     61     13      9      7    307    146    119     97
 1985    262    140    116     93    573    391    352    316
 1986    289    175    154    134    511    330    290    253
 1987    247    140    119     99    495    326    292    261
 1988    264    167    145    124    413    274    243    213
 1989    210    133    117    102    438    288    254    222
 1990    203    104     86     70    347    207    177    149
 1991    232    135    114     96    406    241    210    180
 1992    251    125    103     84    311    169    145    123
 1993    117     54     44     35    278    157    134    113
 1994    235    131    111     95    383    246    218    192
 1995    223    139    121    105    281    165    142    120
 1996    137     64     52     41    328    201    175    151
 1997    204    104     83     69    265    151    128    108
 1998    130     74     63     55    324    179    152    127
 1999    162     83     66     51    348    195    165    139
 2000    255    142    120     99    369    226    197    170
 2001     44     12      7      3    471    302    265    232
 2002    152     77     62     49    372    230    202    176
 2003    210    127    110     95    412    269    237    207
 2004    221    116     93     76    445    281    244    211
 2005    191    104     84     67    455    287    248    212
     ****************************  ****************************
 MEAN  174.1   92.8   77.3   63.5  394.0  243.9  213.0  184.3
 STDV   68.3   45.4   40.4   35.9   79.2   62.8   58.2   53.6

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    695    475    422    374    766    532    475    419
 1952    644    430    382    336   1015    775    716    658
 1953    638    436    389    347   1009    769    709    651
 1954    552    363    323    284    983    745    687    631
 1955    736    499    444    396    811    578    525    474
 1956    773    555    507    462    991    755    697    639
 1957    642    420    371    327    869    629    571    514
 1958    721    498    448    399    834    596    540    486
 1959    741    514    460    410    920    681    622    564
 1960    656    443    396    352    846    607    548    490
 1961    554    357    317    279    856    617    562    510
 1962    904    662    604    548    882    642    583    526
 1963    670    441    393    346    989    749    690    631
 1964    796    562    509    458    869    638    581    525
 1965    773    552    500    448    854    614    555    502
 1966    592    407    367    329    853    619    563    508
 1967    547    362    322    284    863    624    568    513
 1968    553    360    320    281    923    688    631    575
 1969    691    475    426    378    795    565    513    463
 1970    801    569    514    461    902    662    602    543
 1971    556    349    304    264    993    753    693    633
 1972    676    452    404    358    882    646    589    533
 1973    598    386    337    295    921    681    621    561
 1974    652    432    385    339    794    556    500    445
 1975    733    503    449    398    899    659    600    541
 1976    570    362    320    280    848    611    554    499
 1977    847    606    549    492    962    722    662    605
 1978    644    430    382    336    944    705    647    590
 1979    682    473    427    382    916    677    619    563
 1980    730    503    451    406    941    701    642    584
 1981    610    400    356    312    958    719    660    601
 1982    758    521    465    412    970    730    670    613
 1983    606    390    343    300    981    744    687    632
 1984    601    387    339    294    980    740    680    620
 1985    774    531    474    422    872    632    576    520
 1986    721    484    432    381    991    751    691    631
 1987    831    592    535    482    955    717    658    601
 1988    823    583    528    477    988    753    696    640
 1989    595    402    358    317    789    558    506    454
 1990    500    307    265    227    883    644    586    528
 1991    755    528    474    423    945    705    645    585
 1992    626    423    378    336    774    544    490    437
 1993    624    400    353    308    828    595    537    483
 1994    634    427    382    341    893    653    594    535
 1995    483    274    233    196    850    611    553    497
 1996    560    346    300    258    875    638    580    523
 1997    478    298    261    229    897    657    600    545
 1998    779    537    481    425    832    595    541    488
 1999    617    387    339    294    884    644    585    526
 2000    731    504    452    401    851    614    556    500
 2001    666    431    378    329    822    586    529    474
 2002    533    350    309    270    975    735    675    616
 2003    575    355    313    275    797    559    501    448
 2004    717    493    440    391    829    589    533    477
 2005    618    408    363    321    981    741    681    621
     ****************************  ****************************
 MEAN  665.1  447.9  399.5  354.0  896.9  659.1  601.4  544.9
 STDV   98.0   84.7   79.9   75.0   68.7   67.2   65.9   64.3

               JULY                        AUGUST      
     ****************************  *************************** 
