# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4063] INDIANOLA-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.56   0.26   64(70)   11(12)   10(11)    6( 7)    0( 0)    0       91
  2 3/8-->3/14       1.37   0.28   55(63)   17(19)   13(15)    3( 3)    0( 0)    0       88
  3 3/15-->3/21      1.31   0.25   57(69)   14(17)   10(12)    2( 2)    0( 0)    0       83
  4 3/22-->3/28      1.50   0.30   64(68)   12(13)   11(12)    7( 7)    0( 0)    0       94
  5 3/29-->4/4       1.98   0.27   82(66)   25(20)   11( 9)    7( 6)    0( 0)    0      125
  6 4/5-->4/11       2.15   0.37   62(59)   15(14)   21(20)    5( 5)    2( 2)    0      105
  7 4/12-->4/18      2.35   0.37   67(57)   19(16)   21(18)    9( 8)    1( 1)    0      117
  8 4/19-->4/25      2.14   0.39   73(50)   30(21)   28(19)   12( 8)    2( 1)    0      145
  9 4/26-->5/2       2.29   0.39   76(55)   19(14)   27(20)   14(10)    1( 1)    0      137
 10 5/3-->5/9        3.04   0.39   89(62)   17(12)   22(15)   12( 8)    4( 3)    0      144
 11 5/10-->5/16      2.64   0.48   55(44)   29(23)   26(21)   13(10)    3( 2)    0      126
 12 5/17-->5/23      1.89   0.37   70(51)   29(21)   30(22)    9( 7)    0( 0)    0      138
 13 5/24-->5/30      2.74   0.42   78(52)   30(20)   28(19)   10( 7)    4( 3)    0      150
 14 5/31-->6/6       2.37   0.37   66(54)   27(22)   19(15)   10( 8)    1( 1)    0      123
 15 6/7-->6/13       3.13   0.45   71(48)   32(22)   27(18)   13( 9)    4( 3)    0      147
 16 6/14-->6/20      4.13   0.53   59(49)   17(14)   25(21)   13(11)    6( 5)    0      120
 17 6/21-->6/27      4.31   0.46   64(52)   22(18)   20(16)   12(10)    4( 3)    0      122
 18 6/28-->7/4       5.42   0.58   41(39)   24(23)   21(20)   14(13)    5( 5)    0      105
 19 7/5-->7/11       4.16   0.51   47(46)   20(20)   19(19)   15(15)    1( 1)    0      102
 20 7/12-->7/18      2.83   0.55   48(44)   21(19)   22(20)   17(15)    2( 2)    0      110
 21 7/19-->7/25      2.50   0.33   63(57)   24(22)   18(16)    5( 5)    1( 1)    0      111
 22 7/26-->8/1       1.80   0.40   51(52)   18(18)   21(21)    8( 8)    0( 0)    0       98
 23 8/2-->8/8        3.00   0.50   57(53)   18(17)   17(16)    9( 8)    7( 6)    0      108
 24 8/9-->8/15       3.11   0.42   53(56)   16(17)   17(18)    5( 5)    3( 3)    0       94
 25 8/16-->8/22      2.50   0.38   56(62)   15(17)    9(10)    8( 9)    2( 2)    0       90
 26 8/23-->8/29      8.90   0.50   53(53)   18(18)   15(15)   11(11)    3( 3)    0      100
 27 8/30-->9/5       2.44   0.39   46(49)   23(25)   14(15)    9(10)    1( 1)    0       93
 28 9/6-->9/12       3.40   0.55   35(44)   17(21)   14(18)   11(14)    3( 4)    0       80
 29 9/13-->9/19      3.38   0.43   56(52)   22(21)   14(13)   13(12)    2( 2)    0      107
 30 9/20-->9/26      3.31   0.44   56(54)   20(19)   18(17)    4( 4)    5( 5)    0      103
 31 9/27-->10/3      2.50   0.41   49(60)   11(13)    9(11)   11(13)    2( 2)    0       82
 32 10/4-->10/10     1.88   0.41   47(55)   15(18)   13(15)   10(12)    0( 0)    0       85
 33 10/11-->10/17    3.95   0.37   37(54)   18(26)   10(14)    3( 4)    1( 1)    0       69
 34 10/18-->10/24    2.77   0.38   54(61)   11(13)   13(15)    9(10)    1( 1)    0       88
 35 10/25-->10/31    2.00   0.32   43(52)   25(30)   13(16)    2( 2)    0( 0)    0       83
 36 11/1-->11/7      2.26   0.36   55(60)   12(13)   17(19)    5( 5)    2( 2)    0       91
 37 11/8-->11/14     1.82   0.29   42(64)   14(21)    5( 8)    5( 8)    0( 0)    0       66
 38 11/15-->11/21    4.21   0.31   53(65)   18(22)    5( 6)    3( 4)    2( 2)    0       81
 39 11/22-->11/28    1.22   0.24   52(70)   11(15)    9(12)    2( 3)    0( 0)    0       74
 40 11/29-->12/5     1.78   0.23   50(75)    8(12)    6( 9)    3( 4)    0( 0)    0       67
 41 12/6-->12/12     1.10   0.18   58(76)   13(17)    4( 5)    1( 1)    0( 0)    0       76
 42 12/13-->12/19    0.68   0.17   58(81)    9(13)    5( 7)    0( 0)    0( 0)    0       72
 43 12/20-->12/26    1.73   0.20   54(75)   12(17)    5( 7)    1( 1)    0( 0)    0       72
 44 12/27-->1/2      1.20   0.24   44(67)   12(18)    8(12)    2( 3)    0( 0)    0       66
 45 1/3-->1/9        2.00   0.20   43(80)    6(11)    3( 6)    2( 4)    0( 0)    0       54
 46 1/10-->1/16      2.39   0.19   50(79)    9(14)    3( 5)    0( 0)    1( 2)    0       63
 47 1/17-->1/23      1.10   0.18   56(78)   11(15)    4( 6)    1( 1)    0( 0)    0       72
 48 1/24-->1/30      0.98   0.16   57(79)   10(14)    5( 7)    0( 0)    0( 0)    0       72
 49 1/31-->2/6       1.71   0.17   59(81)    9(12)    4( 5)    1( 1)    0( 0)    0       73
 50 2/7-->2/13       1.36   0.20   54(79)    7(10)    6( 9)    1( 1)    0( 0)    0       68
 51 2/14-->2/20      1.45   0.20   66(78)    6( 7)   12(14)    1( 1)    0( 0)    0       85
 52 2/21-->2/27      1.85   0.23   54(68)   16(20)    7( 9)    2( 3)    0( 0)    0       79
 53 2/28-->2/29      0.87   0.18   10(83)    0( 0)    2(17)    0( 0)    0( 0)    0       12
ANNUAL TOTALS        8.90   0.36 2959(59)  884(17)  736(14)  351( 7)   76( 1)    0     5006
