# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2724] ESTHERVILLE-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5   6   8  11  10   8  10  10   9   4   6   6  93
1952     4   2   6   4   6   8   8  11   1   0   3   2  55
1953     3   4   7   8  11   4   9   8   5   3   6   6  74
1954     3   2   6   6   7  10   9   8  11  11   1   1  75
1955     0   2   0   7   3   7   5   4   3   4   4   4  43
1956     0   3   5   3   7   7  10  13   4   6   5   1  64
1957     2   2   3   4  12   6   7  10   7   7   8   4  72
1958     3   3   2   7   4  10   7   5   4   3   3   2  53
1959     3   3   2   2  16   9   1   9   8   8   3   6  70
1960     1   0   0   6   9  11   7   9   4   1   3   3  54
1961     0   2   3   4   9   5   8   6   9   0   4   3  53
1962     0   6   2   9  10   8  10   7   6   4   2   1  65
1963     3   4   4   6   9   8  10   5   7   3   2   2  63
1964     1   1   8   8   7   7  10   7   7   3   4   6  69
1965     2   6   2  10  12   7   5   6  11   1   3   2  67
1966     2   4   4   7   6   9   8   9   6   3   1   3  62
1967     7   6   4   8   6  16   6   9   3   8   2   2  77
1968     4   2   1   8   7   9  10   6  12   8   3   8  78
1969     6   4   2   8  12   9   8   5   8  11   3   6  82
1970     4   1   5  10  11   8  10   3  13   9  11   3  88
1971     2   7   4   7   8  14   6   3   9  12   7   6  85
1972     3   5   5   9  12   7  14   9  10   9   6   7  96
1973     6   6   7   9  12  10   9   9  15   8   6   8 105
1974     3   4  11   8  17   7   9  11   6   4   0   6  86
1975     9   4   7  13  10  15   3  10   7   2   7   2  89
1976     1   4   0   7   5   7   6   3   4   4   2   4  47
1977     2   6   8   6   9   8   7  13  13   6   9   8  95
1978     5   7   4  14   8   8  11  10   5   5   6   5  88
1979     5   0   8  11   9   6  10   0   5   5   3   0  62
1980     1   4   5   2   4   4   6  12   5   3   1   4  51
1981     0   4   2   9   8  10  10  10   4  10   2   3  72
1982     0   0   7   3  16   5   9   9   7   6   5   2  69
1983     2   3   7   9   9  14   8   7  10   5   9   4  87
1984     2   2   6  14  12  13  10   7   4  11   3   4  88
1985     4   1   8  11   8   6   5  10  13   9   5   0  80
1986     2   3   5  12  11   9  11   7  10   7   4   2  83
1987     5   0  11   7   9   9  12  10  10   3   7   1  84
1988     0   0   4  10   8   9   7   9   8   2   6   2  65
1989     3   5   7  11   8   8   8   6   6   3   2   1  68
1990     2   4  10  12  11  14  11  12   9   8   5   6 104
1991     6   5  14  17  19  12  11   8  15   8  12   6 133
1992     8   7  10   8   8  11  14   8   7   6   8  11 106
1993     7   9   7  12  13  18  16  11   8   3   6   9 119
1994    11   6   6  13   6  14  11   7  13   5   6   7 105
1995     3   4  14  12  12  12   9   7   9  12   4   4 102
1996     9   3   5   6  23  13  10   8   6   8  12   6 109
1997     7   4   7  11  12   8  14  14  12   4   5   6 104
1998     8   6  11  14  10  16   7  12   4  11   4   4 107
1999    10   4   5  16  17  19  10   5   6   4   4   5 105
2000     5   8   7  10  11  12   9   7   8  11   9  12 109
2001    10   8   4  10  15  11   8   9   7   3   6   4  95
2002     7   7  10  12  11  10   7   9   9  13   3   3 101
2003    11   6   9  12  11  14   9   6   6   3   8   7 102
2004     9  10  13   4  19  12  11  13  10   9   7   4 121
2005     8   9  11  12  17  20  10   0   0   0   0   0  87
STDDEV   3   2   3   3   4   4   3   3   3   3   3   3  21
AVG      4   4   6   9  10  10   9   8   8   6   5   4  83
