# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4101] IOWA-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        2.26   0.25   79(69)   16(14)   15(13)    4( 3)    1( 1)    0      115
  2 3/8-->3/14       1.55   0.25   70(67)   20(19)   12(11)    3( 3)    0( 0)    0      105
  3 3/15-->3/21      1.07   0.23   68(68)   16(16)   14(14)    2( 2)    0( 0)    0      100
  4 3/22-->3/28      1.42   0.25   78(68)   17(15)   17(15)    3( 3)    0( 0)    0      115
  5 3/29-->4/4       2.18   0.27   89(66)   24(18)   15(11)    5( 4)    1( 1)    0      134
  6 4/5-->4/11       1.88   0.30   78(63)   22(18)   18(15)    6( 5)    0( 0)    0      124
  7 4/12-->4/18      2.28   0.31   86(63)   22(16)   19(14)    9( 7)    1( 1)    0      137
  8 4/19-->4/25      4.12   0.37  102(61)   23(14)   25(15)   15( 9)    3( 2)    0      168
  9 4/26-->5/2       2.43   0.33   95(65)   24(16)   16(11)    9( 6)    3( 2)    0      147
 10 5/3-->5/9        2.37   0.34   82(57)   29(20)   23(16)   10( 7)    1( 1)    0      145
 11 5/10-->5/16      5.26   0.36   83(56)   29(20)   21(14)   13( 9)    1( 1)    0      147
 12 5/17-->5/23      3.53   0.33   84(59)   30(21)   18(13)   10( 7)    1( 1)    0      143
 13 5/24-->5/30      2.25   0.40   87(55)   28(18)   26(16)   14( 9)    3( 2)    0      158
 14 5/31-->6/6       2.41   0.35   74(54)   29(21)   22(16)   10( 7)    1( 1)    0      136
 15 6/7-->6/13       5.06   0.42   87(56)   25(16)   22(14)   17(11)    3( 2)    0      154
 16 6/14-->6/20      4.02   0.48   65(53)   22(18)   18(15)   13(11)    5( 4)    0      123
 17 6/21-->6/27      2.87   0.42   63(52)   18(15)   27(22)   11( 9)    2( 2)    0      121
 18 6/28-->7/4       3.22   0.50   60(52)   18(16)   17(15)   19(16)    2( 2)    0      116
 19 7/5-->7/11       2.89   0.56   61(50)   13(11)   25(20)   16(13)    8( 7)    0      123
 20 7/12-->7/18      6.91   0.53   63(55)   21(18)   12(11)   12(11)    6( 5)    0      114
 21 7/19-->7/25      2.42   0.41   66(53)   20(16)   24(19)   11( 9)    3( 2)    0      124
 22 7/26-->8/1       2.50   0.47   48(46)   21(20)   21(20)   12(12)    2( 2)    0      104
 23 8/2-->8/8        3.50   0.48   62(51)   21(17)   20(17)   14(12)    4( 3)    0      121
 24 8/9-->8/15       3.60   0.39   57(56)   22(22)   11(11)   11(11)    1( 1)    0      102
 25 8/16-->8/22      3.67   0.47   61(54)   21(18)   14(12)   13(11)    5( 4)    0      114
 26 8/23-->8/29      3.80   0.55   47(48)   19(20)   13(13)   13(13)    5( 5)    0       97
 27 8/30-->9/5       2.13   0.40   44(49)   17(19)   18(20)    9(10)    1( 1)    0       89
 28 9/6-->9/12       2.58   0.32   65(62)   18(17)   15(14)    5( 5)    2( 2)    0      105
 29 9/13-->9/19      4.39   0.49   70(54)   20(16)   23(18)   10( 8)    6( 5)    0      129
 30 9/20-->9/26      2.60   0.47   50(46)   23(21)   24(22)    5( 5)    6( 6)    0      108
 31 9/27-->10/3      1.87   0.33   43(53)   17(21)   16(20)    5( 6)    0( 0)    0       81
 32 10/4-->10/10     2.50   0.37   59(60)   17(17)   12(12)   10(10)    1( 1)    0       99
 33 10/11-->10/17    3.18   0.35   61(62)   10(10)   19(19)    6( 6)    2( 2)    0       98
 34 10/18-->10/24    1.60   0.34   64(60)   19(18)   14(13)   10( 9)    0( 0)    0      107
 35 10/25-->10/31    2.73   0.29   68(63)   22(20)   12(11)    5( 5)    1( 1)    0      108
 36 11/1-->11/7      1.96   0.33   70(69)    9( 9)   11(11)   11(11)    0( 0)    0      101
 37 11/8-->11/14     1.20   0.24   61(66)   16(17)   13(14)    2( 2)    0( 0)    0       92
 38 11/15-->11/21    4.68   0.35   62(65)   14(15)   12(13)    6( 6)    2( 2)    0       96
 39 11/22-->11/28    1.84   0.25   71(72)   12(12)   12(12)    3( 3)    0( 0)    0       98
 40 11/29-->12/5     2.06   0.19   81(79)   12(12)    6( 6)    3( 3)    1( 1)    0      103
 41 12/6-->12/12     1.06   0.19   73(77)   11(12)    9( 9)    2( 2)    0( 0)    0       95
 42 12/13-->12/19    2.86   0.18   71(80)    9(10)    8( 9)    0( 0)    1( 1)    0       89
 43 12/20-->12/26    1.65   0.17   77(86)    5( 6)    7( 8)    1( 1)    0( 0)    0       90
 44 12/27-->1/2      1.25   0.20   62(70)   18(20)    7( 8)    1( 1)    0( 0)    0       88
 45 1/3-->1/9        1.03   0.14   66(84)    8(10)    4( 5)    1( 1)    0( 0)    0       79
 46 1/10-->1/16      2.10   0.16   76(86)    6( 7)    4( 5)    1( 1)    1( 1)    0       88
 47 1/17-->1/23      1.12   0.18   71(75)   17(18)    6( 6)    1( 1)    0( 0)    0       95
 48 1/24-->1/30      0.95   0.11   92(90)    6( 6)    4( 4)    0( 0)    0( 0)    0      102
 49 1/31-->2/6       0.70   0.13   67(82)   11(13)    4( 5)    0( 0)    0( 0)    0       82
 50 2/7-->2/13       1.78   0.17   58(82)   10(14)    2( 3)    1( 1)    0( 0)    0       71
 51 2/14-->2/20      1.42   0.18   64(74)   15(17)    6( 7)    1( 1)    0( 0)    0       86
 52 2/21-->2/27      1.83   0.23   66(72)   16(17)    5( 5)    5( 5)    0( 0)    0       92
 53 2/28-->2/29      0.18   0.06   13(100)    0( 0)    0( 0)    0( 0)    0( 0)    0       13
ANNUAL TOTALS        6.91   0.33 3620(62)  928(16)  758(13)  379( 6)   86( 1)    0     5771
