# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5493] MILFORD-4-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5493
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     8     2     0    10        0     0    17     8     0    25
 1952     2    13     9     5     6    35        7    52    33     8    12   112
 1953     1     7     7     9     3    27        3    44    27    27    11   112
 1954     0     8    13     1     0    22        0    26    67     5     0    98
 1955     3     2    20    22     7    54        4     9   145   182    45   385
 1956     1    17     5     8     4    35        1   132    18    36    18   205
 1957     0     2    17     6     1    26        0     3    88    25     2   118
 1958     1     5     3    21     3    33        1    22    13   131    13   180
 1959     2    10    12    15     5    44       10    45    52    93    29   229
 1960     0     3     9     6     7    25        0     6    34    18    28    86
 1961     0     6     4    10     1    21        0    24     7    37     3    71
 1962     0     2     2     7     1    12        0     2     6    18     1    27
 1963     0    15    12    11     2    40        0    69    41    30     6   146
 1964     5    11    20     6     2    44       25    47   113    24     7   216
 1965     1     3    11     9     0    24        2     9    52    63     0   126
 1966     4     5    21     7     1    38       10    21   113    20     2   166
 1967     3     1    11     6     1    22       19     4    60    15     1    99
 1968     1    14    11    10     0    36        3    56    40    74     0   173
 1969     2     1    10     7     0    20        9     7    42    15     0    73
 1970     5    12    16     8     5    46       18    61    70    44    17   210
 1971     0    11     6     9     3    29        0    54    14    45    20   133
 1972     5     7     6    13     1    32       10    25    22    73     5   135
 1973     1    11    10    11     0    33        4    45    41    43     0   133
 1974     0     8    22     4     0    34        0    36   142    10     0   188
 1975     2     4    22     8     1    37       12    17   116    18     1   164
 1976     1     8    17    19     5    50        3    26    89   104    27   249
 1977     5     9    16     3     0    33        7    51    91     6     0   155
 1978     3     7    10     6     8    34        9    24    33    20    35   121
 1979     2     8     9     5     0    24        7    35    21    14     0    77
 1980     4     4    18     7     2    35        4    27    97    22     7   157
 1981     0     6     8     1     1    16        0    23    38     1     2    64
 1982     0     1    10     4     0    15        0     2    39    20     0    61
 1983     1     5    12    20     3    41        2    14    63   102    14   195
 1984     0     1     4     8     2    15        0     4    12    39    10    65
 1985     1     3     8     2     2    16        1    30    27     3     7    68
 1986     0     6    11     1     0    18        0    23    37     3     0    63
 1987     7    13    16     3     0    39       34    77    79    13     0   203
 1988     4    14    15    12     2    47       10    90    96    91     2   289
 1989     2     7    14     7     0    30        6    21    82    16     0   125
 1990     2    10     6     6     6    30        5    41    40    16    17   119
 1991     2     9     8     6     0    25        4    39    36    16     0    95
 1992     1     0     0     2     0     3        3     0     0     3     0     6
 1993     0     0     2     4     0     6        0     0     3     6     0     9
 1994     1     3     0     2     2     8        6     8     0     5     4    23
 1995     0     7    11     9     0    27        0    28    61    28     0   117
 1996     2     7     3     2     0    14        8    26     6     4     0    44
 1997     0     7    10     3     0    20        0    22    32    11     0    65
 1998     3     2     8     3     7    23        8     6    18    10    34    76
 1999     0     5    13     4     4    26        0    12    65     9    12    98
 2000     0     4     6     4     2    16        0    17    18    17     4    56
 2001     2     6    10     8     0    26       13    28    33    34     0   108
 2002     2    10    20     1     5    38        7    47   104     7    17   182
 2003     0     3     6    10     3    22        0     6    20    56     9    91
 2004     2     2     5     0     2    11        3     9     6     0     4    22
 2005     0     8    13     0     0    21        0    35    54     0     0    89
 **************************************************************************************
MEANS   1.6   6.4  10.5   7.0   2.0  27.4      5.1  28.9  48.6  31.6   7.7 121.9
