# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8755] WAUKON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia8755 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      7      0      0      0    180     85     70     59
 1952     29     14     11      9    358    227    199    175
 1953     99     37     27     19    157     62     45     33
 1954     50     13      8      4    354    209    183    158
 1955     76     28     21     16    407    243    211    184
 1956     23      2      1      0    250    137    112     88
 1957     68     22     17     13    309    177    152    131
 1958     53     10      7      4    297    166    138    113
 1959     28      3      2      1    266    140    115     92
 1960     22      6      4      2    327    197    174    152
 1961     46     14     10      7    173     80     61     47
 1962     26      9      6      5    256    151    131    113
 1963    135     83     73     63    329    188    161    135
 1964     56     16     10      6    304    172    146    122
 1965      5      0      0      0    208    105     84     67
 1966    132     49     33     24    186     79     60     46
 1967    104     49     40     31    294    153    123     97
 1968    221    123    104     88    361    211    180    150
 1969     40     14      8      5    308    161    133    105
 1970     28      0      0      0    338    206    178    152
 1971     32     10      8      7    330    204    177    152
 1972     41      9      6      3    215    109     90     73
 1973    163     68     53     39    235    125    103     81
 1974     59     19     14     10    365    215    181    151
 1975     17      0      0      0    163     74     60     47
 1976    134     72     60     49    369    216    182    149
 1977    183     84     68     53    497    338    302    269
 1978     71     38     31     25    267    140    112     86
 1979     34      6      4      2    209    113     95     80
 1980     41      7      4      2    326    199    173    148
 1981    147     72     57     46    351    199    170    142
 1982     45     12      9      6    233    128    106     85
 1983     90     37     30     24    178     93     81     70
 1984     33      3      0      0    255    126     97     73
 1985    121     40     29     21    420    281    252    224
 1986    150     85     76     68    406    250    214    182
 1987    144     68     57     48    417    276    246    218
 1988     99     38     27     17    294    176    149    123
 1989    100     50     42     35    290    158    133    109
 1990    137     54     42     34    331    192    165    142
 1991    104     47     38     30    352    201    171    143
 1992     95     30     21     13    236    127    106     85
 1993     34      9      6      4    228    110     90     74
 1994     99     41     33     28    294    183    157    134
 1995    142     77     63     52    182     91     73     55
 1996     67     17     11      7    212    112     95     78
 1997     83     36     29     22    243    148    126    105
 1998    104     58     50     43    288    158    133    110
 1999     96     37     28     20    287    154    126    102
 2000    188    101     83     67    271    167    147    129
 2001     24      0      0      0    350    210    182    158
 2002     49     12      8      5    267    162    142    122
 2003    106     57     47     38    277    174    154    136
 2004    120     53     41     32    322    185    155    132
 2005     86     45     40     35    380    238    208    180
     ****************************  ****************************
 MEAN   81.6   34.3   27.2   21.5  290.9  166.9  142.0  119.4
 STDV   51.2   29.7   25.3   21.4   74.6   56.8   52.3   48.0

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    646    426    375    327    687    453    400    349
 1952    540    338    295    256    865    625    567    510
 1953    562    359    318    280    870    631    573    517
 1954    440    267    233    202    891    657    602    547
 1955    683    463    414    369    746    513    457    402
 1956    561    372    332    295    923    688    631    574
 1957    480    296    257    220    765    532    476    422
 1958    610    410    367    325    685    449    395    347
 1959    649    434    386    341    828    588    530    476
 1960    563    358    312    271    735    501    446    394
 1961    502    315    277    242    840    603    550    499
 1962    679    460    409    361    767    532    477    422
 1963    518    332    293    254    885    649    593    538
 1964    731    496    448    400    845    610    554    502
 1965    667    446    399    356    782    542    483    428
 1966    495    310    275    242    822    587    530    477
 1967    468    294    257    224    814    575    517    460
 1968    488    291    254    220    825    586    529    474
 1969    599    393    348    304    639    414    364    319
 1970    637    430    382    337    851    613    556    501
 1971    503    316    275    238    938    699    640    582
 1972    678    460    412    365    790    562    510    459
 1973    486    283    240    202    877    637    577    517
 1974    493    303    264    228    744    504    446    394
 1975    665    434    384    339    804    564    507    452
 1976    539    341    300    262    857    617    558    500
 1977    817    585    530    477    808    571    513    458
 1978    599    397    350    306    812    577    520    467
 1979    542    354    314    275    792    554    497    443
 1980    647    433    384    341    796    558    502    450
 1981    519    325    284    246    783    543    485    429
 1982    666    432    379    328    670    442    391    345
 1983    424    241    207    175    837    599    542    490
 1984    493    307    270    235    850    611    552    495
 1985    680    452    405    361    731    501    451    403
 1986    608    389    340    295    851    614    557    500
 1987    690    476    431    388    910    672    615    559
 1988    687    481    438    398    919    685    629    574
 1989    581    381    337    293    835    596    538    480
 1990    498    304    263    223    841    610    555    500
 1991    705    492    444    398    948    708    648    588
 1992    620    415    370    331    789    553    495    439
 1993    599    371    320    273    773    541    486    431
 1994    533    367    329    294    854    624    571    519
 1995    474    285    250    216    853    616    562    509
 1996    426    250    215    181    759    527    470    416
 1997    382    232    201    171    808    577    525    475
 1998    705    467    416    373    739    515    463    411
 1999    585    380    335    291    805    575    520    467
 2000    599    388    341    297    742    508    452    400
 2001    584    369    325    285    767    539    485    434
 2002    462    301    266    234    873    634    575    519
 2003    458    286    253    225    698    468    420    375
 2004    533    336    297    259    726    495    446    398
 2005    478    291    252    220    925    685    625    567
     ****************************  ****************************
 MEAN  572.3  371.2  328.2  288.2  810.3  575.1  519.2  465.5
 STDV   93.3   76.5   71.6   66.9   70.5   68.3   66.6   64.1

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    900    652    590    529    796    548    488    433
 1952    997    749    687    626    856    610    550    493
 1953    956    708    647    586    938    690    628    567
 1954   1008    760    698    636    898    650    588    528
 1955   1063    815    753    691    997    750    689    629
 1956    878    630    568    507    894    652    594    536
 1957   1020    772    710    648    891    643    582    523
 1958    890    642    580    519    933    688    628    570
 1959    896    648    588    528    994    746    684    622
 1960    917    669    607    546    936    688    627    567
 1961    913    665    603    543    943    695    633    572
 1962    840    592    531    471    870    622    560    500
 1963    971    723    661    599    882    635    575    517
 1964   1036    788    726    664    880    633    574    519
 1965    934    686    624    562    868    623    563    504
 1966   1015    767    705    643    863    616    555    498
 1967    893    647    588    532    811    567    510    457
 1968    941    693    631    569    915    668    608    549
 1969    967    719    657    596    984    736    674    612
 1970    994    746    685    626    933    685    623    561
 1971    860    614    555    497    876    628    568    509
 1972    901    654    593    532    936    688    627    566
 1973    978    730    668    606    954    706    644    582
 1974   1037    789    727    665    860    613    553    493
 1975    989    742    681    622    963    715    653    593
 1976   1031    783    721    659    908    660    598    538
 1977   1032    784    722    660    842    595    536    479
 1978    934    686    624    562    902    654    593    535
 1979    917    669    607    546    834    592    534    479
 1980   1018    770    708    646    938    690    628    566
 1981    923    676    615    554    847    601    542    484
 1982    981    733    671    609    860    613    555    499
 1983   1070    822    760    698   1058    810    748    686
 1984    915    667    605    544    966    718    657    597
 1985    957    709    647    585    837    590    529    469
 1986   1011    763    701    639    795    552    494    437
 1987   1030    782    720    658    854    609    550    494
 1988   1019    771    709    648    993    749    690    632
 1989   1051    803    741    679    931    683    621    559
 1990    947    699    637    575    930    682    620    558
 1991    973    725    663    603    940    692    630    568
 1992    839    591    529    467    785    537    477    423
 1993    946    698    636    574    959    711    649    588
 1994    874    626    566    507    779    538    483    432
 1995    960    713    652    593   1066    818    756    694
 1996    868    621    560    501    852    605    548    497
 1997    897    656    599    545    800    553    496    442
 1998    960    712    650    588    940    692    630    569
 1999   1045    797    736    675    863    615    553    492
 2000    928    680    619    558    932    684    622    560
 2001    989    744    684    625    952    704    642    581
 2002   1058    810    748    686    875    627    567    508
 2003    954    706    644    582   1005    757    695    633
 2004    884    639    581    523    752    527    474    422
 2005    991    743    681    620      0      0      0      0
     ****************************  ****************************
 MEAN  959.9  712.3  650.9  590.0  884.8  642.8  583.5  525.8
 STDV   61.4   61.1   60.7   59.9  139.3  110.6  103.4   95.9

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    523    324    281    242    350    204    175    146
 1952    651    447    402    361    300    184    158    134
 1953    642    438    396    359    535    359    318    279
 1954    690    464    411    361    353    201    167    135
 1955    690    483    438    396    368    220    188    162
 1956    572    376    333    293    478    312    279    246
 1957    567    366    324    285    305    166    136    108
 1958    635    421    378    339    450    282    244    211
 1959    661    453    404    359    237    108     83     63
 1960    675    452    405    361    381    227    195    167
 1961    584    386    342    300    399    237    203    173
 1962    507    317    276    235    387    214    181    152
 1963    665    444    392    345    639    420    370    322
 1964    606    400    353    307    344    191    164    140
 1965    527    323    281    240    370    207    172    139
 1966    607    394    348    308    377    227    193    162
 1967    601    396    351    309    332    196    168    143
 1968    649    424    374    327    416    253    217    183
 1969    648    433    387    344    313    178    153    131
 1970    639    423    374    331    388    220    185    153
 1971    730    511    462    415    546    345    300    257
 1972    660    438    386    338    293    158    135    113
 1973    642    419    368    321    517    331    288    249
 1974    549    355    314    274    397    223    187    156
 1975    525    330    287    245    486    310    270    234
 1976    639    434    387    345    286    169    147    130
 1977    656    427    374    326    315    165    135    106
 1978    755    527    476    427    321    167    133    103
 1979    682    473    427    381    362    196    164    134
 1980    664    443    394    348    262    138    111     87
 1981    606    387    341    298    320    164    133    106
 1982    596    390    343    300    386    226    191    160
 1983    665    449    400    354    333    179    146    119
 1984    634    434    388    347    417    243    204    168
 1985    643    441    395    352    348    183    148    117
 1986    659    434    382    333    338    188    156    126
 1987    639    418    374    332    282    153    127    106
 1988    683    469    422    378    274    152    128    106
 1989    606    394    348    303    419    261    227    193
 1990    734    514    463    413    359    205    174    146
 1991    630    435    388    342    344    192    163    138
 1992    612    414    369    325    354    203    173    147
 1993    499    298    256    215    324    188    159    132
 1994    693    470    419    371    390    221    186    155
 1995    553    367    325    286    337    199    171    144
 1996    591    392    350    310    362    218    188    159
 1997    626    421    375    330    400    252    221    192
 1998    740    522    474    429    349    181    147    117
 1999    591    394    352    315    336    199    173    149
 2000    649    446    403    363    427    262    228    196
 2001    591    382    333    292    297    165    135    109
 2002    679    464    417    372    246    136    117     98
 2003    610    410    366    323    366    225    194    166
 2004    767    544    495    448    333    193    166    143
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  620.7  414.7  369.1  326.4  360.9  210.8  179.5  151.1
 STDV  104.2   77.6   71.7   66.3   90.6   65.3   59.2   53.4
