# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9132] WINTERSET
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    1    0    0    0
 Sep 14    1    0    0    0
 Sep 16    1    0    0    0
 Sep 18    3    0    0    0
 Sep 20    9    1    0    0
 Sep 22   20    5    0    0
 Sep 24   29    5    0    0
 Sep 26   31    5    0    0
 Sep 28   42   11    0    0
 Sep 30   50   14    1    0
 Oct 02   55   24    5    1
 Oct 04   64   33    9    1
 Oct 06   74   38   16    3
 Oct 08   79   42   18    7
 Oct 10   83   50   24   12
 Oct 12   87   51   27   12
 Oct 14   90   59   33   12
 Oct 16   90   66   44   16
 Oct 18   90   74   50   18
 Oct 20   92   77   57   24
 Oct 22   94   79   61   25
 Oct 24   94   85   70   27
 Oct 26   96   87   74   42
 Oct 28   98   88   79   46
 Oct 30  100   90   81   51
 Nov 01  100   94   83   57
 Nov 03  100   96   88   61
 Nov 05  100   98   96   75
 Nov 07  100   98   96   79
 Nov 09  100   98   98   83
 Nov 11  100   98   98   88
 Nov 13  100   98   98   94
 Nov 15  100  100   98   96
 Nov 17  100  100   98   96
 Nov 19  100  100   98   98
 Nov 21  100  100   98   98
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
