# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3438 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     43     16     13     10    245    129    110     92
 1952     90     44     36     30    385    241    213    185
 1953    175     88     69     53    248    127    104     84
 1954    106     37     26     18    486    311    274    241
 1955    150     81     67     55    546    351    310    275
 1956    148     66     52     43    336    215    189    165
 1957    130     60     48     40    385    231    199    174
 1958     58     16     10      7    364    209    177    148
 1959    131     61     50     40    355    223    194    169
 1960     26      9      6      3    404    251    219    190
 1961    109     43     32     23    266    153    131    111
 1962     59     30     26     23    343    207    181    158
 1963    212    122    109     97    439    278    244    211
 1964    133     66     53     42    392    245    215    186
 1965     17      4      3      2    357    221    194    167
 1966    235    140    120    100    294    171    147    123
 1967    267    174    154    134    438    276    242    211
 1968    325    212    188    165    437    278    244    214
 1969     84     45     38     31    412    261    230    199
 1970     82     28     21     14    444    290    259    230
 1971    133     70     59     48    443    288    256    224
 1972    199    116     98     82    404    251    221    193
 1973    182     68     51     35    362    219    191    163
 1974    228    128    108     91    452    288    251    218
 1975     93     50     42     36    337    197    167    143
 1976    197    106     89     74    496    327    290    254
 1977    262    142    118     98    565    382    341    303
 1978    133     79     67     57    369    219    189    163
 1979    112     49     38     30    309    183    157    135
 1980    126     57     44     33    418    272    241    212
 1981    263    143    120     97    598    405    363    324
 1982    138     54     41     28    342    216    190    165
 1983    159     86     73     62    244    138    120    102
 1984     60     10      6      4    294    158    133    109
 1985    244    135    112     90    537    360    324    289
 1986    278    172    155    138    482    316    281    246
 1987    246    138    117     99    508    341    307    277
 1988    268    171    149    128    412    268    237    208
