# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0923] BRITT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0923 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      6      0      0      0    178     92     74     61
 1952     37     16     13     10    373    242    216    193
 1953    117     45     33     25    173     80     64     53
 1954     35      7      3      2    401    249    218    189
 1955     92     45     34     23    478    313    279    250
 1956     44     11      7      4    275    167    141    119
 1957     88     31     20     14    355    231    206    185
 1958     62     20     15     10    343    208    177    149
 1959     57     16     11      7    357    223    197    174
 1960     23      7      4      2    358    215    189    166
 1961     57     17     11      7    191     90     70     53
 1962     16      6      4      2    275    161    144    129
 1963    160    103     90     78    376    228    196    166
 1964     55     18     11      7    307    174    150    127
 1965      2      0      0      0    216    114     96     80
 1966    169     85     69     55    189     95     77     63
 1967    163    103     91     79    327    190    160    133
 1968    276    177    157    137    400    251    220    191
 1969      3      0      0      0    320    180    152    127
 1970     17      1      0      0    348    222    196    171
 1971     41     16     13     11    367    236    205    177
 1972     75     22     16     12    247    128    106     85
 1973    130     43     30     19    280    158    133    112
 1974     79     26     20     15    358    209    178    153
 1975     15      2      1      0    159     65     50     36
 1976    132     72     60     50    439    279    244    210
 1977    195     99     80     62    540    369    334    302
 1978    109     59     50     44    271    151    125    101
 1979     14      1      0      0    219    118     96     80
 1980     62     25     19     13    354    226    199    177
 1981    212    111     90     72    448    276    240    211
 1982     67     21     15     10    320    188    162    137
 1983     92     45     38     31    198    119    103     89
 1984     24      3      1      0    246    119     94     72
 1985    133     57     43     31    447    294    264    236
 1986    163     93     80     69    391    237    203    173
 1987    157     86     74     62    417    279    253    229
 1988    150     67     52     39    290    175    148    126
 1989     79     39     31     26    304    176    152    130
 1990    160     69     52     40    345    202    174    149
 1991    111     49     39     30    335    190    164    139
 1992    125     51     38     27    217    117     98     81
 1993      9      0      0      0    211    100     82     67
 1994    113     52     41     33    304    199    174    150
 1995    102     44     36     28    172     86     70     54
 1996     60     22     17     13    201    112     96     83
 1997     67     29     22     17    236    135    112     91
 1998     79     42     37     32    297    169    141    116
 1999    101     42     32     24    247    128    104     84
 2000    202    111     93     78    273    169    149    130
 2001      5      0      0      0    314    186    161    137
 2002     33     12      9      6    266    160    139    119
 2003    121     69     59     49    325    214    190    166
