# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1731] COLUMBUS-JCT-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1731
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     2     1     6     7     2    18        2     3    18    28     6    57
 1952     2    15    19     7     6    49        9    82    90    27    28   236
 1953     5    14    15    16    11    61       18    75    95   134    81   403
 1954     0    19    21     9     7    56        0    96   113    28    34   271
 1955     1     1    25    20    10    57        1     2   209   167    72   451
 1956     6    20    14    12     7    59       25   134    91    63    22   335
 1957     0     5    21    17     2    45        0    18   137   104     9   268
 1958     2     4     1    17     2    26        3    11     1    78     2    95
 1959     5    11    12    21     8    57       12    36    33   120    40   241
 1960     0     1    12    15     8    36        0     2    56    67   101   226
 1961     1    12    10    16     7    46        3    59    48    63    38   211
 1962     9    11     6    16     4    46       25    34    24    79    19   181
 1963     3    18    20    10     7    58       12   121    88    55    20   296
 1964     5    10    20    11     5    51       19    53   138    74    36   320
 1965     4     2     7    10     1    24        7     7    38    47     3   102
 1966     2    10    20    10     3    45        2    32   146    38     9   227
 1967     5     3    14     3     1    26       19    11    58     6     1    95
 1968     1    17    17    14     2    51        3    65    63    79     5   215
 1969     4     6    15    15     0    40        9    17    63    45     0   134
 1970     3     7    19    11     3    43        5    34   111    36     7   193
 1971     1    23    14    14    13    65        2   108    37    74    60   281
 1972     9    11    20    15     6    61       31    38    81    91    22   263
 1973     0     8    15    16     2    41        0    37    64    65     6   172
 1974     0     5    24     7     0    36        0    14   162    16     0   192
 1975     8    12    25    18     3    66       25    50   144   110    11   340
 1976     0     8    20     8     4    40        0    28   101    34    10   173
 1977    13     9    22     4     0    48       38    39   151    12     0   240
 1978     3     9    10    10    11    43       18    35    36    38    54   181
 1979     4     7    14    14     6    45       11    28    38    61    14   152
 1980     4     7    25    21     7    64       13    37   183    97    25   355
 1981     0     7     9     6     4    26        0    19    44    16    10    89
 1982     0     1    17     7     3    28        0     2    58    36     5   101
 1983     0    13    28    26     9    76        0    71   232   247    54   604
 1984     1     9    12    20     6    48        1    26    57   100    34   218
 1985     2     4    22     9    10    47       10    24    83    26    76   219
 1986     0     9    21     4     5    39        0    42    81     9     9   141
 1987    12    17    25    17     2    73       31   117   211   115     6   480
 1988     9    23    27    20     4    83       35   169   257   238    15   714
 1989     2     5    16     7     0    30        6    12    84    28     0   130
 1990     0     4     9     7     7    27        0    10    43    37    27   117
 1991     5    12    15    13     8    53       15    42    94    64    37   252
 1992     1     5     2     5     0    13        1    12     5    11     0    29
 1993     0     5     5    10     1    21        0     9    16    21     2    48
 1994     1    10     8     8     5    32        1    44    23    26    15   109
 1995     0     8    14    18     0    40        0    29    76    72     0   177
 1996     3    11     4     6     0    24        7    31    20    23     0    81
 1997     1     6    13     5     2    27        1    12    67    17     5   102
 1998     5     6     9     7     6    33        9    31    31    21    22   114
 1999     0    10    20     4     5    39        0    23   131     9    21   184
 2000     0     3     2    10     9    24        0     8     7    33    52   100
 2001     1     8    15     8     1    33        1    18    69    49     3   140
 2002     1    12    23     6     8    50        1    42   100    31    27   201
 2003     0     4    13    13     2    32        0    16    39    97     3   155
 2004     3     4     3     5     2    17        6    10    12    11     3    42
 2005     0    12    19     0     0    31        0    58   133     0     0   191
 **************************************************************************************
MEANS   2.7   9.0  15.2  11.4   4.5  42.7      7.9  39.7  83.5  59.5  21.1 211.7
