# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6719] POCAHONTAS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6719
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     7     2     0     9        0     0    17     9     0    26
 1952     1    14    11     3     9    38        5    75    41     6    25   152
 1953     2    16    17    12     4    51        7    80    57    57    22   223
 1954     0    12    21     4     4    41        0    54   132    11    14   211
 1955     5     3    26    25    10    69        9    15   227   250    59   560
 1956     3    19     8    13     7    50        8   131    37    77    40   293
 1957     0     4    20    13     1    38        0    17   124    46     3   190
 1958     2     4     1    18     2    27        2    18     4    82     5   111
 1959     2    13    10    18     5    48        6    49    46   104    20   225
 1960     0     2    12    10     7    31        0     4    53    36    39   132
 1961     0     9    12    12     4    37        0    38    40    30     8   116
 1962     8     4     7     6     1    26       16    13    24    18     2    73
 1963     3    18    17    12     2    52       10   108    65    48     3   234
 1964     5     9    20     5     2    41       19    19    89    19     7   153
 1965     3     6    11     9     0    29        6    10    54    51     0   121
 1966     2    10    18     8     0    38        4    32    97    21     0   154
 1967     4     1    10     3     0    18       35     4    24     8     0    71
 1968     0    11     8    12     0    31        0    52    34    69     0   155
 1969     5     2     8     7     0    22       13    10    60    18     0   101
 1970     7     9    16     8     6    46       19    54    65    32    24   194
 1971     0    16     9     9     5    39        0    93    27    46    31   197
 1972     6     6     7    12     3    34       19    26    27    59    11   142
 1973     1    13     9     7     0    30        3    56    36    19     0   114
 1974     2     7    20     2     1    32        4    44   133     4     1   186
 1975     6     5    19    14     2    46       25    18    92    46     9   190
 1976     2     7    15    15     5    44        2    36    72    85    21   216
 1977     9     8    14     3     1    35       33    61   120     7     3   224
 1978     4     9    10     7    10    40       19    39    63    37    44   202
 1979     3     9     8     7     4    31       11    38    33    24    10   116
 1980     7    10    22     7     5    51       27    58    98    27    16   226
 1981     0    15    14     5     6    40        0    71    69     9    27   176
 1982     1     4    12     5     3    25        4    12    43    21     6    86
 1983     1    10    21    24    12    68        4    41   126   213    54   438
 1984     0     8    13    18     5    44        0    27    53    88    24   192
 1985     4     6    10     5     6    31        9    39    52    18    28   146
 1986     0    12    15     2     1    30        0    51    80     4     1   136
 1987     8    16    19     6     1    50       44   116    75    34     2   271
 1988     7    19    15    16     4    61       27   117    75   135    12   366
 1989     2     7    13     6     1    29       10    29    92    15     6   152
 1990     1     8    10     6    10    35        5    46    50    23    24   148
 1991     5    11    12     9     2    39       17    69    76    16     3   181
 1992     4     7     2     2     0    15       17    21     6     2     0    46
 1993     1     7     2     7     1    18        1    20     7    16     2    46
 1994     6     6     2     5     4    23       19    21     2    12    15    69
 1995     0     9    11    11     0    31        0    57    72    40     0   169
 1996     2     9     4     1     0    16       13    53    12     3     0    81
 1997     1     6    14     6     4    31        1    24    40    20     7    92
 1998     4     5    10     7     8    34       15    21    28    21    37   122
 1999     1     9    18     4     4    36        1    44    86    13    10   154
 2000     3     6     9     6     9    33        5    24    28    18    49   124
 2001     2    11    15    10     0    38       15    56    45    45     0   161
 2002     2    15    21     3     5    46        8    85   113    10    29   245
 2003     0     6     7    12     2    27        0    20    32    67     6   125
 2004     1     5     7     1     5    19        1    17    20     3    12    53
 2005     0     8    15     0     0    23        0    40    75     0     0   115
 **************************************************************************************
MEANS   2.7   8.7  12.4   8.4   3.5  35.7      9.4  43.1  60.9  39.9  14.0 167.3
