# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8688] WASHINGTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5   7  10  10  11   9   9   8   5  10   6   6  96
1952     4   3  13   7   8   6   4   7   2   0   4   3  61
1953     4   4   9   7   8   6   5   2   5   1   3   8  62
1954     1   3   5   9   8   9   5  15   3   9   3   5  75
1955    11   5   4  10   9  10   4   5   9   9   6   3  85
1956     4   6   2   4   8   7  12  10   3   2   5   4  67
1957     4   3   8  16  12  11   7   7   6   4   7   6  91
1958     5   2   4   9   6   9  16  10   8   3   6   2  80
1959     5   4   7   7  11   4   8   8  10  10   7   7  88
1960     6   5  11  10  12  11   7   5   9   8   5   4  93
1961     4   5  11   9   8   5  14   7   9   9   8   7  96
1962     5   7   7   9  11   9  12   7   6   9   4   3  89
1963     7   4  12   9   9   4   9   7   6   7   7   4  85
1964     3   4   7  10   8   9  10   5  10   3   8   7  84
1965     9   4  12  12  10  10   9  12  14   7   0   6 105
1966     2   1   7   9  10  10   7   1   5   5   3   5  65
1967     7   2   4  13  10  12   9   6   4  14   4   6  91
1968     4   1   5  10   8   8   6   9  14   9   6   8  88
1969     9   4   6   9  11  14  13   5  10  11   1   9 102
1970     2   2   9   9  10  12   8   9  13   7   7   6  94
1971     2   8   5   6   9   8  14   5   6  10   7   8  88
1972     5   7   8  12  13   9   9   8   9   8   7   5 100
1973     4   8  14  11  13   9  10   7  15   8   5  10 114
1974    10   2   8   7  14  11   8  12   6   7   6  10 101
1975     9   6  10  12  12  13   4   0   9   2  10   3  90
1976     4   5   9   9  10   4   7   5   3   5   1   2  64
1977     7   3  10   6   6   9   7  16  14   9   7   8 102
1978     5   5   8  13  10  12   9   9   6   9   6   7  99
1979    12   3  11  12   5   8   9   9   1   8   7   5  90
1980     8   7   7   6   6  10  10   8  10   6   6   5  89
1981     0   6   2   9  10  10   8  10   6   7   9   5  82
1982    10   5  11   7  19   9  12   6   7   6   7   7 106
1983     4   6   8   9  16   8   5   5  11  10  12  12 106
1984     4   4  10  11  11   8   9   4   8  15   3  11  98
1985     4   6   7   5  12   8  10   7   8  13  15   6 101
1986     3   8   6  11  13  10  10   7  17  11   6   4 106
1987     4   1   7   7   5   8   8  14   6   2   8   6  76
1988     6   6   3   5   4   4   6   7   7   5  10   5  68
1989     4   6   2   7   8  10  11   9   9   6   1   5  78
1990     5   7  12  13  13  12  11  10   4   4   7   5 103
1991     5   2  12   9   8   7   7   8   8   9  13   6  94
1992     6   6  10  11   4   5  18   7  12   4  13  10 106
1993     7   8   7  11  16  13  15  17  11   5   8   9 127
1994    12   9   5   9   7  12  13   8   6   4  12   5 102
1995    10   6   6  13  14  10   8  10   8   8   4   5 102
1996    10   5   5   7  18  14   8   6   8   6   7   8 102
1997    12  12   6   6  13   9   5  10   7   8   6  10 104
1998     9   9  12  14   9  16   6  10   5  13   7   3 113
1999     6   4   4   9   9  13   8   8   4   3   2   9  79
2000     6   4   5   7  10  18   9   7   7   6   7  12  98
2001    10  10   5  10  17  10   7   6   8  11   7   7 108
2002     8   8  14  14  13   8   9   9   6  18   9   7 123
2003    10   9  14  17  15  14  12   9   9   8  17  15 149
2004    10   8  18   6  15  18  12  16   5  13  14  12 147
2005    15  10  13   9  12  13   8   0   0   0   0   0  80
STDDEV   3   3   4   3   3   3   3   4   4   4   4   3  18
AVG      6   5   8   9  10  10   9   8   8   7   7   6  94
