# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0157] ALLISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   7  10  10   9  10   5  14   8   7   3   6  93
1952     6   2   6   4  10  11   6   6   2   0   3   7  63
1953     6   4   8  10   7   8   6   2   4   1   5   7  68
1954     2   2   7   7   8   9   9  11   9   7   1   3  75
1955     8   6   2   6  10   3   8   4   7   6   4   4  68
1956     5   1   9   9  14   3   9   9   3   5   5   2  74
1957     6   5   6   5  11  11   9   7   8   4   9   5  86
1958     3   1   3   9   5  10  10   5   4   1   3   3  57
1959     4   5   7   3  16   7   7  12  10   8   5   5  89
1960     6   4  10   7  10   6   6  14   7   5   2   6  83
1961     3   3   7   6   6   5  12   6  11   5   4   5  73
1962     4  14   5   8   9   8  11   6   6   5   2   2  80
1963     4   7   8  11   8   8   9   9   5   6   3   4  82
1964     2   1   7  11   8   7   5   8   8   3   4   7  71
1965     6   6  13  13  11  10  10   9  17   3   2   6 106
1966     5   3   6  12   7  11   5   3   5   4   4   6  71
1967     0   6   5   5   4  16   6   4   5   7   4   6  68
1968     5   0   4   6   9  10  10   9  12   7   4   9  85
1969     6   1   4   9  11  13  12   3   7  10   4  10  90
1970     2   5   5   4  10   8   9   5  11   9   7   3  78
1971     0   6   3   3   9   5   6   2   6  10  10   7  67
1972     2   5   2   0   8   7   7   8  10  10   5   2  66
1973     3   4   8  11  14   7   9   9  15   7   9   7 103
1974     4   3  10   7  11  11  10  10   6   9   8   6  95
1975     7   5   5  11   9  13   6  13   4   2   7   1  83
1976     1   3   6   9   9   5   5   7   0   0   0   0  45
1977     0   0   0  11  12  10  11  15  10   9   7   0  85
1978     0   0   0  14   7  10  11   6   5   4   3   0  60
1979     0   0   6  10  10  11  10  18   3   7   7   2  84
1980     4   2   1   4   9   7   5  14   7   4   1   2  60
1981     2   6   1   9   6  10   9  10   2   9   6   5  75
1982     5   0   2   3  16   7  14   5   7   9   6   3  77
1983     3   6   6   6  16   9   8   4   7   6   8   7  86
1984     2   1   8  11   9  14  10   3   8  14   4   1  85
1985     0   2   1   6   7   6   5   8  10   7  11   5  68
1986     3   3   3  10  12  10  13   5  13   9   5   3  89
1987     4   1   6   5  11   9   7  12  10   3   8   6  82
1988     4   2   2   9   5   8   7   3   5   3   4   1  53
1989     4   4   3   8  10   7   7   7   6   5   5   1  67
1990     4   1   5  11   9  13   8   8   3   4   6   2  74
1991     3   2  11  12  15   7   8   8   9  10  12   5 102
1992     6   4  10  10   7   5  12   7   9   2   9   9  90
1993     7   8   8  12  13  14  13  14   9   4   7   6 115
1994    11   7   2  11  12  10  11   8  13   7   5   4 101
1995     4   1  10  13  10  12   6   6   9  12   3   2  88
1996    12   1   5   6  17  13   8   7   7   4  15   8 103
1997    10   7   5   6   8  10   9   9   9   6   5   5  89
1998     8   6  12  11  12  14   6  13   7  11   5   5 110
1999    12   2   4  13  14  10  12   8   5   3   2   8  93
2000     9   7   8   6  14  12   6   6   7  10   7  15 107
2001    11   8   3  10  18  11   8   8  10   6   6   5 104
2002     5   7   8  11   8   8   7   8   9  15   3   5  94
2003     6   8   9   8  12  10   9   6   7   6  14  10 105
2004     8   7  17   5  15  13  10   9   4   9   8   6 111
2005     8  10   9   8  12  10   6   0   0   0   0   0  63
STDDEV   3   3   3   3   3   3   2   4   3   3   3   3  16
AVG      5   4   6   8  10   9   8   8   7   6   5   5  83
