# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4735] LEMARS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.33   0.21   66(79)    8(10)    9(11)    1( 1)    0( 0)    0       84
  2 3/8-->3/14       1.29   0.24   58(72)   11(14)   10(12)    2( 2)    0( 0)    0       81
  3 3/15-->3/21      3.66   0.28   42(57)   21(28)   10(14)    0( 0)    1( 1)    0       74
  4 3/22-->3/28      2.94   0.35   50(57)   18(20)   14(16)    5( 6)    1( 1)    0       88
  5 3/29-->4/4       1.26   0.30   50(61)   14(17)   14(17)    4( 5)    0( 0)    0       82
  6 4/5-->4/11       2.23   0.30   56(61)   25(27)    6( 7)    4( 4)    1( 1)    0       92
  7 4/12-->4/18      1.32   0.28   68(60)   25(22)   18(16)    2( 2)    0( 0)    0      113
  8 4/19-->4/25      2.56   0.35   61(52)   38(32)   11( 9)    6( 5)    2( 2)    0      118
  9 4/26-->5/2       2.31   0.34   71(60)   19(16)   23(19)    5( 4)    1( 1)    0      119
 10 5/3-->5/9        1.81   0.32   68(59)   21(18)   18(16)    8( 7)    0( 0)    0      115
 11 5/10-->5/16      1.85   0.32   83(65)   20(16)   15(12)   10( 8)    0( 0)    0      128
 12 5/17-->5/23      2.38   0.39   68(56)   20(16)   21(17)   12(10)    1( 1)    0      122
 13 5/24-->5/30      2.09   0.38   74(54)   24(18)   28(20)   10( 7)    1( 1)    0      137
 14 5/31-->6/6       1.97   0.34   63(54)   29(25)   18(15)    7( 6)    0( 0)    0      117
 15 6/7-->6/13       3.02   0.42   73(53)   29(21)   22(16)   10( 7)    4( 3)    0      138
 16 6/14-->6/20      2.95   0.45   67(50)   27(20)   24(18)   13(10)    3( 2)    0      134
 17 6/21-->6/27      5.20   0.52   57(53)   18(17)   21(19)    6( 6)    6( 6)    0      108
 18 6/28-->7/4       2.56   0.32   65(62)   17(16)   16(15)    5( 5)    2( 2)    0      105
 19 7/5-->7/11       3.74   0.50   47(47)   25(25)   14(14)   11(11)    3( 3)    0      100
 20 7/12-->7/18      1.81   0.40   45(50)   20(22)   15(17)   10(11)    0( 0)    0       90
 21 7/19-->7/25      3.01   0.36   53(55)   19(20)   19(20)    5( 5)    1( 1)    0       97
 22 7/26-->8/1       2.48   0.39   50(59)   16(19)    9(11)    8( 9)    2( 2)    0       85
 23 8/2-->8/8        2.66   0.49   58(56)   12(12)   16(16)   13(13)    4( 4)    0      103
 24 8/9-->8/15       2.30   0.41   51(59)   13(15)    9(10)   12(14)    2( 2)    0       87
 25 8/16-->8/22      5.48   0.43   60(57)   18(17)   17(16)    7( 7)    3( 3)    0      105
 26 8/23-->8/29      8.76   0.51   51(54)   13(14)   17(18)   12(13)    2( 2)    0       95
 27 8/30-->9/5       1.79   0.34   51(52)   28(29)    9( 9)   10(10)    0( 0)    0       98
 28 9/6-->9/12       3.12   0.45   43(49)   20(23)   13(15)   10(11)    2( 2)    0       88
 29 9/13-->9/19      4.06   0.45   52(50)   24(23)   14(14)   10(10)    3( 3)    0      103
 30 9/20-->9/26      1.75   0.35   50(54)   22(24)   14(15)    7( 8)    0( 0)    0       93
 31 9/27-->10/3      1.94   0.30   49(66)   10(14)   10(14)    5( 7)    0( 0)    0       74
 32 10/4-->10/10     2.50   0.40   42(53)   16(20)   15(19)    6( 8)    1( 1)    0       80
 33 10/11-->10/17    2.33   0.38   34(59)   10(17)   10(17)    2( 3)    2( 3)    0       58
 34 10/18-->10/24    1.23   0.24   42(72)    8(14)    7(12)    1( 2)    0( 0)    0       58
 35 10/25-->10/31    3.13   0.32   40(63)   10(16)   10(16)    2( 3)    1( 2)    0       63
 36 11/1-->11/7      1.09   0.25   39(70)    8(14)    8(14)    1( 2)    0( 0)    0       56
 37 11/8-->11/14     2.10   0.25   42(76)    6(11)    3( 5)    3( 5)    1( 2)    0       55
 38 11/15-->11/21    1.43   0.28   37(60)   15(24)    8(13)    2( 3)    0( 0)    0       62
 39 11/22-->11/28    1.17   0.20   46(75)    8(13)    6(10)    1( 2)    0( 0)    0       61
 40 11/29-->12/5     2.06   0.19   48(79)    8(13)    3( 5)    1( 2)    1( 2)    0       61
 41 12/6-->12/12     0.60   0.14   40(83)    5(10)    3( 6)    0( 0)    0( 0)    0       48
 42 12/13-->12/19    1.02   0.17   45(76)   11(19)    2( 3)    1( 2)    0( 0)    0       59
 43 12/20-->12/26    0.93   0.15   39(87)    3( 7)    3( 7)    0( 0)    0( 0)    0       45
 44 12/27-->1/2      0.93   0.19   46(75)   10(16)    5( 8)    0( 0)    0( 0)    0       61
 45 1/3-->1/9        0.48   0.11   48(91)    5( 9)    0( 0)    0( 0)    0( 0)    0       53
 46 1/10-->1/16      0.61   0.11   49(88)    6(11)    1( 2)    0( 0)    0( 0)    0       56
 47 1/17-->1/23      1.40   0.18   44(80)    6(11)    4( 7)    1( 2)    0( 0)    0       55
 48 1/24-->1/30      0.50   0.12   52(90)    6(10)    0( 0)    0( 0)    0( 0)    0       58
 49 1/31-->2/6       0.48   0.14   38(83)    8(17)    0( 0)    0( 0)    0( 0)    0       46
