# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6305] OSAGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia6305 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      3      0      0      0    160     79     65     54
 1952     28     13     10      7    337    214    190    169
 1953    103     38     28     20    152     62     48     37
 1954     42     10      6      4    385    238    207    178
 1955     71     27     20     15    417    248    216    187
 1956     28      2      1      0    252    144    120     98
 1957     68     18     12      7    337    209    184    163
 1958     54     12      8      4    303    170    141    117
 1959     36      5      3      1    307    173    147    125
 1960     20      3      1      0    324    193    170    148
 1961     35      7      4      2    153     62     47     34
 1962     13      3      2      1    249    147    128    111
 1963    143     92     81     71    337    189    159    134
 1964     54     16     12      8    299    166    143    122
 1965      2      0      0      0    199    106     88     73
 1966    157     75     59     44    186     85     66     51
 1967    134     77     65     54    307    173    142    114
 1968    225    136    118    100    389    232    197    165
 1969     27      6      2      1    324    178    149    121
 1970     14      0      0      0    338    207    181    157
 1971     39     16     13     11    347    214    186    159
 1972     56     16     11      7    226    111     91     73
 1973    148     56     41     28    252    134    110     89
 1974     51     17     13     10    341    196    170    145
 1975     15      1      0      0    168     74     59     45
 1976    101     51     42     33    360    209    175    143
 1977    188     87     69     54    492    331    297    265
 1978     92     47     39     33    258    132    108     85
 1979     23      0      0      0    193    100     83     69
 1980     50     13      8      5    329    197    173    152
 1981    163     75     61     49    376    219    188    159
 1982     43     15     11      7    244    142    120     99
 1983     71     31     23     17    178     97     83     71
 1984     18      0      0      0    246    124     99     76
 1985    119     43     29     21    445    289    258    229
 1986    142     83     73     65    367    224    195    167
 1987    146     67     56     46    459    305    274    245
 1988    129     51     36     25    312    187    160    134
 1989    108     61     52     43    325    186    160    137
 1990    175     84     65     46    360    218    190    165
 1991    136     60     47     38    372    219    189    162
 1992    126     49     36     24    238    129    107     87
 1993     24      5      3      1    230    112     91     74
 1994    138     68     57     47    360    236    208    182
 1995    132     63     50     39    217    117     94     74
 1996     75     26     20     17    265    158    134    115
 1997     64     26     19     17    239    141    119     98
 1998     89     50     42     35    296    168    142    118
 1999     96     37     27     20    255    135    111     90
 2000    204    113     94     78    278    174    154    135
 2001     11      0      0      0    339    202    175    150
 2002     39     12      9      6    283    169    144    122
 2003    121     67     57     47    311    199    177    157
 2004    123     52     41     32    342    210    183    158
 2005     80     49     44     39    388    229    196    165
     ****************************  ****************************
 MEAN   83.5   36.9   29.5   23.3  299.0  173.9  148.9  126.4
