# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4228] JEFFERSON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4228
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     6     5     0    11        0     0    23    12     0    35
 1952     2    16    13     2     4    37        5    72    53     4     7   141
 1953     3    11    17    13     5    49       10    47    71    81    40   249
 1954     0    11    25     9     5    50        0    51   166    19    26   262
 1955     1     3    25    21    10    60        2    13   165   148    72   400
 1956     4    20    10    11     6    51        7   100    50    52    20   229
 1957     0     4    21    13     1    39        0    16   121    59     1   197
 1958     1     4     2    16     2    25        2    17     5    61     3    88
 1959     3    15    14    22     6    60        7    49    50   148    26   280
 1960     0     3    15    10     7    35        0     6    59    44    47   156
 1961     1     8    15    13     4    41        2    30    71    42    19   164
 1962     8     7    12    14     2    43       17    12    38    46     6   119
 1963     2    16    19     7     0    44        8    92    82    27     0   209
 1964     4     7    21     6     3    41       11    17    93    29     8   158
 1965     4     0    12    16     0    32        5     0    52    95     0   152
 1966     5     8    22     9     0    44       11    26   160    28     0   225
 1967     5     0     6     3     0    14       34     0    15     5     0    54
 1968     2    13     9    11     0    35        7    43    34    67     0   151
 1969     2     2     8     7     0    19        2     8    37    12     0    59
 1970     2     8    16     6     6    38        3    42    87    17    20   169
 1971     0    12     7    11     9    39        0    72    24    53    39   188
 1972     1     9    10    13     4    37        1    36    44    90    20   191
 1973     1    13    17    14     0    45        1    72    69    56     0   198
 1974     0     8    26     7     2    43        0    48   245    23     4   320
 1975     6     9    25    21     4    65       22    28   163   141    22   376
 1976     2     8    25    21    12    68        5    27   140   104    38   314
 1977     8    21    30     9     1    69       24   126   269    26     2   447
 1978     3    12    16    12    13    56        9    49    75    54    66   253
 1979     2    12    13    15     5    47        5    29    37    61    13   145
 1980     8     9    27    19    12    75       18    54   250   106    44   472
 1981     3    14    17     7     6    47        3    67    93    15    23   201
 1982     1     3    21    10     2    37        1     7    82    47     5   142
 1983     1     9    23    28    11    72        2    43   145   241    56   487
 1984     0     7    19    21     7    54        0    24    87   134    38   283
 1985     2     9    22     7    10    50        2    46   102    43    58   251
 1986     1    10    19     5     2    37        2    40   101    12     5   160
 1987    12    21    22    12     4    71       36   118   155    68     7   384
 1988    10    26    26    23     7    92       36   204   198   243    15   696
 1989     4     9    20     9     1    43       12    30   132    32     3   209
 1990     1    11    13    10    14    49        1    49    61    53    53   217
 1991     5    15    16    14     7    57       15    67    92    39    14   227
 1992     3     8     2     4     0    17        5    15     9     8     0    37
 1993     0     5     4     6     2    17        0     8    10    18     4    40
 1994     3     8    10     8     6    35        6    28    34    27    16   111
 1995     0    10    11    20     1    42        0    42    95   107     3   247
 1996     3    10     5     3     0    21       10    40    21     7     0    78
 1997     1    10    15     9     5    40        2    31    86    40    19   178
 1998     3     6    11    13    13    46       13    28    42    41    47   171
 1999     0     7    19     6     4    36        0    22   125    18    13   178
 2000     3     5     7    16    11    42       13    17    27    51    93   201
 2001     3    10    18    15     2    48       10    34    78    98     2   222
 2002     1    14    23     5     9    52        5    61   124    22    38   250
 2003     1     5    11    13     4    34        2    14    46   100    10   172
 2004     1     4     7     3     4    19        2    12    20     6     8    48
 2005     0    10    17     0     0    27        0    49   100     0     0   149
 **************************************************************************************
MEANS   2.6   9.4  15.7  11.3   4.6  43.6      7.2  41.4  87.5  57.8  19.5 213.5
