# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8688] WASHINGTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    1    0    0    0
 Sep 20    3    0    0    0
 Sep 22    6    0    0    0
 Sep 24    8    0    0    0
 Sep 26   12    0    0    0
 Sep 28   18    2    0    0
 Sep 30   25    4    1    0
 Oct 02   28    6    2    0
 Oct 04   33    8    3    0
 Oct 06   40    9    4    1
 Oct 08   48   16    7    1
 Oct 10   53   21   11    1
 Oct 12   58   27   15    3
 Oct 14   64   29   17    4
 Oct 16   66   33   19    4
 Oct 18   73   41   25    4
 Oct 20   78   44   31    8
 Oct 22   82   51   36   10
 Oct 24   88   60   41   12
 Oct 26   89   66   45   16
 Oct 28   92   74   52   24
 Oct 30   94   79   58   32
 Nov 01   94   83   65   38
 Nov 03   96   85   73   47
 Nov 05   99   90   81   56
 Nov 07   99   92   86   60
 Nov 09  100   95   91   64
 Nov 11  100   97   92   72
 Nov 13  100   98   96   79
 Nov 15  100   99   97   83
 Nov 17  100   99   98   84
 Nov 19  100   99   99   90
 Nov 21  100   99   99   92
 Nov 23  100   99   99   94
 Nov 25  100  100   99   98
 Nov 27  100  100   99   98
 Nov 29  100  100  100   99
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
