# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3584] HAMPTON-2-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3584 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      8      0      0      0    192     99     82     68
 1952     44     23     20     17    345    225    202    181
 1953    119     46     34     25    174     77     61     47
 1954     49     13      8      5    406    250    218    189
 1955     95     42     32     24    463    291    257    226
 1956     53     17     13      9    269    160    135    113
 1957     84     31     22     15    357    223    198    177
 1958     57     15      9      6    303    168    140    118
 1959     56     20     15     11    324    188    163    141
 1960     11      0      0      0    347    210    187    165
 1961     53     19     13     10    175     86     67     52
 1962     20      8      6      5    287    173    152    133
 1963    161    102     89     76    372    221    188    160
 1964     57     24     18     13    311    176    150    128
 1965      2      0      0      0    215    117     96     80
 1966    178     90     72     57    177     81     63     46
 1967    153     92     79     67    332    188    155    125
 1968    251    155    135    119    385    230    196    165
 1969     12      1      0      0    327    189    160    133
 1970     21      3      2      1    352    223    196    170
 1971     45     22     19     16    347    214    187    162
 1972     83     31     24     19    236    118     96     76
 1973    147     57     42     29    268    146    124    103
 1974     92     33     25     19    353    212    184    156
 1975     18      3      1      0    183     90     75     61
 1976    134     72     61     52    417    265    230    195
 1977    206    104     87     71    513    354    319    286
 1978    103     51     42     34    261    142    117     93
 1979     35      7      4      2    213    109     89     73
 1980     64     24     18     12    354    220    195    171
 1981    195     96     77     62    427    257    223    193
 1982     65     24     18     12    261    152    129    108
 1983     89     41     35     29    191    104     90     77
 1984     16      0      0      0    258    134    108     85
 1985    136     57     42     31    412    271    243    215
 1986    138     76     67     58    364    217    188    160
 1987    144     76     64     52    411    277    250    225
 1988    141     68     54     42    281    167    142    118
 1989     91     50     43     36    301    174    150    128
 1990    162     80     62     48    320    197    171    147
 1991    117     53     42     32    330    198    172    146
 1992    106     44     32     22    203    108     92     77
 1993     24      6      5      4    207    100     83     69
 1994    121     58     47     38    316    206    181    156
 1995    124     56     44     35    198    104     86     70
 1996     71     24     18     13    241    143    124    108
 1997     95     40     29     23    247    150    128    107
 1998     96     53     45     37    300    168    142    118
 1999    113     48     38     29    266    146    121     99
 2000    224    129    109     91    299    190    168    148
 2001     17      2      1      0    365    223    194    168
 2002     51     16     12      9    297    178    154    133
 2003    141     81     70     59    347    235    210    186
 2004    158     73     57     44    363    229    199    171
 2005    109     57     50     44    406    253    221    190
     ****************************  ****************************
 MEAN   93.7   43.9   35.5   28.4  306.7  182.3  157.3  134.5
 STDV   59.6   35.5   30.4   26.0   79.5   60.6   56.1   51.6

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    681    458    407    359    707    480    425    373
 1952    533    334    291    253    934    697    639    582
 1953    601    391    350    314    906    669    612    556
 1954    484    316    276    241    928    695    639    584
 1955    700    487    440    397    784    554    504    455
 1956    642    440    395    352    947    712    655    599
 1957    550    348    305    267    813    577    520    463
 1958    646    446    401    358    723    490    438    388
 1959    677    458    409    362    882    645    588    535
 1960    599    387    339    296    782    548    496    448
 1961    531    347    308    270    837    609    557    508
 1962    747    512    459    408    796    562    507    455
 1963    592    385    342    302    923    687    631    576
 1964    752    524    474    427    864    630    574    519
 1965    721    504    455    407    825    589    533    479
 1966    513    344    310    278    859    625    568    513
 1967    502    321    282    249    846    610    552    497
 1968    492    311    273    237    893    658    602    548
 1969    615    413    368    326    693    474    423    374
 1970    675    469    423    380    875    640    583    530
 1971    532    344    309    274   1015    775    716    657
 1972    623    422    377    332    816    590    537    485
 1973    510    313    272    235    918    678    618    558
 1974    509    320    279    244    799    565    509    457
 1975    730    502    450    403    877    638    580    524
 1976    579    376    333    294    901    663    606    551
 1977    880    639    580    522    924    686    627    570
 1978    645    433    386    342    894    658    600    543
 1979    611    408    367    330    854    616    558    502
 1980    682    469    419    374    879    639    580    525
 1981    568    368    326    285    894    654    594    534
 1982    696    465    410    357    721    487    436    388
 1983    490    294    257    224    880    641    583    528
 1984    533    334    294    260    884    645    587    529
 1985    719    489    439    395    754    521    468    417
 1986    612    396    349    305    898    659    601    543
 1987    755    536    488    443    946    709    650    592
 1988    753    528    482    439    957    719    661    604
 1989    589    392    350    314    809    578    525    476
 1990    486    292    255    221    876    642    586    530
 1991    714    495    445    399    959    719    659    599
 1992    604    407    369    333    788    559    505    456
 1993    544    334    292    252    772    542    487    432
 1994    609    414    373    335    891    652    594    538
 1995    498    296    259    225    869    633    577    522
 1996    460    270    230    193    816    580    523    468
 1997    408    244    214    184    882    642    586    533
 1998    730    496    445    400    761    533    479    428
 1999    611    390    341    297    817    584    529    475
 2000    663    459    411    366    787    552    499    447
 2001    607    379    329    287    814    583    529    475
 2002    498    338    301    266    901    661    605    550
 2003    522    330    295    261    802    563    506    451
 2004    587    380    335    294    798    562    507    455
 2005    524    323    280    245    934    694    634    575
     ****************************  ****************************
 MEAN  606.1  401.3  357.2  316.6  852.8  617.7  561.6  507.3
 STDV   96.0   81.3   76.5   71.7   70.3   67.4   65.5   63.2

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    943    695    633    572    865    619    560    503
 1952    999    752    692    634    873    637    583    531
 1953    975    727    667    608    913    669    613    560
 1954   1045    797    735    673    938    692    632    572
 1955   1109    861    799    737   1034    786    727    670
 1956    907    659    597    536    936    695    637    580
 1957   1082    834    772    710    947    701    640    583
 1958    866    618    557    497    963    722    663    605
 1959    933    685    624    566   1061    813    751    689
 1960    951    705    645    589    960    712    651    590
 1961    947    699    637    576    946    699    640    581
 1962    897    654    595    537    917    674    615    559
 1963    995    747    685    623    911    672    616    561
 1964   1046    798    736    675    847    610    553    499
 1965    973    725    664    605    869    625    566    510
 1966   1042    794    732    670    860    614    556    501
 1967    915    672    614    558    837    597    542    490
 1968    951    705    645    587    914    669    611    554
 1969   1001    753    692    631    960    712    651    593
 1970    984    738    679    623    935    689    628    570
 1971    892    646    588    530    902    660    601    545
 1972    926    681    623    565    938    694    635    576
 1973   1004    756    694    632    992    744    682    622
 1974   1077    829    767    706    864    618    560    504
 1975   1038    791    730    670   1000    752    690    629
 1976   1030    782    720    661    935    688    629    571
