# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6151] OAKLAND-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia6151 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     71     32     26     21    254    135    114     97
 1952     92     46     39     32    360    230    204    178
 1953    180     88     71     56    277    153    128    104
 1954    110     38     27     19    501    334    298    264
 1955    159     89     74     62    549    375    339    306
 1956    183     95     79     65    367    241    213    188
 1957    149     68     57     48    385    241    212    187
 1958     78     29     19     12    365    214    183    154
 1959    157     76     63     50    373    237    209    183
 1960     21      6      3      2    443    286    252    221
 1961    134     52     38     29    317    189    163    142
 1962     93     46     38     32    403    257    225    195
 1963    221    131    118    105    464    302    267    235
 1964    142     64     52     41    415    249    219    191
 1965     20      5      4      3    388    242    212    186
 1966    267    157    135    113    288    166    140    116
 1967    274    179    159    139    457    290    255    223
 1968    328    212    187    164    429    277    244    212
 1969     84     39     32     25    404    256    225    194
 1970     84     29     21     15    434    290    262    234
 1971    139     78     65     54    450    295    262    232
 1972    220    122    104     87    397    245    213    186
 1973    187     71     51     34    377    233    203    173
 1974    237    135    114     96    473    320    285    253
 1975     90     45     37     31    334    196    167    142
 1976    194    111     96     81    504    330    293    257
 1977    264    148    122    100    559    381    341    303
 1978    131     79     68     58    354    214    185    158
 1979    126     55     44     35    317    195    170    147
 1980    117     54     43     32    411    273    243    215
 1981    253    141    120    100    566    380    341    304
 1982    140     57     44     33    353    225    201    177
 1983    144     78     66     54    238    132    113     98
 1984     64     10      5      3    284    155    131    108
 1985    234    127    104     84    487    317    281    250
 1986    273    167    145    125    439    274    238    204
 1987    229    128    108     90    479    314    279    248
 1988    239    149    131    113    398    256    226    197
 1989    160    104     92     80    458    314    281    248
 1990    178     91     76     64    360    217    189    163
 1991    222    133    112     91    398    243    212    182
 1992    242    131    111     93    285    170    149    129
 1993     92     42     34     29    243    144    123    104
 1994    215    128    111     95    397    266    239    214
 1995    201    119    102     86    267    157    134    112
 1996    142     71     57     44    327    211    186    163
 1997    195    107     89     73    274    171    148    125
 1998    105     54     47     41    343    205    176    148
 1999    170     94     77     60    334    185    157    134
 2000    258    143    119     99    360    228    201    177
 2001     67     25     18     12    455    298    264    233
 2002    111     52     41     32    371    234    208    183
 2003    204    121    107     94    421    278    249    223
 2004    219    119     97     78    423    271    240    212
 2005    191    103     83     65    471    307    268    231
     ****************************  ****************************
 MEAN  165.5   88.6   74.2   61.4  390.5  247.2  217.5  189.9
 STDV   70.0   47.4   42.1   36.9   79.7   62.0   57.5   53.2

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    669    456    405    357    752    520    464    411
 1952    641    433    386    342   1025    788    731    674
 1953    636    441    397    355   1012    774    716    658
 1954    551    370    330    293    974    737    678    622
 1955    729    509    463    421    791    568    517    466
 1956    747    528    479    432   1000    765    707    649
 1957    624    409    363    321    853    618    561    505
 1958    727    517    469    423    829    594    539    485
 1959    715    490    438    388    943    704    646    589
 1960    659    453    406    363    851    614    558    504
 1961    611    407    361    316    844    618    566    516
 1962    895    655    600    545    877    637    580    524
 1963    695    476    426    380    998    758    698    640
