# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4389] KEOSAUQUA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4389
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     2    15    12     2    32        1     8    57    55     3   124
 1952     5    20    20    11     8    64       16   123   125    37    31   332
 1953     5    17    21    21    12    76       27    92   167   184   105   575
 1954     0    20    26    14    10    70        0   113   206    86    61   466
 1955     2     5    28    28    11    74        4    14   216   232    72   538
 1956     8    20    18    16    11    73       42   138   140    74    46   440
 1957     0     7    24    17     2    50        0    26   168   109     7   310
 1958     1     5     2    19     3    30        1    17     6    80     8   112
 1959     4    12    17    22     8    63        8    38    65   122    31   264
 1960     0     5    11    17     9    42        0    15    48    72    96   231
 1961     0     9    14    19     8    50        0    43    55    75    34   207
 1962     7     7    14    15     2    45       18    22    42    75    11   168
 1963     3    18    21    11     5    58        9   119    93    50    16   287
 1964     6     9    20    14     6    55       17    38   122    88    26   291
 1965     3     5    12    15     1    36        4    14    54    88     2   162
 1966     3     9    22    12     3    49        5    26   173    48    11   263
 1967     6     4    14     6     0    30       24    11    69    14     0   118
 1968     2    18    18    15     3    56        5    74    87    90     5   261
 1969     2     8    18    16     0    44        5    25    83    54     0   167
 1970     3     7    19    15     6    50        5    32   161    61    15   274
 1971     1    21    14    15    13    64        2   118    58   102    70   350
 1972     7     8    19    14     5    53       21    38    74   102    28   263
 1973     0     8    18    17     2    45        0    29    69    58     5   161
 1974     1     6    20     7     0    34        1    19   144    22     0   186
 1975     5    13    23    18     3    62       12    47   141   120    16   336
 1976     0     9    21    12     4    46        0    19   131    52    15   217
 1977     4    11    27    13     2    57        9    49   227    53     2   340
 1978     3    11    13    12    13    52       13    57    61    46    57   234
 1979     5    11    16    16     9    57       13    32    43    95    23   206
 1980     4     8    26    21     7    66       12    39   238   138    30   457
 1981     1     8    10     7     5    31        1    26    55    25    10   117
 1982     1     2    23     9     2    37        1     6    79    41     4   131
 1983     0    16    28    28    12    84        0    65   272   325    64   726
 1984     1    12    17    19     7    56        2    35    92   110    40   279
 1985     3     7    17     6    11    44       11    33    71    22    57   194
 1986     1    16    23     4     4    48        1    64   121    13     7   206
 1987    14    23    24    18     2    81       26   122   220   149     5   522
 1988     8    22    27    25     8    90       32   172   292   289    37   822
 1989     4    10    26    19     2    61       16    37   155    65     2   275
 1990     0    10    16    12    13    51        0    39    98    86    69   292
 1991     7    17    17    15    11    67       23    84   127   119    57   410
 1992     3    10    10     6     0    29        4    32    34    21     0    91
 1993     0     7    11    16     1    35        0    21    39    66     4   130
 1994     1    14    13    15     7    50        1    71    61    80    26   239
 1995     0    10    17    24     2    53        0    34   106   141     2   283
 1996     3    13    13    10     2    41       14    56    55    37     2   164
 1997     1     9    17    11     5    43        2    36   109    45    18   210
 1998     8     7    14    16    10    55       19    38    55    83    54   249
 1999     0    11    26    18    11    66        0    50   282    77    64   473
 2000     5    10    17    22    13    67       13    34    53   128   108   336
 2001     3    12    24    18     5    62        3    41   154   116    14   328
 2002     2    15    25    17    12    71        7    67   179    94    69   416
 2003     0     8    19    20     0    47        0    24   101   160     0   285
 2004     4     6    11     7     6    34        6    16    41    31     8   102
 2005     3    18    23     0     0    44        8    95   198     0     0   301
 **************************************************************************************
MEANS   3.0  11.0  18.5  14.9   5.8  53.3      8.4  49.7 115.9  87.4  28.1 289.5
