# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2864] FAYETTE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia2864 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      9      0      0      0    207    102     83     68
 1952     49     21     16     12    338    223    201    180
 1953    112     44     32     23    177     75     57     42
 1954     62     19     14      9    393    232    199    172
 1955     88     37     26     18    430    267    234    203
 1956     47     12      7      4    269    157    131    107
 1957     85     27     19     13    359    218    190    167
 1958     64     16      9      5    314    180    152    129
 1959     46     13      8      5    305    173    147    122
 1960     15      0      0      0    349    223    198    175
 1961     53     19     15     11    192     90     72     56
 1962     42     23     20     17    271    158    135    114
 1963    137     85     76     67    365    218    184    155
 1964     75     25     18     13    298    175    151    128
 1965      3      0      0      0    238    129    111     94
 1966    170     79     60     44    209     99     78     60
 1967    142     76     63     50    332    189    158    127
 1968    241    137    116     96    374    229    197    168
 1969     51     23     18     13    351    197    164    133
 1970     32      2      1      0    349    215    187    162
 1971     36     15     13     11    346    215    189    163
 1972     56     20     16     12    249    133    111     90
 1973    171     70     54     40    257    144    121     98
 1974     77     26     20     15    376    227    197    167
 1975     16      1      0      0    196    106     89     73
 1976    141     69     59     50    391    243    208    174
 1977    200    103     84     67    504    344    308    277
 1978     87     44     36     29    286    164    136    109
 1979     44     10      6      3    228    121    102     85
 1980     58     15      9      5    347    218    189    163
 1981    178     86     71     57    414    258    225    195
 1982     72     21     17     13    260    155    132    110
 1983    104     51     41     34    212    114     98     86
 1984     35      4      1      0    284    148    118     93
 1985    149     61     46     33    447    302    270    241
 1986    168     96     86     76    427    270    236    202
 1987    151     73     60     50    452    305    276    248
 1988    134     55     41     29    329    203    175    149
 1989    110     62     53     45    319    183    155    129
 1990    185     87     69     55    369    230    200    173
 1991    138     66     55     44    316    191    165    140
 1992     96     38     28     20    198     99     82     67
 1993     25      6      4      3    200     95     76     62
 1994     85     39     32     26    307    195    169    146
 1995    143     76     64     52    189     95     75     57
 1996     62     18     12      8    227    130    112     95
 1997     85     36     28     23    246    150    129    108
 1998    104     58     50     42    284    159    134    112
 1999    100     42     32     25    281    153    127    105
 2000    203    116    100     85    286    178    157    137
 2001     23      1      0      0    360    223    195    171
 2002     58     18     12      9    294    176    153    133
 2003    123     70     59     48    319    206    184    163
 2004    144     67     53     43    356    215    185    157
 2005     93     50     45     40    401    242    210    179
     ****************************  ****************************
 MEAN   94.1   42.3   34.1   27.1  310.5  184.3  158.5  134.9
 STDV   56.4   33.2   28.5   24.1   77.2   59.5   55.0   50.7

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    678    463    414    366    709    485    435    387
 1952    539    342    300    262    913    677    619    564
 1953    578    376    336    300    883    646    590    534
 1954    462    293    256    223    906    674    620    567
 1955    649    449    405    363    718    491    444    398
 1956    608    406    363    322    912    682    626    571
 1957    530    331    288    249    793    560    503    449
 1958    610    420    379    341    690    459    408    360
 1959    661    447    399    352    873    638    580    522
 1960    569    368    324    284    741    513    461    411
 1961    514    336    297    260    817    591    541    494
 1962    720    497    445    395    805    569    514    460
 1963    563    365    323    286    893    658    602    550
 1964    727    497    449    404    843    614    561    509
 1965    670    460    413    367    793    559    505    455
 1966    476    313    281    250    831    601    547    495
 1967    498    316    277    241    848    615    560    507
 1968    492    308    272    237    845    608    556    505
 1969    631    418    373    333    672    451    401    353
 1970    679    467    418    370    842    610    556    504
 1971    499    328    290    253    956    716    657    599
 1972    654    442    394    349    789    578    527    477
 1973    523    329    284    242    882    642    585    529
 1974    515    323    283    247    734    515    466    420
 1975    694    477    428    382    859    628    573    519
 1976    560    373    333    297    849    619    566    515
 1977    826    598    545    494    852    619    564    511
 1978    635    433    387    342    852    624    573    523
 1979    600    415    374    334    848    614    560    507
 1980    645    453    411    372    825    598    545    495
 1981    547    366    326    289    814    576    521    471
 1982    714    488    434    381    675    468    423    379
 1983    477    287    249    216    861    635    582    529
 1984    524    345    308    274    885    649    592    538
 1985    698    488    443    402    762    540    490    443
 1986    645    426    377    332    879    642    585    529
 1987    753    542    494    447    923    687    629    572
 1988    728    521    477    436    918    687    634    583
 1989    594    410    369    330    805    577    526    476
 1990    513    321    281    243    853    622    566    513
 1991    668    457    411    367    895    656    598    541
 1992    553    376    338    302    707    487    439    396
 1993    522    327    284    243    712    491    438    389
 1994    528    362    324    289    830    605    551    498
 1995    456    285    251    219    846    609    553    500
 1996    444    261    225    192    775    541    485    429
 1997    393    236    204    174    818    583    530    478
 1998    682    457    411    368    733    512    460    409
 1999    580    377    333    291    801    571    517    464
 2000    616    419    373    328    743    514    460    409
 2001    575    368    326    284    744    516    464    418
 2002    489    323    286    250    856    620    564    512
 2003    482    312    277    245    722    495    445    399
 2004    567    365    322    283    736    507    457    411
 2005    501    308    267    232    942    702    642    583
     ****************************  ****************************
 MEAN  586.4  390.4  347.8  307.9  818.3  588.1  534.5  482.9
 STDV   92.1   77.2   72.9   68.5   72.7   68.1   65.8   63.0

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    917    671    611    553    844    599    542    486
 1952   1007    761    702    644    855    616    563    510
 1953    968    722    664    607    895    653    597    543
 1954    997    749    687    625    884    640    581    523
 1955   1100    852    790    728   1002    755    698    642
 1956    882    634    573    514    914    677    620    563
 1957   1038    790    728    666    918    675    615    558
 1958    855    608    547    487    900    657    599    542
 1959    945    697    636    577   1046    798    736    674
 1960    908    660    603    546    967    720    659    598
 1961    906    658    598    539    947    699    640    582
 1962    861    616    557    499    901    656    599    543
 1963    981    733    672    611    874    636    580    524
 1964   1040    792    730    668    858    622    567    515
 1965    938    691    631    575    872    630    572    515
 1966   1031    783    721    660    854    613    558    506
 1967    905    664    606    552    811    580    526    474
 1968    972    725    664    604    925    678    620    564
 1969   1011    763    701    640    975    727    667    609
 1970    971    731    674    619    912    666    607    549
 1971    862    624    566    509    841    607    555    506
 1972    917    675    617    559    940    697    638    580
 1973    997    749    688    627    960    714    654    596
 1974   1035    788    727    667    844    608    554    501
 1975    999    754    695    637   1002    754    693    633
 1976    992    748    689    633    868    631    577    526
 1977   1038    790    728    667    851    612    557    504
 1978    967    719    659    599    948    704    645    588
 1979    953    708    648    588    902    661    605    550
 1980   1023    775    713    651    991    743    681    619
 1981    979    732    672    613    905    665    608    551
 1982    997    749    687    626    894    653    596    540
 1983   1055    808    747    686   1050    802    740    680
 1984    926    682    624    568    973    732    675    618
 1985    956    709    650    592    847    605    548    492
 1986   1048    800    738    676    815    578    520    467
 1987   1075    827    766    705    913    669    611    553
 1988   1016    769    709    649   1030    790    731    672
 1989   1019    771    709    648    936    691    632    575
 1990    972    724    662    600    959    712    651    592
 1991    919    673    614    557    878    632    572    512
 1992    772    527    469    414    698    480    434    391
 1993    886    638    576    515    892    645    587    530
 1994    859    611    550    493    779    544    492    443
 1995    930    686    628    570   1050    802    740    678
 1996    844    598    538    479    832    584    526    474
 1997    897    656    600    546    808    560    502    447
 1998    921    673    612    551    925    677    615    555
 1999   1036    788    726    666    835    587    527    467
 2000    914    667    607    548    900    652    590    529
 2001    960    713    653    594    905    657    597    541
 2002   1027    779    717    656    862    617    557    501
 2003    920    672    611    552    942    694    632    570
 2004    878    632    575    519    748    524    473    424
 2005    989    741    679    617      0      0      0      0
     ****************************  ****************************
 MEAN  960.2  713.7  653.5  594.4  885.0  646.9  590.2  535.0
