# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8806] WEBSTER-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8806
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    12     3     0    15        0     0    32    13     0    45
 1952     3    16    14     6    11    50       11   101    67    16    45   240
 1953     3    12    11    12     7    45       13    63    38    87    34   235
 1954     1    12    22     5     7    47        1    51   136    16    33   237
 1955     5     2    24    22     8    61        9     9   167   177    67   429
 1956     6    19    11    10     6    52       15   137    45    70    21   288
 1957     0     6    17    11     1    35        0    11   120    39     1   171
 1958     1     5     1    16     3    26        2    17     2    66     7    94
 1959     3    10     9    20     4    46        5    44    31   104    16   200
 1960     0     1     8     7     7    23        0     2    29    28    42   101
 1961     0     7     4     7     4    22        0    32    15    16     8    71
 1962     9     4     5     5     1    24       18     7    11    13     4    53
 1963     1    12     6     4     3    26        4    49    22    15     4    94
 1964     5    10    19     6     2    42       14    28    88    22     5   157
 1965     2     0     6     8     0    16        2     0    34    51     0    87
 1966     2     5    15     5     0    27        4    14    76    12     0   106
 1967     3     1     6     0     0    10       30     2    16     0     0    48
 1968     1    10     7    10     0    28        1    41    19    51     0   112
 1969     3     2     6     5     0    16        7     8    24     9     0    48
 1970     3     6    14     6     4    33        8    29    55    15    12   119
 1971     0    12     6     8     6    32        0    66    15    35    27   143
 1972     4     6     7    11     3    31       10    21    22    49     8   110
 1973     0     9     9     9     0    27        0    38    29    23     0    90
 1974     0     7    18     2     1    28        0    22   130     6     3   161
 1975     4     5    18    15     3    45       13    13    78    68     7   179
 1976     1     6    15    12     6    40        1     8    78    57    22   166
 1977     5    11    19     6     1    42       12    80   186    20     2   300
 1978     4     7    10     8     8    37        6    16    29    26    29   106
 1979     2     7     7     8     2    26        3    13    12    34     4    66
 1980     5     7    22    13     4    51        8    37   140    37    17   239
 1981     0     8    13     2     3    26        0    24    53     4     7    88
 1982     0     2    11     5     0    18        0     2    48    18     0    68
 1983     0     8    23    24     5    60        0    32   103   158    24   317
 1984     0     1    11    16     4    32        0     7    38    80    15   140
 1985     1     8    11     4     8    32        4    39    51    26    26   146
 1986     1     8    15     2     0    26        2    34    53     6     0    95
 1987     5    12    15     5     0    37       12    74    79    33     0   198
 1988     6    18    20    20     3    67       17   123   145   196     9   490
 1989     1     4    12     4     0    21        1    16    71    16     0   104
 1990     0     6     6     7     9    28        0    23    24    21    28    96
 1991     5    11    12     8     1    37       10    58    65    13     1   147
 1992     2     5     1     2     0    10        4    10     3     3     0    20
 1993     0     3     1     3     1     8        0     4     3     6     1    14
 1994     1     7     3     3     3    17        3    24     4    12     9    52
 1995     0     7    12    15     1    35        0    29    73    52     1   155
 1996     3    10     5     2     0    20        6    33    16     7     0    62
 1997     1     8    13     6     3    31        2    26    52    21    11   112
 1998     3     3     9     5     7    27       12    15    25    16    32   100
 1999     0     6    19     4     4    33        0    10    84    11    10   115
 2000     3     2     5     8    11    29        4    12    14    18    71   119
 2001     3    10    14     8     0    35        8    37    48    35     0   128
 2002     1    11    18     3     5    38        6    42    79    10    23   160
 2003     0     3     6    11     2    22        0    12    22    81     5   120
 2004     0     2     3     0     1     6        0     4     6     0     1    11
 2005     0     9    14     0     0    23        0    33    68     0     0   101
 **************************************************************************************
MEANS   2.0   7.1  11.3   7.8   3.1  31.3      5.2  30.6  54.1  36.7  12.6 139.1
