# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7726] SIOUX-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.28   0.21   61(76)   11(14)    4( 5)    4( 5)    0( 0)    0       80
  2 3/8-->3/14       1.46   0.22   63(72)   15(17)    7( 8)    3( 3)    0( 0)    0       88
  3 3/15-->3/21      1.14   0.24   54(70)   12(16)    9(12)    2( 3)    0( 0)    0       77
  4 3/22-->3/28      1.93   0.37   44(56)   17(22)   10(13)    8(10)    0( 0)    0       79
  5 3/29-->4/4       1.41   0.30   58(65)   14(16)   10(11)    7( 8)    0( 0)    0       89
  6 4/5-->4/11       1.53   0.30   62(65)   16(17)   14(15)    3( 3)    0( 0)    0       95
  7 4/12-->4/18      1.78   0.32   65(58)   25(22)   15(13)    8( 7)    0( 0)    0      113
  8 4/19-->4/25      3.20   0.38   68(59)   16(14)   24(21)    5( 4)    2( 2)    0      115
  9 4/26-->5/2       1.56   0.38   51(48)   28(26)   20(19)    7( 7)    0( 0)    0      106
 10 5/3-->5/9        1.90   0.36   71(57)   26(21)   16(13)   12(10)    0( 0)    0      125
 11 5/10-->5/16      2.11   0.37   68(57)   25(21)   14(12)   12(10)    1( 1)    0      120
 12 5/17-->5/23      2.55   0.39   67(54)   21(17)   26(21)    8( 6)    2( 2)    0      124
 13 5/24-->5/30      2.00   0.34   79(58)   27(20)   20(15)   10( 7)    0( 0)    0      136
 14 5/31-->6/6       2.20   0.38   59(50)   29(25)   19(16)    9( 8)    1( 1)    0      117
 15 6/7-->6/13       3.75   0.44   65(50)   32(25)   19(15)    9( 7)    5( 4)    0      130
 16 6/14-->6/20      3.68   0.51   66(50)   24(18)   23(17)   16(12)    4( 3)    0      133
 17 6/21-->6/27      3.78   0.62   41(39)   21(20)   25(24)   14(13)    5( 5)    0      106
 18 6/28-->7/4       3.15   0.46   51(50)   19(18)   18(17)   12(12)    3( 3)    0      103
 19 7/5-->7/11       3.93   0.46   56(49)   21(18)   24(21)   12(10)    2( 2)    0      115
 20 7/12-->7/18      2.29   0.44   42(47)   17(19)   17(19)   12(13)    1( 1)    0       89
 21 7/19-->7/25      1.88   0.35   63(54)   26(22)   18(16)    9( 8)    0( 0)    0      116
 22 7/26-->8/1       2.62   0.52   38(46)   12(14)   20(24)    9(11)    4( 5)    0       83
 23 8/2-->8/8        4.82   0.60   44(48)   17(18)   15(16)   11(12)    5( 5)    0       92
 24 8/9-->8/15       2.25   0.54   36(50)    9(13)   13(18)   11(15)    3( 4)    0       72
 25 8/16-->8/22      6.33   0.59   44(47)   13(14)   22(24)    9(10)    5( 5)    0       93
 26 8/23-->8/29      5.97   0.50   43(46)   21(23)   18(19)    8( 9)    3( 3)    0       93
 27 8/30-->9/5       3.80   0.50   40(48)   16(19)   17(20)    9(11)    2( 2)    0       84
 28 9/6-->9/12       3.17   0.51   43(54)    9(11)   16(20)    8(10)    4( 5)    0       80
 29 9/13-->9/19      5.26   0.46   53(50)   26(25)   14(13)   10( 9)    3( 3)    0      106
 30 9/20-->9/26      2.78   0.39   59(58)   18(18)   16(16)    5( 5)    3( 3)    0      101
 31 9/27-->10/3      1.61   0.31   39(54)   19(26)   11(15)    3( 4)    0( 0)    0       72
 32 10/4-->10/10     3.48   0.40   48(63)   10(13)   10(13)    5( 7)    3( 4)    0       76
 33 10/11-->10/17    1.97   0.40   33(52)   15(24)    9(14)    6(10)    0( 0)    0       63
 34 10/18-->10/24    1.21   0.27   41(62)   14(21)   10(15)    1( 2)    0( 0)    0       66
 35 10/25-->10/31    2.01   0.29   43(66)   12(18)    6( 9)    3( 5)    1( 2)    0       65
 36 11/1-->11/7      2.25   0.33   41(67)    7(11)    7(11)    5( 8)    1( 2)    0       61
 37 11/8-->11/14     2.56   0.29   39(63)   16(26)    3( 5)    3( 5)    1( 2)    0       62
 38 11/15-->11/21    1.54   0.27   42(59)   15(21)   13(18)    1( 1)    0( 0)    0       71
 39 11/22-->11/28    1.22   0.19   49(75)   10(15)    5( 8)    1( 2)    0( 0)    0       65
 40 11/29-->12/5     2.03   0.20   46(81)    4( 7)    6(11)    0( 0)    1( 2)    0       57
 41 12/6-->12/12     0.90   0.18   37(79)    5(11)    5(11)    0( 0)    0( 0)    0       47
 42 12/13-->12/19    1.23   0.19   42(76)    9(16)    3( 5)    1( 2)    0( 0)    0       55
 43 12/20-->12/26    0.87   0.16   53(83)    5( 8)    6( 9)    0( 0)    0( 0)    0       64
 44 12/27-->1/2      1.17   0.22   39(78)    5(10)    4( 8)    2( 4)    0( 0)    0       50
 45 1/3-->1/9        0.62   0.11   40(91)    2( 5)    2( 5)    0( 0)    0( 0)    0       44
 46 1/10-->1/16      0.50   0.12   50(83)   10(17)    0( 0)    0( 0)    0( 0)    0       60
