# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6243] ONAWA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6243
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     3    18    10     1    33        1     8    86    42     2   139
 1952     3    21    18     6     9    57       11   143    92    19    29   294
 1953     4    18    22    16     9    69       14   131   125    96    51   417
 1954     2    18    27    14     9    70        8    90   226    48    50   422
 1955     7     7    29    29     9    81       26    31   259   265    92   673
 1956     6    22    17    18    12    75       26   208    72   120    60   486
 1957     2     9    27    16     2    56        2    38   192    92     6   330
 1958     7     5     6    18     7    43       18    47    12   101    18   196
 1959     3    16    17    22     5    63       10    91    70   115    20   306
 1960     0     3    14    14     8    39        0    12    71    53    42   178
 1961     1     9    17    14     4    45        1    53    90    48    10   202
 1962     8     5    12    12     1    38       27    11    52    37     3   130
 1963     3    19    17     9     1    49       10    82    71    34     2   199
 1964     8     8    23     6     5    50       30    26   168    50    18   292
 1965     6     6    13    13     0    38       11    19    67    68     0   165
 1966     7    10    24    11     0    52       28    38   146    37     0   249
 1967     6     2    14    11     1    34       56     8    68    25     2   159
 1968     2    19    14    12     0    47        9   104    65    83     0   261
 1969     4     7    15    17     1    44       19    34    94    82     6   235
 1970    10    16    23    18     9    76       44   105   136   119    54   458
 1971     0    20     8    15     6    49        0   113    38    58    30   239
 1972     6    11    13    13     5    48       13    75    54    85    14   241
 1973     3    13    20    18     1    55        9    71    88    75     1   244
 1974     1    10    29     6     1    47        1    73   271    20     3   368
 1975     5     6    24    18     4    57       24    23   155    80    19   301
 1976     3    14    23    21    11    72        6    62   158   147    47   420
 1977     6    12    20     6     2    46        8    85   147    14     2   256
 1978     3    16    17    14    10    60       10    96   123    72    48   349
 1979     4    14    17    15     3    53       14    57    73    65    10   219
 1980     3    12    21    14     7    57        8    60   158    72    39   337
 1981     0    13    15     6     7    41        0    71    92    12    23   198
 1982     0     4    16     7     1    28        0    12    72    35     1   120
 1983     2     7    25    27    10    71        6    33   134   222    65   460
 1984     0     5    16    22     5    48        0    17    84   111    31   243
 1985     2     9    19     6     7    43        3    42    76    16    35   172
 1986     0    14    19     3     0    36        0    69   104    11     0   184
 1987     9    18    21     5     2    55       30   102   110    27     4   273
 1988     8    19    18    19     4    68       22   159   102   162    23   468
 1989     4     8    19    15     2    48       27    35   128    47     3   240
 1990     1    11    10    12    15    49        3    69    78    64    75   289
 1991     6    12    16    16     7    57       23    70    90    79    20   282
 1992     1     4     2     3     0    10        3     6     4     7     0    20
 1993     2     6     3    11     2    24        5    14    10    32     4    65
 1994     5     7     6     9     7    34       18    26    13    31    25   113
 1995     0    11    19    22     4    56        0    40   131   122     7   300
 1996     3    11     4     3     0    21       16    40    15     8     0    79
 1997     2     8    14     9     5    38        5    39    62    25    13   144
 1998     5     9    16    12    14    56       20    35    70    42    66   233
 1999     1     9    23     8     4    45        2    35   125    15     6   183
 2000     6    10    12    21    15    64       15    59    32   112   111   329
 2001     6    15    20    15     2    58       33    80   100    83     4   300
 2002     3    22    26     6    10    67       20   134   182    31    57   424
 2003     0    11    17    14     5    47        0    21    96   100    19   236
 2004     7     3    10     8    13    41       17    14    38    24    62   155
 2005     1    12    22     0     0    35        2    55   131     0     0   188
 **************************************************************************************
MEANS   3.6  11.1  17.2  12.8   5.2  49.9     13.0  59.5 100.1  66.2  24.2 263.0
