# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5992] NEWTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5992
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     7     5     0    12        0     0    21    20     0    41
 1952     3    17    15     2     8    45        6    84    68     3    22   183
 1953     4    10    15    15     6    50       12    44    63    94    46   259
 1954     0    19    26    11     9    65        0    87   171    32    42   332
 1955     6     4    26    25    11    72        9    19   222   187    67   504
 1956     7    18    19    16     5    65       24   128   116    71    20   359
 1957     0     8    24    13     1    46        0    30   172    69     1   272
 1958     1     7     4    21     1    34        4    29     5   105     5   148
 1959     1    12    11    23     5    52        1    48    40   108    20   217
 1960     0     2    14    10     7    33        0     2    58    45    48   153
 1961     1    10    13    18     6    48        1    42    45    68    18   174
 1962    11     9    12    13     3    48       25    27    45    61     9   167
 1963     3    19    22    10     4    58       10   115    90    56     8   279
 1964     6     7    21    12     5    51       11    21   110    58    18   218
 1965     1     2    10    14     1    28        1     4    50    94     3   152
 1966     6    10    20     9     1    46       16    30   136    29     4   215
 1967     6     2    14     5     0    27       36     9    54     9     0   108
 1968     2    15    12    13     3    45        4    71    53    84     4   216
 1969     4     6    15    16     0    41       12    13    60    41     0   126
 1970     2     8    21    13     8    52        4    45   127    40    19   235
 1971     0    21    10    14    15    60        0   114    25    61    53   253
 1972     6    10    10    14     4    44       10    38    46    84    12   190
 1973     0     9     9    13     0    31        0    43    35    41     0   119
 1974     0     6    26     4     0    36        0     8   204     9     0   221
 1975     5    10    22    17     3    57       15    34   118    81    13   261
 1976     2     9    14     6     1    32        3    19    56    16     1    95
 1977    10    14    24     3     0    51       25    71   183     9     0   288
 1978     2     6    14     7     7    36        2    16    43    22    17   100
 1979     0     2     4     9     3    18        0     2     6    45     8    61
 1980     3     8    24    18     6    59       10    33   166    91    16   316
 1981     0     7     6     0     0    13        0    20    31     0     0    51
 1982     0     0     8     4     0    12        0     0    17    21     0    38
 1983     0     6    22    26     7    61        0    19   129   215    39   402
 1984     0     1     9    12     9    31        0     1    41    64    35   141
 1985     2     4    13     9    12    40        6    26    33    35    57   157
 1986     0     9    18     4     3    34        0    37    89    11     3   140
 1987     3    13    22     8     2    48        7    90   137    47     2   283
 1988     6    17    25    22     2    72       18   136   210   188     9   561
 1989     2     7    19     8     0    36        3    18   132    27     0   180
 1990     0    10    10    10    10    40        0    39    46    53    52   190
 1991     5    13    15    12     6    51       21    68   108    60    17   274
 1992     1    10     3     5     0    19        1    28    15    17     0    61
 1993     0     8     7    12     1    28        0    17    18    34     4    73
 1994     3    10    12     7     4    36        4    47    43    39    14   147
 1995     0    11    15    21     3    50        0    53   101   125    12   291
 1996     3    11    10     6     3    33        8    51    34    19     6   118
 1997     1    12    18     8     4    43        5    36   119    44    18   222
 1998     4     6     9     8     9    36       14    29    35    24    23   125
 1999     0     7    18     5     4    34        0    23   139    12    13   187
 2000     2     3     5     8    11    29        9    14    19    20    57   119
 2001     3    10    16    12     1    42        4    31    77    69     3   184
 2002     1    13    19     6     8    47        3    55   104    22    34   218
 2003     1     4     9    13     3    30        4    11    43   100     5   163
 2004     2     3     3     2     2    12        2     9    11     3     3    28
 2005     0    11    16     0     0    27        0    53    88     0     0   141
 **************************************************************************************
MEANS   2.4   8.8  14.6  10.9   4.1  40.8      6.4  38.9  80.1  54.2  16.0 195.6
