# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4142] IOWA-FALLS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4142
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     1     0     5        0     0     9     7     0    16
 1952     2    13    11     6     9    41        4    56    38     8    33   139
 1953     3     9     6     9     3    30       11    49    22    59    18   159
 1954     0     8    16     5     6    35        0    30    85    10    24   149
 1955     3     2    20    24     7    56        3    10   154   157    44   368
 1956     4    19     7     7     4    41        6   115    36    45     8   210
 1957     0     5    18    12     1    36        0    11   110    42     3   166
 1958     1     4     1    16     1    23        2    13     3    56     3    77
 1959     2     9     9    19     4    43        4    51    28    78    15   176
 1960     0     3    14    16     7    40        0     4    73    52    46   175
 1961     1     9     6    10     3    29        2    48    24    34    10   118
 1962     8     6     5     8     1    28       22    17    14    25     2    80
 1963     1    13     8     6     1    29        3    67    26    19     1   116
 1964     3     9    16     5     4    37       10    33    98    23     8   172
 1965     0     1     6     9     0    16        0     2    30    46     0    78
 1966     1     8    17     7     0    33        2    19    92    17     0   130
 1967     3     1    11     0     0    15       25     2    23     0     0    50
 1968     2    10     5    13     0    30        3    45    17    50     0   115
 1969     3     2     8     7     0    20        7     7    32    16     0    62
 1970     3     8    15     7     4    37       11    38    65    18    10   142
 1971     1    21     5     7     6    40        1   101     8    23    24   157
 1972     5     5     8    13     1    32       15    21    27    62     2   127
 1973     0     9     9     8     0    26        0    41    33    19     0    93
 1974     0     6    20     2     1    29        0    12   122     3     1   138
 1975     3     7    18    12     1    41       14    21    63    44     1   143
 1976     1     5    14    11     5    36        1    11    64    32    16   124
 1977     9    10    18     4     0    41       21    57   139     8     0   225
 1978     3     9    10    10    11    43       13    23    37    43    57   173
 1979     2     6     2    10     4    24        6    10     4    46     8    74
 1980     5     8    24     9     5    51       17    39   162    31    22   271
 1981     0     5    12     4     3    24        0    22    67    10     8   107
 1982     0     2    13     8     2    25        0     6    50    33     2    91
 1983     0    10    23    21     6    60        0    43   137   147    34   361
 1984     0     6    12    15     8    41        0    14    34    80    37   165
 1985     3     6    15     5     7    36       11    53    52    22    29   167
 1986     1     6    16     2     2    27        2    28    62     5     2    99
 1987     7    18    20     7     2    54       20    82   122    48     3   275
 1988     9    18    24    20     4    75       30   119   176   210    18   553
 1989     2     9    16    11     1    39        6    28   120    33     3   190
 1990     0     8     8     6     6    28        0    30    41    30    28   129
 1991     3    12    16     6     1    38       10    70    97    20     1   198
 1992     3     5     1     4     0    13        7    17     3     8     0    35
 1993     0     3     1     3     1     8        0     5     4     6     1    16
 1994     2     8     3     3     3    19        2    26     7     8    11    54
 1995     0     8     9    15     0    32        0    42    56    55     0   153
 1996     2     9     5     1     0    17        6    35    12     4     0    57
 1997     0     7    13     4     2    26        0    14    56    12     4    86
 1998     5     4     6     4     7    26       15    13    19    10    33    90
 1999     0     5    18     2     4    29        0     8    86     5    15   114
 2000     0     2     5     3     9    19        0     8     8     5    45    66
 2001     3     6    10     8     0    27        6    25    30    34     0    95
 2002     1    11    17     3     5    37        5    35    59     7    17   123
 2003     0     2     4    11     2    19        0     6    19    69     5    99
 2004     0     2     2     0     1     5        0     5     4     0     1    10
 2005     0     8    12     0     0    20        0    24    51     0     0    75
 **************************************************************************************
MEANS   2.0   7.4  11.1   8.0   3.0  31.5      5.9  31.1  54.7  35.2  11.9 138.7
