# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5493] MILFORD-4-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia5493
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.26  2.73  3.53  3.37  3.93  7.20  4.63  4.73  4.13  1.82  0.36  0.52 37.21
 1952  1.04  0.44  1.53  0.98  2.01  6.23  3.89  4.73  0.50  0.00  0.46  0.33 22.14
 1953  0.57  0.73  2.48  3.29  2.34  8.55  3.44  3.72  0.94  0.73  1.69  1.20 29.68
 1954  0.25  1.82  1.66  2.61  2.30  8.40  3.31  6.01  3.64  2.08  0.38  0.10 32.56
 1955  0.15  0.97  0.57  2.60  1.75  3.09  2.33  2.77  1.59  1.74  0.36  0.84 18.76
 1956  0.59  0.43  0.91  1.89  1.90  2.80  3.83  4.74  0.74  0.77  2.79  0.27 21.66
 1957  0.16  0.38  1.18  0.70  5.60  5.93  5.28  3.34  1.72  2.84  1.77  0.36 29.26
 1958  0.25  0.48  0.36  2.45  0.72  2.51  3.15  1.17  0.62  0.09  0.71  0.19 12.70
 1959  0.38  1.54  1.10  0.23 10.30  2.07  0.12  3.15  3.79  2.98  1.42  1.46 28.54
 1960  0.52  0.42  1.67  2.88  8.60  3.38  2.95  5.89  6.02  0.44  1.13  0.69 34.59
 1961  0.21  1.57  3.34  1.38  2.75  3.22  2.71  1.84  6.31  1.65  0.88  0.98 26.84
 1962  0.34  2.44  1.50  1.55  3.00  5.67  9.89  6.41  1.32  0.67  0.10  0.39 33.28
 1963  0.45  0.68  1.25  1.12  1.30  3.09  6.69  0.49  3.05  1.38  0.04  0.43 19.97
 1964  0.31  0.05  1.23  4.77  4.71  1.46  7.50  2.90  9.41  0.69  0.63  0.82 34.48
 1965  0.59  1.44  1.71  4.18  5.51  2.64  0.92  2.34  7.30  0.59  0.59  0.48 28.29
 1966  0.52  1.28  0.91  2.01  2.80  4.07  4.79  3.42  1.02  1.72  0.20  1.02 23.76
 1967  0.75  0.66  0.41  3.46  1.50  7.26  0.50  2.40  0.94  1.41  0.20  0.55 20.04
 1968  0.50  0.13  0.39  3.78  2.29  4.79  3.69  2.49  6.99  5.56  0.64  1.04 32.29
 1969  1.88  1.55  1.81  1.63  4.28  5.76  6.20  3.72  1.02  2.54  0.56  1.49 32.44
 1970  0.34  0.46  1.86  1.51  2.76  1.35  3.53  2.81  6.07  5.52  2.29  0.64 29.14
 1971  0.23  2.86  1.06  1.30  1.73  4.93  3.99  1.24  1.49  5.35  1.84  1.00 27.02
 1972  0.47  0.64  0.90  3.46  4.51  2.41  7.55  2.13  2.79  3.13  1.59  1.67 31.25
 1973  0.69  0.48  2.57  3.24  3.89  2.91  2.92  2.43  5.84  1.18  3.62  0.97 30.74
 1974  0.10  0.27  1.52  2.24  2.72  3.31  0.88  3.98  1.30  1.41  0.70  0.25 18.68
