# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1233] CARROLL-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia1233 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     35     10      7      5    213    113     95     79
 1952     74     35     30     25    364    226    200    174
 1953    144     67     52     39    232    119    101     85
 1954     71     20     13      9    453    293    260    227
 1955    114     61     50     39    515    350    317    284
 1956    136     57     45     36    327    213    190    168
 1957    128     60     48     40    369    233    207    184
 1958     60     20     12      8    341    201    171    145
 1959    104     45     34     26    351    219    193    171
 1960     12      3      2      1    409    260    229    200
 1961     76     30     23     17    245    137    117     98
 1962     48     26     23     20    369    230    200    174
 1963    181    117    105     93    417    261    228    196
 1964     85     37     28     21    360    216    187    160
 1965      7      3      2      1    315    194    169    144
 1966    237    142    119    100    241    134    112     91
 1967    238    151    134    117    396    259    227    196
 1968    298    197    175    155    410    265    232    201
 1969     17      1      0      0    384    246    215    186
 1970     33      4      1      0    400    265    234    207
 1971     89     45     37     30    405    268    238    209
 1972    138     66     54     44    341    211    185    160
 1973    165     66     49     36    351    223    194    167
 1974    191     98     81     67    409    264    229    196
 1975     38      4      0      0    278    152    128    110
 1976    183    110     94     80    492    341    307    273
 1977    251    137    115     94    533    374    340    309
 1978    117     68     58     49    308    183    157    132
 1979     61     23     18     13    262    153    131    111
 1980     76     25     18     13    377    239    211    187
 1981    217    110     91     73    487    318    284    252
 1982     92     34     26     18    293    190    167    146
 1983    107     54     43     33    180    102     88     75
 1984     49      8      4      1    280    146    122     99
 1985    174     89     71     56    452    301    269    239
 1986    214    128    115    105    375    224    194    165
 1987    193    111     95     81    433    290    262    236
 1988    212    126    108     90    350    225    196    168
 1989    146     88     75     63    422    282    249    219
 1990    170     86     71     58    370    234    204    176
 1991    191    105     88     75    374    225    197    170
 1992    184     89     74     59    283    162    142    125
 1993     63     28     23     18    247    138    117     97
 1994    194    111     95     80    358    237    211    186
 1995    157     79     65     52    234    129    108     88
 1996    104     43     33     25    313    191    165    141
 1997    172     88     72     58    241    140    119    100
 1998     95     50     44     38    314    178    153    129
 1999    145     69     54     42    303    169    143    117
 2000    249    142    122    102    346    229    206    183
 2001     51     16     11      6    409    265    235    206
 2002     72     28     21     14    344    213    187    161
 2003    169     96     83     71    394    265    240    218
 2004    199    103     83     65    394    255    226    199
 2005    157     79     64     51    441    281    245    212
     ****************************  ****************************
 MEAN  130.6   67.1   55.6   45.7  354.6  222.4  195.1  169.7
 STDV   70.3   45.9   40.5   35.5   78.1   61.9   57.7   53.5

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    672    454    404    360    724    495    439    387
 1952    565    374    331    292    934    700    644    589
 1953    597    400    358    319    931    696    638    580
 1954    520    356    318    282    944    709    653    597
 1955    708    504    461    421    780    555    505    456
 1956    672    471    426    383    980    749    692    636
 1957    586    374    332    293    819    585    528    474
 1958    701    507    462    418    759    530    482    436
 1959    679    464    415    368    905    667    610    554
 1960    633    421    373    328    793    564    511    461
 1961    576    386    345    306    837    608    556    507
 1962    789    555    505    457    804    568    511    455
 1963    630    412    366    323    969    730    672    615
 1964    783    555    505    456    863    636    582    528
 1965    753    533    482    433    859    628    574    522
 1966    585    420    382    345    851    621    567    516
 1967    540    360    322    286    867    633    577    523
 1968    540    365    328    292    910    679    625    572
 1969    703    492    447    402    754    538    489    441
 1970    767    555    506    459    905    671    617    565
 1971    566    383    344    308    976    739    681    625
 1972    664    450    401    357    861    631    576    523
 1973    604    401    356    315    910    671    613    559
 1974    601    400    356    316    811    587    535    488
 1975    745    535    488    443    891    655    596    542
 1976    633    437    394    355    918    687    632    578
 1977    880    643    587    533    891    659    603    549
 1978    643    444    400    356    882    653    599    547
 1979    600    403    359    321    879    642    585    529
 1980    650    445    402    364    872    636    581    528
 1981    566    369    329    292    896    656    597    540
 1982    685    454    400    348    740    511    460    412
 1983    471    294    260    226    855    624    569    516
 1984    573    378    335    296    929    689    630    572
 1985    738    505    452    404    789    557    503    450
 1986    650    424    375    328    936    696    637    579
 1987    775    548    497    448    955    718    659    601
 1988    797    560    508    461    981    743    685    628
 1989    641    440    395    354    817    580    526    473
 1990    535    339    297    259    903    667    609    552
 1991    763    540    489    439    964    724    664    605
 1992    645    447    403    360    837    602    547    494
 1993    583    367    321    278    816    582    526    472
 1994    696    486    442    399    917    680    622    564
 1995    515    307    266    230    864    626    570    515
 1996    518    314    272    233    882    647    589    533
 1997    492    310    273    239    930    690    633    578
 1998    762    527    476    427    787    560    507    456
 1999    616    397    351    309    846    609    551    494
 2000    705    489    440    395    848    612    556    504
 2001    623    393    345    302    845    608    552    498
 2002    528    355    317    281    978    738    678    620
 2003    545    334    294    259    807    567    508    451
 2004    648    436    387    339    797    561    506    454
 2005    589    385    341    302    944    704    644    584
     ****************************  ****************************
 MEAN  640.8  434.5  389.5  347.3  871.7  637.7  581.8  527.8
 STDV   90.4   77.7   73.9   69.9   66.4   63.6   61.9   59.7

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    952    704    643    582    928    680    619    560
 1952   1032    784    722    660    909    662    606    550
 1953   1006    765    707    649    939    702    647    594
 1954   1070    822    760    699    965    717    657    597
 1955   1137    889    827    765   1034    791    734    678
 1956    961    713    652    593    965    728    671    614
 1957   1078    830    768    706    943    700    643    587
 1958    894    648    589    534    942    701    642    586
 1959    950    704    646    589   1072    824    763    704
 1960    963    719    660    604   1000    752    690    628
 1961    974    726    665    605    950    702    641    582
 1962    935    690    631    573    948    706    646    587
 1963   1040    792    730    670    934    690    632    575
 1964   1050    802    740    679    839    607    554    504
 1965    982    736    675    617    906    666    608    553
 1966   1066    818    756    695    856    619    566    516
 1967    937    696    640    585    926    696    641    589
 1968   1000    753    695    638    958    713    655    597
 1969   1032    784    722    660    984    736    676    617
 1970   1007    766    709    652    967    723    664    606
 1971    885    644    590    538    905    669    614    562
 1972    967    727    668    610    925    685    627    569
 1973    993    745    683    622    992    744    683    623
 1974   1060    817    758    700    820    591    538    490
 1975   1002    755    696    640   1033    785    723    662
 1976   1066    820    763    707   1008    767    708    651
 1977   1068    822    762    702    918    675    618    562
 1978   1027    779    717    656   1017    771    711    653
 1979    988    740    678    618    959    711    650    590
 1980   1061    813    752    692   1058    810    748    686
 1981   1030    782    720    658    899    657    599    543
 1982   1045    797    735    673    917    675    618    563
 1983   1083    835    773    711   1088    840    778    717
 1984   1020    772    711    650   1020    774    715    656
 1985    980    732    671    610    878    631    570    513
 1986   1067    819    757    695    841    599    541    484
 1987   1087    839    777    715    875    628    569    511
 1988   1032    784    723    662   1033    789    729    670
 1989   1041    793    731    670    969    721    660    599
 1990    969    721    659    598    992    744    684    624
 1991   1009    761    700    639    967    719    658    598
 1992    870    623    563    504    801    562    505    452
 1993   1006    758    696    634    968    720    658    598
 1994    941    693    631    571    884    639    580    523
 1995   1028    781    720    659   1094    846    784    722
 1996    947    699    637    576    929    681    619    558
 1997   1040    792    731    670    921    673    611    550
 1998   1057    809    747    685   1021    773    711    649
 1999   1089    841    779    717    938    690    628    567
 2000   1007    759    697    636   1021    773    711    649
 2001   1074    826    764    702    992    744    682    620
 2002   1091    843    781    719    953    706    645    585
 2003   1011    763    701    639   1017    769    707    645
 2004    937    690    630    571    823    582    529    479
 2005   1065    817    755    693      0      0      0      0
     ****************************  ****************************
 MEAN 1012.9  766.0  705.3  645.4  935.3  695.6  637.6  580.9
 STDV   57.1   56.3   55.5   54.2  144.9  115.2  107.7  100.1

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    580    374    329    288    394    241    212    185
 1952    693    499    456    415    364    235    208    182
 1953    691    514    476    441    554    383    345    312
 1954    756    540    491    442    385    221    190    161
 1955    715    515    472    430    489    334    296    260
 1956    671    480    439    401    574    400    363    329
 1957    600    403    362    324    343    189    156    127
 1958    709    503    461    420    516    345    305    269
 1959    660    462    420    381    305    172    146    121
 1960    712    512    467    422    453    315    283    253
 1961    631    431    388    347    487    321    284    248
 1962    618    433    393    355    491    315    276    240
 1963    757    532    480    432    667    468    425    383
 1964    674    476    431    386    391    248    216    186
 1965    571    379    337    297    474    314    278    243
 1966    618    440    400    364    451    301    266    234
 1967    640    450    410    372    402    247    222    198
 1968    667    454    408    365    484    316    279    243
 1969    746    522    473    427    333    204    176    151
 1970    705    497    450    406    380    234    203    175
 1971    756    551    507    464    537    361    319    282
 1972    692    485    438    394    341    209    184    162
 1973    664    449    400    354    551    371    330    290
 1974    606    422    381    343    496    320    283    247
 1975    630    443    399    357    577    409    370    334
 1976    756    547    501    459    351    215    190    167
 1977    742    527    476    426    361    210    179    153
 1978    881    653    598    545    478    306    270    234
 1979    707    502    457    413    371    228    197    167
 1980    722    512    463    417    300    187    163    141
 1981    669    453    407    365    323    175    145    118
 1982    654    447    398    352    383    232    200    171
 1983    730    522    474    428    357    194    162    135
 1984    642    438    390    347    419    245    207    172
 1985    676    472    424    379    376    214    181    150
 1986    743    514    459    406    387    224    188    156
 1987    690    467    418    375    298    166    139    115
 1988    720    496    448    402    324    185    154    127
 1989    661    458    414    372    451    291    259    227
 1990    777    563    514    466    410    264    233    205
 1991    694    496    450    406    375    231    202    178
 1992    654    457    411    367    405    247    217    191
 1993    538    341    299    261    357    212    183    156
 1994    748    533    483    435    455    274    234    197
 1995    637    445    400    359    381    235    205    177
 1996    619    411    367    327    429    272    238    205
 1997    728    508    461    418    459    309    278    248
 1998    859    627    574    521    438    270    237    206
 1999    656    458    417    379    414    281    250    221
 2000    727    523    480    440    511    327    288    252
 2001    653    441    388    339    389    239    206    176
 2002    738    518    470    425    273    161    139    119
 2003    646    451    407    364    463    311    279    248
 2004    821    598    547    498    432    266    231    197
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  677.3  475.3  430.2  387.6  414.7  262.6  230.3  200.4
 STDV  114.1   87.3   81.4   75.5   98.8   76.4   71.0   65.7
