# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7161] ROCKWELL-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.65   0.23   65(72)   16(18)    5( 6)    4( 4)    0( 0)    0       90
  2 3/8-->3/14       2.04   0.28   66(68)   15(15)   10(10)    5( 5)    1( 1)    0       97
  3 3/15-->3/21      1.30   0.24   59(69)   16(19)   10(12)    1( 1)    0( 0)    0       86
  4 3/22-->3/28      1.72   0.33   53(60)   14(16)   15(17)    6( 7)    0( 0)    0       88
  5 3/29-->4/4       1.45   0.29   65(63)   20(19)   14(13)    5( 5)    0( 0)    0      104
  6 4/5-->4/11       2.25   0.25   71(70)   17(17)   10(10)    3( 3)    1( 1)    0      102
  7 4/12-->4/18      1.65   0.29   70(56)   32(26)   17(14)    5( 4)    0( 0)    0      124
  8 4/19-->4/25      3.19   0.36   82(59)   22(16)   25(18)    6( 4)    4( 3)    0      139
  9 4/26-->5/2       4.60   0.43   61(50)   25(20)   22(18)   13(11)    2( 2)    0      123
 10 5/3-->5/9        5.87   0.39   62(50)   41(33)    9( 7)    9( 7)    2( 2)    0      123
 11 5/10-->5/16      2.55   0.35   79(58)   27(20)   20(15)    8( 6)    2( 1)    0      136
 12 5/17-->5/23      2.10   0.39   65(50)   27(21)   28(21)   10( 8)    1( 1)    0      131
 13 5/24-->5/30      2.55   0.42   79(52)   30(20)   28(18)   13( 8)    3( 2)    0      153
 14 5/31-->6/6       2.34   0.36   76(59)   18(14)   25(20)    7( 5)    2( 2)    0      128
 15 6/7-->6/13       3.62   0.49   70(49)   21(15)   32(22)   16(11)    4( 3)    0      143
 16 6/14-->6/20      3.86   0.44   79(56)   15(11)   30(21)   12( 9)    4( 3)    0      140
 17 6/21-->6/27      5.01   0.54   55(47)   25(22)   20(17)   11( 9)    5( 4)    0      116
 18 6/28-->7/4       4.05   0.51   59(50)   20(17)   20(17)   16(14)    3( 3)    0      118
 19 7/5-->7/11       3.58   0.46   66(52)   23(18)   23(18)   11( 9)    5( 4)    0      128
 20 7/12-->7/18      3.08   0.49   53(48)   18(16)   25(23)   11(10)    3( 3)    0      110
 21 7/19-->7/25      6.06   0.38   75(64)   17(14)   15(13)    9( 8)    2( 2)    0      118
 22 7/26-->8/1       2.50   0.45   44(49)   17(19)   19(21)    9(10)    1( 1)    0       90
 23 8/2-->8/8        3.35   0.51   53(50)   21(20)   16(15)   11(10)    5( 5)    0      106
 24 8/9-->8/15       2.27   0.42   45(54)   14(17)   13(16)   10(12)    1( 1)    0       83
 25 8/16-->8/22      3.88   0.46   57(51)   18(16)   21(19)   15(13)    1( 1)    0      112
 26 8/23-->8/29      2.86   0.46   64(59)   13(12)   13(12)   13(12)    5( 5)    0      108
 27 8/30-->9/5       3.05   0.40   63(64)   12(12)   14(14)    6( 6)    4( 4)    0       99
 28 9/6-->9/12       3.32   0.48   34(41)   21(26)   18(22)    8(10)    1( 1)    0       82
 29 9/13-->9/19      3.58   0.39   57(51)   22(20)   24(22)    7( 6)    1( 1)    0      111
 30 9/20-->9/26      5.00   0.37   54(53)   24(24)   19(19)    3( 3)    1( 1)    0      101
 31 9/27-->10/3      2.60   0.42   39(49)   17(22)   14(18)    7( 9)    2( 3)    0       79
 32 10/4-->10/10     2.53   0.35   57(63)   14(16)   11(12)    6( 7)    2( 2)    0       90
 33 10/11-->10/17    2.53   0.34   44(59)   15(20)   11(15)    4( 5)    1( 1)    0       75
 34 10/18-->10/24    2.41   0.32   54(64)   14(16)   11(13)    5( 6)    1( 1)    0       85
 35 10/25-->10/31    1.15   0.27   45(61)   15(20)   12(16)    2( 3)    0( 0)    0       74
 36 11/1-->11/7      1.80   0.35   34(53)   13(20)   13(20)    4( 6)    0( 0)    0       64
 37 11/8-->11/14     1.35   0.23   45(73)    8(13)    7(11)    2( 3)    0( 0)    0       62
 38 11/15-->11/21    1.13   0.33   40(56)   12(17)   19(26)    1( 1)    0( 0)    0       72
 39 11/22-->11/28    1.23   0.18   62(82)   10(13)    3( 4)    1( 1)    0( 0)    0       76
 40 11/29-->12/5     0.83   0.18   52(76)    8(12)    8(12)    0( 0)    0( 0)    0       68
 41 12/6-->12/12     1.10   0.21   42(72)   10(17)    5( 9)    1( 2)    0( 0)    0       58
 42 12/13-->12/19    0.77   0.18   49(78)   10(16)    4( 6)    0( 0)    0( 0)    0       63
