# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1442] CHEROKEE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   6  10  15  10  12  13  13  11   9   3   8 112
1952     9   4   6   5  13   9   6  11   2   0   4   4  73
1953     4   7   9   8  10   7   9  10   4   4   5   7  84
1954     6   5   7  10   9  10   9  13   9  11   2   3  94
1955     5   5   7   7   5  10   9   3   7   8   3   5  74
1956     6   5   5   8  12   9  10  13   4   6   7   4  89
1957     5   3   6   7  12  12  13  11  10  11   6   6 102
1958     7   3   5   9   6  16  14   4   4   1   4   4  77
1959     5   7   8   5  14   6   6  10  13  10   6   6  96
1960     2   4   9   9  11  11   5  12   9   2   4   4  82
1961     2   4   9   9  12  11  11  11  10   9   4   5  97
1962     4   9   8   9  13  13  14   9   9   9   3   2 102
1963     6  11   9   9   8  11  12  10   9   3   2   6  96
1964     5   6   8   9  12  12  10  11  11   3   9  10 106
1965     2   8  11  15  16   9  12  15  21   3   6   3 121
1966    10   6   3   6   7  10   4   2   0   0   3   4  55
1967     8   4   3   9   9  16   6   6   6   7   1   4  79
1968     7   0   3  10  11  11  11   9  13   9   6   7  97
1969    12   6   2   5  11  12   9   6   3   8   4   7  85
1970     7   2   8   8  11  11  10   6   8  11   8   4  94
1971     2   8   3   4  10  11   8   4   4  10   7   4  75
1972     4   4   6   9  12   6  15  10  11  10   8   8 103
1973     6   6  10   9  11   6   9   5  12   6   7   8  95
1974     3   2   7   8  12   9   7  12   5   5   5   4  79
1975     9   5   9  14  10  17   4  11   4   2  10   2  97
1976     1   6   8   7   6   5   5   1   5   3   0   5  52
1977     5   3   9   9  11   9   9  11  12   8   6   6  98
1978     6   9   4  13  10   7  10   8   6   9   5   6  93
1979     7   4   9  10  11   9   6  10   6   7   8   2  89
1980     6   5   5   6   9   6  11  16   4   5   1   3  77
1981     0   3   4  10   9  13   9   9   4  11   7   3  82
1982    11   4   9   7  20   8  14   8   9  10   8   5 113
1983     5   6  12  10   9  16   7   6  10   6  10   7 104
1984     1   3   9  14  13  17   7   7   7  13   4   7 102
1985     6   2   8  11  11  12   5  15  14   8   9   6 107
1986     2   3   6  14  11  12   8   7  14   6   6   4  93
1987     5   2  13   6  13   9  13  11   8   6   6   7  99
1988     4   4   3  12   7   7   6   8  10   5   9   5  80
1989     4   5   9   8   8   7   6   7   6   4   1   2  67
1990     2   4  11   8  10  11  11   7   5   6   5   6  86
1991     3   2  10   9  13   9   8   9   9   7  11   2  92
1992     8   5   7   5   7   7  16  10   8   4   9   8  94
1993     6   8   8  10  17  12  15  11  10   3   6   7 113
1994    15   6   2   7   8   9  12   8  10   7   6   4  94
1995     3   5  12  12  16  10  10  11  11  11   4   3 108
1996     8   2   6   5  14  10   9   6   9   5  11   9  94
1997     9   3   7  11   9  12   7   8   7   4   6   6  89
1998     3   5  11  11  12  17  12  13   4   9   4   2 103
1999     7   4   6  12  12  15  12   4   4   2   1   4  83
2000     7   6   6   6  17  15   9   6   6  10   7  13 108
2001    13   8   2  11  14   6  11   9   7   3   5   2  91
2002     9   5  11  16  14   9  10  12  14  17   6   7 130
2003    13  11   9  13  18  18   9   6  10   6   8   8 129
2004    11  10  15   7  22  18  11  14   8  12  11   5 144
2005    10  10  10  14  21  20  10   0   0   0   0   0  95
STDDEV   3   2   3   3   4   4   3   4   4   4   3   2  17
AVG      6   5   7   9  12  11  10   9   8   7   6   5  94
