# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6103] NORTHWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia6103 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      2      0      0      0    148     76     65     55
 1952     21      9      6      4    339    225    200    178
 1953     96     35     24     15    149     60     48     38
 1954     29      5      3      1    366    227    198    172
 1955     66     24     16     12    430    272    242    213
 1956     22      2      1      0    237    135    113     92
 1957     67     15      9      5    334    208    185    166
 1958     56     15     10      6    312    181    152    126
 1959     45     11      7      5    313    183    157    134
 1960     25      5      3      1    333    200    177    156
 1961     37      6      3      1    167     72     56     42
 1962     14      5      4      3    264    156    138    122
 1963    143     92     81     71    359    207    174    147
 1964     49     15     11      7    290    164    141    120
 1965      0      0      0      0    199    104     88     74
 1966    159     73     59     47    182     83     67     53
 1967    135     78     66     54    301    168    140    112
 1968    245    152    132    115    368    229    199    170
 1969     19      1      0      0    326    187    160    135
 1970     15      2      1      0    318    197    172    150
 1971     36     16     13     10    355    228    201    175
 1972     61     18     13      9    228    116     95     76
 1973    130     55     41     30    250    137    115     95
 1974     53     17     12      8    351    205    178    153
 1975     13      0      0      0    160     71     55     41
 1976    119     65     55     46    409    258    224    191
 1977    180     88     71     55    505    349    314    282
 1978    103     58     49     41    260    136    109     85
 1979     13      0      0      0    213    109     92     76
 1980     51     16     11      7    343    213    188    166
 1981    183     87     71     57    410    249    218    190
 1982     51     18     13      9    253    156    135    114
 1983     72     29     22     17    177     98     85     74
 1984     21      2      0      0    253    123     97     74
 1985    142     65     51     38    458    305    275    246
 1986    152     93     83     73    392    241    206    175
 1987    152     74     62     51    477    324    294    265
 1988    110     41     28     17    316    185    157    134
 1989     70     35     30     25    262    143    121    103
 1990    136     59     45     34    305    182    158    136
 1991     77     31     24     19    304    173    147    124
 1992     86     28     21     14    168     84     70     56
 1993     13      1      0      0    176     83     69     56
 1994     88     39     32     25    283    180    156    135
 1995    102     44     34     26    168     86     69     53
 1996     58     16     12      9    181    100     85     72
 1997     55     19     16     14    227    133    111     90
 1998     74     38     33     28    291    163    138    115
 1999     81     30     22     17    229    115     93     73
 2000    198    109     91     74    262    168    148    129
 2001      3      0      0      0    316    191    164    140
 2002     32     11      8      5    263    154    134    114
 2003    123     66     55     46    300    186    164    144
 2004    117     45     36     29    323    200    174    149
 2005     69     40     35     30    384    228    196    168
     ****************************  ****************************
 MEAN   77.6   34.5   27.7   22.0  290.7  171.0  147.4  125.9
 STDV   56.9   33.7   29.0   24.7   86.5   65.6   60.4   55.6

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    671    454    404    358    706    477    425    374
 1952    524    333    292    255    922    686    628    571
 1953    561    373    334    297    915    678    621    566
 1954    466    302    264    230    880    647    592    537
 1955    685    468    424    385    765    535    482    434
 1956    615    415    372    333    951    715    658    602
 1957    556    353    312    273    825    587    529    474
 1958    654    453    409    366    711    481    433    387
