# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4228] JEFFERSON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.12   0.24   63(67)   17(18)   11(12)    3( 3)    0( 0)    0       94
  2 3/8-->3/14       1.52   0.33   43(54)   19(24)   13(16)    5( 6)    0( 0)    0       80
  3 3/15-->3/21      1.38   0.26   57(66)   16(18)   10(11)    4( 5)    0( 0)    0       87
  4 3/22-->3/28      2.58   0.36   49(59)   14(17)   11(13)    8(10)    1( 1)    0       83
  5 3/29-->4/4       1.58   0.31   51(55)   20(22)   19(20)    3( 3)    0( 0)    0       93
  6 4/5-->4/11       1.88   0.33   49(56)   24(27)    9(10)    6( 7)    0( 0)    0       88
  7 4/12-->4/18      2.52   0.35   72(60)   25(21)   14(12)    7( 6)    2( 2)    0      120
  8 4/19-->4/25      4.90   0.35   75(58)   26(20)   18(14)   10( 8)    1( 1)    0      130
  9 4/26-->5/2       2.37   0.41   63(50)   24(19)   27(22)    9( 7)    2( 2)    0      125
 10 5/3-->5/9        3.58   0.43   60(48)   34(27)   19(15)    8( 6)    4( 3)    0      125
 11 5/10-->5/16      2.66   0.41   70(56)   26(21)   17(14)    9( 7)    3( 2)    0      125
 12 5/17-->5/23      2.56   0.37   73(57)   21(17)   23(18)    7( 6)    3( 2)    0      127
 13 5/24-->5/30      2.27   0.43   68(50)   32(24)   21(16)   11( 8)    3( 2)    0      135
 14 5/31-->6/6       3.63   0.38   79(61)   21(16)   20(15)    7( 5)    3( 2)    0      130
 15 6/7-->6/13       2.93   0.47   64(48)   16(12)   40(30)   12( 9)    2( 1)    0      134
 16 6/14-->6/20      3.98   0.47   76(53)   25(17)   23(16)   16(11)    3( 2)    0      143
 17 6/21-->6/27      3.83   0.49   53(47)   23(20)   24(21)    9( 8)    4( 4)    0      113
 18 6/28-->7/4       5.51   0.61   53(50)   13(12)   21(20)   12(11)    7( 7)    0      106
 19 7/5-->7/11       7.83   0.56   51(44)   22(19)   28(24)   10( 9)    4( 3)    0      115
 20 7/12-->7/18      3.31   0.41   61(56)   18(17)   21(19)    4( 4)    4( 4)    0      108
 21 7/19-->7/25      4.53   0.37   70(64)   16(15)   10( 9)   11(10)    2( 2)    0      109
 22 7/26-->8/1       2.22   0.45   43(48)   20(22)   10(11)   15(17)    1( 1)    0       89
 23 8/2-->8/8        3.06   0.51   49(45)   24(22)   22(20)   11(10)    4( 4)    0      110
 24 8/9-->8/15       2.50   0.33   47(49)   26(27)   20(21)    1( 1)    1( 1)    0       95
 25 8/16-->8/22      5.50   0.48   50(51)   16(16)   20(20)   10(10)    3( 3)    0       99
 26 8/23-->8/29      2.54   0.53   52(48)   16(15)   22(20)   15(14)    4( 4)    0      109
 27 8/30-->9/5       2.03   0.38   48(50)   21(22)   17(18)    9( 9)    1( 1)    0       96
 28 9/6-->9/12       2.41   0.44   39(45)   16(18)   24(28)    6( 7)    2( 2)    0       87
 29 9/13-->9/19      4.67   0.38   62(58)   15(14)   25(23)    3( 3)    2( 2)    0      107
 30 9/20-->9/26      3.05   0.32   60(59)   21(21)   14(14)    6( 6)    1( 1)    0      102
 31 9/27-->10/3      1.99   0.34   43(54)   18(23)   14(18)    4( 5)    0( 0)    0       79
 32 10/4-->10/10     1.91   0.36   48(58)   13(16)   16(19)    6( 7)    0( 0)    0       83
 33 10/11-->10/17    2.05   0.40   38(53)   15(21)   13(18)    5( 7)    1( 1)    0       72
 34 10/18-->10/24    1.51   0.30   54(64)   13(15)    9(11)    8(10)    0( 0)    0       84
 35 10/25-->10/31    1.74   0.30   43(58)   17(23)   11(15)    3( 4)    0( 0)    0       74
 36 11/1-->11/7      2.13   0.40   37(51)   16(22)   11(15)    5( 7)    3( 4)    0       72
 37 11/8-->11/14     1.58   0.25   39(67)    9(16)    9(16)    1( 2)    0( 0)    0       58
 38 11/15-->11/21    1.94   0.36   45(61)    9(12)   14(19)    6( 8)    0( 0)    0       74
 39 11/22-->11/28    1.11   0.20   47(77)    8(13)    5( 8)    1( 2)    0( 0)    0       61
 40 11/29-->12/5     1.14   0.23   48(73)    8(12)    7(11)    3( 5)    0( 0)    0       66
 41 12/6-->12/12     1.30   0.22   42(70)   11(18)    6(10)    1( 2)    0( 0)    0       60
 42 12/13-->12/19    0.77   0.18   48(74)   12(18)    5( 8)    0( 0)    0( 0)    0       65
 43 12/20-->12/26    0.94   0.15   56(84)    7(10)    4( 6)    0( 0)    0( 0)    0       67
 44 12/27-->1/2      1.92   0.20   44(73)    9(15)    6(10)    1( 2)    0( 0)    0       60
 45 1/3-->1/9        1.64   0.21   36(73)    9(18)    3( 6)    1( 2)    0( 0)    0       49
 46 1/10-->1/16      1.60   0.18   50(81)    8(13)    3( 5)    1( 2)    0( 0)    0       62
 47 1/17-->1/23      0.89   0.17   51(73)   15(21)    4( 6)    0( 0)    0( 0)    0       70
 48 1/24-->1/30      0.95   0.14   61(88)    5( 7)    3( 4)    0( 0)    0( 0)    0       69
