# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1635] CLINTON-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1635
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     1     8     5     0    15        1     1    19    17     0    38
 1952     3    15    17     7     7    49       10    83    91    19    20   223
 1953     3    10    17    12     6    48       12    57    50    68    46   233
 1954     0    16    16     5     7    44        0    94    89    16    34   233
 1955     2     2    24    19     6    53        3     6   156   117    25   307
 1956     3    17    10    10     0    40       10    77    51    29     0   167
 1957     0     5    17    10     1    33        0    16    71    38     2   127
 1958     0     2     0     9     0    11        0     3     0    33     0    36
 1959     4     7     9    19     8    47       10    21    26    90    38   185
 1960     0     0     9     7     8    24        0     0    27    22    61   110
 1961     1     8     4     7     4    24        2    32     9    11    13    67
 1962     5     3     3     7     1    19       12    12     8    21     3    56
 1963     2    16    15     5     0    38       10    86    48    21     0   165
 1964     3    10    15     4     4    36        9    43    79    26    17   174
 1965     1     3     7     7     1    19        2    15    39    30     2    88
 1966     0    11    17     7     2    37        0    37   112    15     4   168
 1967     4     4     7     1     0    16       12    14    27     1     0    54
 1968     1    12    11    14     1    39        1    55    38    83     2   179
 1969     4     5    13    12     0    34        7    14    42    35     0    98
 1970     3     7    16    11     2    39        8    29    91    24     5   157
 1971     1    21     6     9    13    50        3   106    10    35    44   198
 1972     9     8    11    12     3    43       24    32    42    45     9   152
 1973     0     8    13    15     2    38        0    32    39    56     7   134
 1974     0     1    24     7     0    32        0     5   132    16     0   153
 1975     7    10    17    10     1    45       27    36    63    54     1   181
 1976     0     9    16    13     2    40        0    36    66    36     4   142
 1977    13     8    17     4     0    42       38    29   115    11     0   193
 1978     6    10     9    13    12    50       24    32    31    56    74   217
 1979     5     7    11    11     5    39       17    26    19    52    11   125
 1980     2     5    22    15     3    47        4    21   105    61    10   201
 1981     1     5     8     4     3    21        2     9    33     8     5    57
 1982     0     2    14     5     2    23        0     3    41    25     3    72
 1983     0    11    23    24     7    65        0    53   152   155    34   394
 1984     1     7    11    17     6    42        2    17    48    89    27   183
 1985     2     5    17     7     8    39       10    21    53    23    41   148
 1986     0     6    14     1     3    24        0    26    51     3     4    84
 1987     5    15    20     9     1    50       12    80   142    57     1   292
 1988     4    19    24    15     4    66       10    99   161   164    11   445
 1989     3     5    15     4     0    27        6    13    80    18     0   117
 1990     0     5     7     5     7    24        0    16    43    21    32   112
 1991     7    14    15    11     5    52       21    51    89    54    16   231
 1992     2     6     2     5     0    15        5    17     7    17     0    46
 1993     0     4     8     6     1    19        0    10    17    19     1    47
 1994     3    12     8     4     4    31        9    54    21    13    12   109
 1995     0    13    16    21     0    50        0    45    95    85     0   225
 1996     3     8     4     6     0    21       12    33    17    22     0    84
 1997     0    11    15     4     1    31        0    31    64    16     1   112
 1998     6     6     9     6     6    33       20    34    33    12    15   114
 1999     1    10    17     2     3    33        1    31   111     3    14   160
 2000     0     5     4     5     8    22        0    10     5    18    32    65
 2001     1    10    13     9     2    35        1    30    53    43     5   132
 2002     1    11    22     6     5    45        1    47    88    17    13   166
 2003     0     5    12    10     1    28        0    18    39    54     3   114
 2004     1     4     3     2     0    10        1     7     9     4     0    21
 2005     0    16    17     0     0    33        0    79    96     0     0   175
 **************************************************************************************
MEANS   2.3   8.3  12.7   8.6   3.2  35.1      6.5  34.3  59.0  37.8  12.8 150.3
