# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5796] MOUNT-PLEASANT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    0    0    0    0
 Sep 20    3    0    0    0
 Sep 22   11    0    0    0
 Sep 24   11    0    0    0
 Sep 26   11    0    0    0
 Sep 28   18    0    0    0
 Sep 30   25    0    0    0
 Oct 02   31    5    3    0
 Oct 04   37    5    3    0
 Oct 06   44   12    7    1
 Oct 08   50   14    9    1
 Oct 10   59   14    9    3
 Oct 12   66   18   12    3
 Oct 14   72   20   12    3
 Oct 16   77   24   16    3
 Oct 18   85   33   22    3
 Oct 20   90   38   27    9
 Oct 22   92   46   37   11
 Oct 24   94   50   40   11
 Oct 26   94   53   48   12
 Oct 28   96   57   51   16
 Oct 30   96   64   59   24
 Nov 01   96   72   66   31
 Nov 03  100   81   74   38
 Nov 05  100   87   75   46
 Nov 07  100   88   75   51
 Nov 09  100   92   81   61
 Nov 11  100   94   83   64
 Nov 13  100   98   87   75
 Nov 15  100  100   90   81
 Nov 17  100  100   92   83
 Nov 19  100  100   98   87
 Nov 21  100  100  100   88
 Nov 23  100  100  100   88
 Nov 25  100  100  100   94
 Nov 27  100  100  100   94
 Nov 29  100  100  100   98
 Dec 01  100  100  100   98
 Dec 03  100  100  100   98
 Dec 05  100  100  100   98
 Dec 07  100  100  100   98
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
