# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0364] ATLANTIC-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.65   0.26   58(67)   19(22)    3( 3)    6( 7)    0( 0)    0       86
  2 3/8-->3/14       1.60   0.28   54(62)   15(17)   14(16)    4( 5)    0( 0)    0       87
  3 3/15-->3/21      1.73   0.28   61(73)    6( 7)   12(14)    4( 5)    0( 0)    0       83
  4 3/22-->3/28      1.92   0.33   61(63)   16(16)   10(10)   10(10)    0( 0)    0       97
  5 3/29-->4/4       2.01   0.25   72(68)   24(23)    6( 6)    3( 3)    1( 1)    0      106
  6 4/5-->4/11       2.72   0.29   76(72)   14(13)    8( 8)    7( 7)    1( 1)    0      106
  7 4/12-->4/18      1.86   0.31   67(59)   25(22)   18(16)    4( 4)    0( 0)    0      114
  8 4/19-->4/25      1.80   0.37   62(49)   28(22)   31(24)    6( 5)    0( 0)    0      127
  9 4/26-->5/2       2.61   0.41   73(54)   26(19)   20(15)   15(11)    2( 1)    0      136
 10 5/3-->5/9        1.76   0.37   80(57)   19(13)   30(21)   12( 9)    0( 0)    0      141
 11 5/10-->5/16      2.59   0.42   72(60)   23(19)   13(11)    8( 7)    5( 4)    0      121
 12 5/17-->5/23      1.96   0.37   73(54)   23(17)   27(20)   11( 8)    0( 0)    0      134
 13 5/24-->5/30      2.27   0.41   89(58)   20(13)   28(18)   15(10)    2( 1)    0      154
 14 5/31-->6/6       3.53   0.41   72(61)   17(14)   13(11)   13(11)    3( 3)    0      118
 15 6/7-->6/13       1.67   0.39   74(55)   21(16)   25(19)   15(11)    0( 0)    0      135
 16 6/14-->6/20      7.02   0.53   65(52)   19(15)   25(20)   11( 9)    5( 4)    0      125
 17 6/21-->6/27      3.24   0.48   51(46)   24(22)   18(16)   16(14)    2( 2)    0      111
 18 6/28-->7/4       4.39   0.45   61(55)   18(16)   16(15)   11(10)    4( 4)    0      110
 19 7/5-->7/11       3.37   0.46   58(51)   21(19)   20(18)   11(10)    3( 3)    0      113
 20 7/12-->7/18      3.53   0.48   60(54)   19(17)   17(15)   12(11)    4( 4)    0      112
 21 7/19-->7/25      3.00   0.36   68(61)   21(19)   12(11)    7( 6)    3( 3)    0      111
