# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9132] WINTERSET
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia9132 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     84     36     30     24    297    167    140    118
 1952     98     49     41     35    410    261    233    208
 1953    161     78     60     45    275    151    127    105
 1954    114     41     28     19    495    321    283    247
 1955    163     91     76     62    536    354    316    282
 1956    166     79     65     55    378    248    222    197
 1957    143     63     51     42    381    238    208    183
 1958     80     28     19     13    378    223    191    159
 1959    134     64     51     41    356    217    189    163
 1960     27      9      7      5    415    259    229    200
 1961    117     47     36     28    264    152    132    113
 1962     88     39     31     25    370    228    199    173
 1963    199    120    106     93    433    273    238    203
 1964    123     60     48     38    402    249    217    189
 1965     16      4      2      1    336    202    174    147
 1966    239    138    117     97    290    165    139    116
 1967    248    157    138    119    414    252    219    190
 1968    295    188    165    144    429    263    229    198
 1969     69     35     28     21    398    245    212    182
 1970     62     18     13      8    420    270    239    212
 1971    117     63     53     45    434    283    251    221
 1972    166     90     75     64    368    228    200    173
 1973    179     63     46     33    349    207    178    151
 1974    193    109     91     75    389    246    215    186
 1975     55     24     19     14    265    147    126    108
 1976    155     85     70     59    423    267    232    199
 1977    207    114     97     82    487    325    292    262
 1978    123     70     59     49    332    193    165    139
 1979     98     44     36     29    281    159    137    116
 1980    120     53     42     31    407    264    234    209
 1981    264    146    122     99    569    393    354    316
 1982    147     59     46     35    346    222    196    172
 1983    158     84     71     61    238    135    118    101
 1984     52      7      2      0    311    167    137    112
 1985    217    113     92     73    549    372    337    303
 1986    287    178    156    137    492    322    285    249
 1987    255    144    124    106    511    345    313    282
 1988    256    159    138    117    411    267    236    206
 1989    200    126    109     92    474    315    280    246
 1990    231    128    107     90    408    255    221    190
 1991    254    152    131    112    429    264    228    194
 1992    242    122    102     83    332    194    168    148
 1993     94     38     30     24    289    163    138    118
 1994    231    135    115     98    431    288    259    230
 1995    215    125    106     88    304    179    151    126
 1996    135     62     51     41    383    246    218    192
 1997    223    118     99     80    306    188    162    137
 1998    113     67     59     51    322    186    158    131
 1999    154     78     63     51    329    188    161    136
 2000    271    157    134    114    362    230    200    176
 2001     44     13      8      4    463    302    268    237
 2002    125     61     48     36    348    211    183    160
 2003    183    112     98     85    407    269    239    213
 2004    201    105     86     69    411    255    221    190
 2005    164     83     68     56    443    276    237    201
     ****************************  ****************************
 MEAN  159.2   84.2   70.3   58.1  386.9  241.6  211.5  183.9
 STDV   71.0   47.3   42.0   36.7   75.6   59.8   56.0   52.0

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    720    505    453    405    789    556    499    442
 1952    671    457    409    364   1017    778    719    660
 1953    639    436    391    349    992    755    696    637
 1954    533    359    319    281    973    735    679    624
 1955    724    501    453    408    818    590    536    487
 1956    731    519    474    430    982    748    690    634
 1957    598    385    340    299    869    632    574    517
 1958    715    511    463    419    822    584    529    478
 1959    720    495    442    392    916    676    619    562
 1960    644    429    380    334    838    600    542    487
 1961    547    354    313    275    845    612    559    507
 1962    863    627    570    517    861    624    567    513
 1963    657    435    385    337    977    737    678    620
 1964    793    558    506    459    887    654    597    542
 1965    791    571    518    467    863    625    568    513
 1966    571    387    348    313    857    624    567    512
 1967    551    366    325    286    859    625    568    512
 1968    548    357    316    277    934    695    637    582
 1969    697    479    431    383    772    548    497    447
 1970    785    560    508    457    887    649    594    540
 1971    563    367    323    283   1007    767    707    648
 1972    653    434    388    348    848    615    561    508
 1973    606    400    351    308    921    682    624    568
 1974    562    360    317    275    765    530    475    426
 1975    683    475    429    389    858    621    564    508
 1976    527    346    307    270    809    577    523    473
 1977    799    567    513    463    863    628    572    520
 1978    613    412    368    327    887    654    600    549
 1979    634    438    396    358    855    623    568    515
 1980    703    501    458    417    878    643    589    537
 1981    614    419    378    338    915    676    619    563
 1982    729    485    431    378    759    535    484    436
 1983    574    374    333    295    952    715    657    601
 1984    589    381    335    293    966    726    666    606
 1985    762    524    471    421    820    585    531    479
 1986    715    481    430    382    984    744    684    625
 1987    808    576    524    474    967    729    670    613
 1988    818    582    526    476    998    765    707    651
 1989    678    468    419    375    856    619    564    510
 1990    571    364    320    277    940    701    642    584
 1991    817    589    535    482    986    746    686    626
 1992    679    474    427    382    846    612    556    501
 1993    650    421    371    325    856    620    564    509
 1994    673    461    414    370    932    692    633    575
 1995    548    331    288    248    881    641    582    525
 1996    588    369    321    277    900    663    604    546
 1997    534    343    303    264    896    656    598    542
 1998    771    532    478    425    787    561    508    457
 1999    619    393    345    300    875    637    579    522
 2000    704    488    440    393    824    591    537    484
 2001    635    407    359    314    824    591    535    483
 2002    541    355    315    278    963    724    665    607
 2003    554    339    300    266    799    560    501    447
 2004    662    449    398    352    783    548    491    438
 2005    574    369    327    286    946    706    646    586
     ****************************  ****************************
 MEAN  659.1  446.6  399.7  355.7  885.5  649.6  592.9  537.9
 STDV   90.1   78.2   74.1   70.2   69.4   67.0   65.4   63.1

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1022    774    713    652   1013    765    703    642
 1952   1062    814    752    691    968    720    659    600
 1953   1065    817    755    694   1013    765    703    645
 1954   1105    857    795    733   1013    765    703    642
 1955   1146    898    836    774   1045    797    738    681
 1956   1007    759    697    636   1012    767    710    653
 1957   1118    870    809    748   1027    782    723    665
 1958    942    694    632    570    987    743    682    624
 1959    983    735    673    613   1099    851    789    728
 1960    992    746    685    625   1025    777    715    653
 1961   1003    755    693    631    960    712    652    594
 1962    983    739    680    621    988    743    684    625
 1963   1068    820    758    696    965    718    658    599
 1964   1081    833    771    709    878    637    580    525
 1965   1020    772    711    650    945    698    638    579
 1966   1086    838    776    715    885    640    580    525
 1967    933    691    636    582    913    681    627    573
 1968   1015    767    706    646    974    728    669    611
 1969   1054    806    744    682    980    732    670    610
 1970    999    754    696    640    982    736    676    617
 1971    931    692    634    578    944    698    638    581
 1972    997    753    694    635    966    720    659    600
 1973   1011    763    701    639   1035    787    725    663
 1974   1082    834    772    711    855    612    558    504
 1975   1007    760    700    643   1000    752    691    630
 1976    996    748    688    630    924    680    623    567
 1977   1045    797    736    676    926    679    619    560
 1978   1016    768    706    644    973    732    673    614
 1979    981    734    673    613    987    739    677    617
 1980   1109    861    799    737   1029    781    719    657
 1981   1009    761    700    639    939    695    637    579
 1982   1044    796    734    672    975    727    666    606
 1983   1126    878    816    754   1146    898    836    774
 1984   1043    795    733    672   1078    830    769    708
 1985   1034    786    724    663    942    694    633    574
 1986   1111    863    801    739    907    664    605    548
 1987   1100    852    790    728    934    686    624    565
 1988   1071    823    761    699   1081    836    777    719
 1989   1048    800    738    676    997    749    689    630
 1990   1030    782    720    658   1023    775    713    653
 1991   1022    774    713    652    999    752    691    630
 1992    937    689    627    566    834    593    537    482
 1993   1025    777    715    653   1018    770    708    647
 1994   1004    756    694    632    948    702    644    586
 1995   1048    800    739    679   1113    865    803    741
 1996    985    738    677    616    964    716    654    592
 1997   1021    773    712    651    917    669    607    550
 1998   1050    802    740    678   1020    772    710    648
 1999   1095    847    785    723    934    686    624    564
 2000    996    748    686    624   1022    774    712    650
 2001   1070    822    760    698    991    743    681    620
 2002   1079    831    769    707    942    694    633    572
 2003   1010    762    700    639   1027    779    717    655
 2004    913    665    604    543    812    570    519    470
 2005   1033    785    723    661      0      0      0      0
     ****************************  ****************************
 MEAN 1032.1  784.6  723.3  662.5  961.3  719.6  660.5  602.7
 STDV   52.0   51.3   50.7   49.9  147.0  117.3  109.8  102.3

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    665    450    404    361    471    303    267    236
 1952    809    588    538    489    446    308    277    246
 1953    796    580    533    490    649    460    418    377
 1954    816    592    539    488    462    292    255    221
 1955    795    586    537    492    504    334    294    258
 1956    724    522    477    435    631    431    389    352
 1957    630    421    378    337    380    221    187    155
 1958    766    542    492    445    553    376    335    295
 1959    706    499    452    406    348    198    166    138
 1960    757    540    490    442    451    298    264    231
 1961    667    458    410    364    516    337    297    260
